,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Amreli,2015-12-09,4500.0,0.1,30.6,clear
1,Black Gram (Urd Beans),Amreli,2015-12-09,7680.0,2.0,30.6,clear
2,Black Gram (Urd Beans),Rajula,2015-12-09,7668.0,0.3,30.6,clear
3,Black Gram (Urd Beans),Savarkundla,2015-12-09,7663.0,0.2,30.6,clear
4,Green Gram (Moong),Amreli,2015-12-09,7080.0,0.4,30.6,clear
5,Green Gram (Moong),Rajula,2015-12-09,6788.0,0.3,30.6,clear
6,Green Gram (Moong),Savarkundla,2015-12-09,7000.0,0.3,30.6,clear
7,Arhar (Tur/Red Gram),Amreli,2015-12-15,7005.0,0.6,25.8,clear
8,Black Gram (Urd Beans),Amreli,2015-12-15,10400.0,0.6,25.8,clear
9,Black Gram (Urd Beans),Rajula,2015-12-15,9878.0,0.2,25.8,clear
10,Black Gram (Urd Beans),Savarkundla,2015-12-15,9500.0,0.5,25.8,clear
11,Green Gram (Moong),Rajula,2015-12-15,7963.0,1.2,25.8,clear
12,Green Gram (Moong),Savarkundla,2015-12-15,9000.0,0.4,25.8,clear
13,Arhar (Tur/Red Gram),Amreli,2015-12-16,8000.0,0.7,28.0,clear
14,Black Gram (Urd Beans),Amreli,2015-12-16,10055.0,0.5,28.0,clear
15,Black Gram (Urd Beans),Babra,2015-12-16,9550.0,0.1,28.0,clear
16,Black Gram (Urd Beans),Savarkundla,2015-12-16,9300.0,0.3,28.0,clear
17,Green Gram (Moong),Amreli,2015-12-16,5930.0,1.2,28.0,clear
18,Green Gram (Moong),Babra,2015-12-16,6100.0,0.1,28.0,clear
19,Green Gram (Moong),Savarkundla,2015-12-16,9500.0,0.2,28.0,clear
20,Arhar (Tur/Red Gram),Amreli,2015-12-17,7105.0,1.2,26.8,clear
21,Arhar (Tur/Red Gram),Savarkundla,2015-12-17,8875.0,2.0,26.8,clear
22,Black Gram (Urd Beans),Amreli,2015-12-17,10275.0,0.4,26.8,clear
23,Black Gram (Urd Beans),Savarkundla,2015-12-17,8700.0,0.2,26.8,clear
24,Green Gram (Moong),Amreli,2015-12-17,7250.0,0.2,26.8,clear
25,Green Gram (Moong),Savarkundla,2015-12-17,9875.0,0.5,26.8,clear
26,Arhar (Tur/Red Gram),Amreli,2015-12-18,7505.0,0.7,25.6,clear
27,Black Gram (Urd Beans),Amreli,2015-12-18,10500.0,0.1,25.6,clear
28,Black Gram (Urd Beans),Babra,2015-12-18,9550.0,0.1,25.6,clear
29,Black Gram (Urd Beans),Rajula,2015-12-18,11180.0,0.1,25.6,clear
30,Black Gram (Urd Beans),Savarkundla,2015-12-18,9375.0,0.4,25.6,clear
31,Green Gram (Moong),Amreli,2015-12-18,6350.0,1.5,25.6,clear
32,Green Gram (Moong),Babra,2015-12-18,6580.0,0.1,25.6,clear
33,Green Gram (Moong),Rajula,2015-12-18,7938.0,0.6,25.6,clear
34,Green Gram (Moong),Savarkundla,2015-12-18,8750.0,1.0,25.6,clear
35,Arhar (Tur/Red Gram),Amreli,2015-12-21,8010.0,1.2,25.8,clear
36,Arhar (Tur/Red Gram),Savarkundla,2015-12-21,7750.0,1.5,25.8,clear
37,Black Gram (Urd Beans),Amreli,2015-12-21,9000.0,0.4,25.8,clear
38,Black Gram (Urd Beans),Rajula,2015-12-21,10350.0,0.2,25.8,clear
39,Black Gram (Urd Beans),Savarkundla,2015-12-21,9875.0,0.3,25.8,clear
40,Green Gram (Moong),Amreli,2015-12-21,8210.0,0.1,25.8,clear
41,Green Gram (Moong),Babra,2015-12-21,6500.0,0.1,25.8,clear
42,Green Gram (Moong),Rajula,2015-12-21,7915.0,0.5,25.8,clear
