,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Hazaribagh,2012-02-13,5800.0,15.0,26.6,clear
1,Bengal Gram(Gram),Hazaribagh,2012-02-13,4000.0,12.0,26.6,clear
2,Arhar (Tur/Red Gram),Hazaribagh,2012-03-14,6000.0,12.0,28.4,clear
3,Bengal Gram(Gram),Hazaribagh,2012-03-14,4200.0,12.0,28.4,clear
4,Arhar (Tur/Red Gram),Hazaribagh,2012-03-18,5600.0,15.0,32.6,clear
5,Bengal Gram(Gram),Hazaribagh,2012-03-18,4300.0,14.0,32.6,clear
6,Arhar (Tur/Red Gram),Hazaribagh,2012-03-20,5800.0,14.0,32.6,clear
7,Bengal Gram(Gram),Hazaribagh,2012-03-20,4700.0,10.0,32.6,clear
8,Arhar (Tur/Red Gram),Hazaribagh,2012-03-21,5600.0,16.0,35.4,clear
9,Bengal Gram(Gram),Hazaribagh,2012-03-21,4200.0,13.0,35.4,clear
10,Arhar (Tur/Red Gram),Hazaribagh,2012-03-22,5400.0,14.0,32.4,clear
11,Bengal Gram(Gram),Hazaribagh,2012-03-22,4200.0,12.0,32.4,clear
12,Arhar (Tur/Red Gram),Hazaribagh,2012-03-23,5800.0,15.0,32.0,clear
13,Bengal Gram(Gram),Hazaribagh,2012-03-23,4100.0,12.0,32.0,clear
14,Arhar (Tur/Red Gram),Hazaribagh,2012-03-24,5800.0,12.0,33.0,clear
15,Bengal Gram(Gram),Hazaribagh,2012-03-24,4100.0,15.0,33.0,clear
16,Arhar (Tur/Red Gram),Hazaribagh,2012-04-16,5800.0,10.0,34.0,clear
17,Bengal Gram(Gram),Hazaribagh,2012-04-16,3800.0,15.0,34.0,clear
18,Arhar (Tur/Red Gram),Hazaribagh,2012-04-17,5800.0,12.0,36.0,clear
19,Bengal Gram(Gram),Hazaribagh,2012-04-17,4000.0,10.0,36.0,clear
20,Arhar (Tur/Red Gram),Hazaribagh,2012-04-18,4000.0,13.0,37.0,clear
21,Bengal Gram(Gram),Hazaribagh,2012-04-18,4100.0,12.0,37.0,clear
22,Arhar (Tur/Red Gram),Hazaribagh,2012-04-19,5700.0,14.0,37.0,clear
23,Bengal Gram(Gram),Hazaribagh,2012-04-19,4100.0,10.0,37.0,clear
24,Arhar (Tur/Red Gram),Hazaribagh,2012-04-20,5600.0,12.0,37.0,clear
25,Arhar (Tur/Red Gram),Ramgarh,2012-04-20,6000.0,3.0,37.0,clear
26,Bengal Gram(Gram),Hazaribagh,2012-04-20,3600.0,10.0,37.0,clear
27,Arhar (Tur/Red Gram),Hazaribagh,2012-04-21,5800.0,15.0,35.8,clear
28,Arhar (Tur/Red Gram),Ramgarh,2012-04-21,6000.0,2.5,35.8,clear
29,Bengal Gram(Gram),Hazaribagh,2012-04-21,3800.0,10.0,35.8,clear
