,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Latehar,2014-07-10,6600.0,0.0,36.4,clear
1,Arhar (Tur/Red Gram),Latehar,2014-08-10,6050.0,0.0,29.2,clear
2,Arhar (Tur/Red Gram),Latehar,2014-09-10,6600.0,0.0,33.4,clear
3,Lentil(Masur),Latehar,2014-09-10,6050.0,0.0,33.4,clear
4,Arhar (Tur/Red Gram),Latehar,2014-11-10,6600.0,0.0,32.0,clear
5,Lentil(Masur),Latehar,2014-11-10,6050.0,0.0,32.0,clear
6,Arhar (Tur/Red Gram),Latehar,2014-12-10,6600.0,0.0,32.2,clear
7,Lentil(Masur),Latehar,2014-12-10,6050.0,0.0,32.2,clear
8,Arhar (Tur/Red Gram),Latehar,2014-10-14,6600.0,0.0,29.0,clear
9,Lentil(Masur),Latehar,2014-10-14,6050.0,0.0,29.0,clear
10,Arhar (Tur/Red Gram),Latehar,2014-10-15,6600.0,0.0,30.6,clear
11,Lentil(Masur),Latehar,2014-10-15,6050.0,0.0,30.6,clear
12,Arhar (Tur/Red Gram),Latehar,2014-10-16,6600.0,0.0,32.4,clear
13,Lentil(Masur),Latehar,2014-10-16,6050.0,0.0,32.4,clear
14,Arhar (Tur/Red Gram),Latehar,2014-10-17,6500.0,0.0,31.2,clear
15,Bengal Gram(Gram),Latehar,2014-10-17,4500.0,0.0,31.2,clear
16,Lentil(Masur),Latehar,2014-10-17,6000.0,0.0,31.2,clear
17,Arhar (Tur/Red Gram),Latehar,2014-10-18,6500.0,0.0,32.2,clear
18,Bengal Gram(Gram),Latehar,2014-10-18,4500.0,0.0,32.2,clear
19,Lentil(Masur),Latehar,2014-10-18,6060.0,0.0,32.2,clear
20,Arhar (Tur/Red Gram),Latehar,2014-10-19,6500.0,0.0,32.4,clear
21,Bengal Gram(Gram),Latehar,2014-10-19,4500.0,0.0,32.4,clear
22,Lentil(Masur),Latehar,2014-10-19,6050.0,0.0,32.4,clear
23,Arhar (Tur/Red Gram),Latehar,2014-10-20,6500.0,0.0,31.6,clear
24,Bengal Gram(Gram),Latehar,2014-10-20,4500.0,0.0,31.6,clear
25,Lentil(Masur),Latehar,2014-10-20,6050.0,0.0,31.6,clear
26,Arhar (Tur/Red Gram),Latehar,2014-10-21,6500.0,0.0,30.6,clear
27,Bengal Gram(Gram),Latehar,2014-10-21,4500.0,0.0,30.6,clear
28,Lentil(Masur),Latehar,2014-10-21,6050.0,0.0,30.6,clear
29,Arhar (Tur/Red Gram),Latehar,2014-10-22,6500.0,0.0,30.8,clear
30,Bengal Gram(Gram),Latehar,2014-10-22,4500.0,0.0,30.8,clear
31,Lentil(Masur),Latehar,2014-10-22,6050.0,0.0,30.8,clear
32,Arhar (Tur/Red Gram),Latehar,2014-10-23,6500.0,0.0,30.8,clear
33,Bengal Gram(Gram),Latehar,2014-10-23,4500.0,0.0,30.8,clear
34,Lentil(Masur),Latehar,2014-10-23,6070.0,0.0,30.8,clear
35,Arhar (Tur/Red Gram),Latehar,2014-10-25,6300.0,0.0,26.6,clear
36,Lentil(Masur),Latehar,2014-10-25,6050.0,0.0,26.6,clear
37,Arhar (Tur/Red Gram),Latehar,2014-10-26,6500.0,0.0,28.2,clear
