,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Sahebganj,2015-12-08,9500.0,0.0,26.8,clear
1,Arhar (Tur/Red Gram),Sahebganj,2015-12-09,12500.0,0.0,25.2,clear
2,Arhar (Tur/Red Gram),Sahebganj,2015-12-10,15000.0,0.0,22.4,clear
3,Green Gram (Moong),Sahebganj,2015-12-10,10000.0,0.0,22.4,clear
4,Lentil(Masur),Sahebganj,2015-12-10,8600.0,0.0,22.4,clear
5,Arhar (Tur/Red Gram),Sahebganj,2015-12-11,14800.0,0.4,20.6,clear
6,Green Gram (Moong),Sahebganj,2015-12-11,10200.0,0.2,20.6,clear
7,Lentil(Masur),Sahebganj,2015-12-11,9000.0,0.8,20.6,clear
8,Arhar (Tur/Red Gram),Sahebganj,2015-12-12,13500.0,0.2,20.8,clear
9,Green Gram (Moong),Sahebganj,2015-12-12,9800.0,0.2,20.8,clear
10,Lentil(Masur),Sahebganj,2015-12-12,8800.0,0.6,20.8,clear
11,Arhar (Tur/Red Gram),Sahebganj,2015-12-13,13500.0,2.0,24.8,clear
12,Green Gram (Moong),Sahebganj,2015-12-13,9800.0,1.8,24.8,clear
13,Lentil(Masur),Sahebganj,2015-12-13,8800.0,4.0,24.8,clear
14,Arhar (Tur/Red Gram),Sahebganj,2015-12-14,13500.0,0.0,20.8,clear
15,Arhar (Tur/Red Gram),Sahebganj,2015-12-16,13500.0,0.2,21.8,clear
16,Lentil(Masur),Sahebganj,2015-12-16,8800.0,0.4,21.8,clear
17,Arhar (Tur/Red Gram),Sahebganj,2015-12-17,13500.0,0.8,23.2,clear
18,Green Gram (Moong),Sahebganj,2015-12-17,11000.0,1.2,23.2,clear
19,Lentil(Masur),Sahebganj,2015-12-17,8800.0,2.4,23.2,clear
20,Arhar (Tur/Red Gram),Sahebganj,2015-12-18,13000.0,0.0,22.8,clear
21,Arhar (Tur/Red Gram),Sahebganj,2015-12-19,13420.0,0.2,22.2,clear
22,Green Gram (Moong),Sahebganj,2015-12-19,9800.0,0.2,22.2,clear
23,Lentil(Masur),Sahebganj,2015-12-19,8800.0,0.6,22.2,clear
24,Arhar (Tur/Red Gram),Sahebganj,2015-12-20,13420.0,1.0,22.2,clear
25,Green Gram (Moong),Sahebganj,2015-12-20,9800.0,1.4,22.2,clear
26,Lentil(Masur),Sahebganj,2015-12-20,8800.0,3.2,22.2,clear
27,Arhar (Tur/Red Gram),Sahebganj,2015-12-21,13420.0,0.0,22.2,clear
28,Arhar (Tur/Red Gram),Sahebganj,2015-12-23,13420.0,0.0,23.6,clear
29,Lentil(Masur),Sahebganj,2015-12-23,8800.0,0.4,23.6,clear
30,Arhar (Tur/Red Gram),Sahebganj,2015-12-24,13420.0,0.0,22.4,clear
31,Arhar (Tur/Red Gram),Sahebganj,2015-12-25,13420.0,0.0,22.0,clear
32,Arhar (Tur/Red Gram),Sahebganj,2015-12-27,13420.0,1.2,22.6,clear
33,Green Gram (Moong),Sahebganj,2015-12-27,12500.0,1.4,22.6,clear
34,Lentil(Masur),Sahebganj,2015-12-27,8800.0,2.2,22.6,clear
35,Arhar (Tur/Red Gram),Sahebganj,2015-12-28,13420.0,0.0,24.0,clear
36,Arhar (Tur/Red Gram),Sahebganj,2015-12-30,13500.0,0.0,24.2,clear
37,Green Gram (Moong),Sahebganj,2015-12-30,9000.0,0.0,24.2,clear
38,Lentil(Masur),Sahebganj,2015-12-30,7800.0,0.4,24.2,clear
39,Arhar (Tur/Red Gram),Sahebganj,2015-12-31,13500.0,0.4,25.0,clear
40,Green Gram (Moong),Sahebganj,2015-12-31,9000.0,2.0,25.0,clear
41,Lentil(Masur),Sahebganj,2015-12-31,7800.0,3.4,25.0,clear
42,Arhar (Tur/Red Gram),Sahebganj,2016-03-01,13500.0,0.2,32.4,clear
43,Lentil(Masur),Sahebganj,2016-03-01,8200.0,0.0,32.4,clear
44,Arhar (Tur/Red Gram),Sahebganj,2016-04-01,13500.0,0.0,26.8,clear
45,Arhar (Tur/Red Gram),Sahebganj,2016-05-01,13500.0,0.0,38.0,clear
46,Lentil(Masur),Sahebganj,2016-05-01,8200.0,0.4,38.0,clear
47,Arhar (Tur/Red Gram),Sahebganj,2016-07-01,13700.0,0.2,34.4,rain
48,Lentil(Masur),Sahebganj,2016-07-01,8200.0,2.0,34.4,rain
49,Arhar (Tur/Red Gram),Sahebganj,2016-08-01,13700.0,0.0,34.4,rain
50,Arhar (Tur/Red Gram),Sahebganj,2016-09-01,13500.0,0.0,34.2,rain
51,Arhar (Tur/Red Gram),Sahebganj,2016-10-01,13500.0,0.8,33.8,clear
52,Lentil(Masur),Sahebganj,2016-10-01,7800.0,2.0,33.8,clear
53,Arhar (Tur/Red Gram),Sahebganj,2016-11-01,13500.0,0.0,32.0,clear
54,Arhar (Tur/Red Gram),Sahebganj,2016-01-13,13500.0,0.0,23.8,clear
55,Lentil(Masur),Sahebganj,2016-01-13,7800.0,0.8,23.8,clear
56,Arhar (Tur/Red Gram),Sahebganj,2016-01-14,13500.0,0.2,24.8,clear
57,Lentil(Masur),Sahebganj,2016-01-14,7800.0,0.8,24.8,clear
58,Arhar (Tur/Red Gram),Sahebganj,2016-01-15,13200.0,0.0,25.2,clear
59,Arhar (Tur/Red Gram),Sahebganj,2016-01-16,13500.0,0.0,24.4,clear
60,Arhar (Tur/Red Gram),Sahebganj,2016-01-17,13500.0,0.8,24.6,clear
61,Green Gram (Moong),Sahebganj,2016-01-17,9200.0,1.0,24.6,clear
62,Lentil(Masur),Sahebganj,2016-01-17,7200.0,2.8,24.6,clear
63,Arhar (Tur/Red Gram),Sahebganj,2016-01-18,13500.0,0.0,24.0,clear
64,Arhar (Tur/Red Gram),Sahebganj,2016-01-20,13500.0,0.2,19.8,clear
65,Arhar (Tur/Red Gram),Sahebganj,2016-01-21,13500.0,1.0,19.4,clear
66,Lentil(Masur),Sahebganj,2016-01-21,7600.0,0.5,19.4,clear
67,Arhar (Tur/Red Gram),Sahebganj,2016-01-22,13500.0,0.0,18.8,clear
68,Arhar (Tur/Red Gram),Sahebganj,2016-01-23,13500.0,0.0,19.0,clear
69,Lentil(Masur),Sahebganj,2016-01-23,7800.0,0.4,19.0,clear
70,Arhar (Tur/Red Gram),Sahebganj,2016-01-24,13500.0,0.8,19.4,clear
71,Arhar (Tur/Red Gram),Sahebganj,2016-01-28,13500.0,0.2,21.0,clear
72,Arhar (Tur/Red Gram),Sahebganj,2016-01-29,13500.0,0.0,23.2,clear
73,Arhar (Tur/Red Gram),Sahebganj,2016-01-30,11800.0,0.0,23.2,clear
74,Arhar (Tur/Red Gram),Sahebganj,2016-01-31,11800.0,0.8,24.6,clear
75,Green Gram (Moong),Sahebganj,2016-01-31,8200.0,0.8,24.6,clear
76,Lentil(Masur),Sahebganj,2016-01-31,6800.0,2.0,24.6,clear
77,Arhar (Tur/Red Gram),Sahebganj,2016-01-02,11800.0,0.0,25.2,clear
78,Arhar (Tur/Red Gram),Sahebganj,2016-03-02,11800.0,0.0,32.6,clear
79,Green Gram (Moong),Sahebganj,2016-03-02,9200.0,0.0,32.6,clear
80,Lentil(Masur),Sahebganj,2016-03-02,7600.0,0.4,32.6,clear
81,Arhar (Tur/Red Gram),Sahebganj,2016-04-02,12200.0,0.8,29.0,clear
82,Lentil(Masur),Sahebganj,2016-04-02,7800.0,2.0,29.0,clear
83,Arhar (Tur/Red Gram),Sahebganj,2016-05-02,12200.0,0.0,30.4,clear
84,Arhar (Tur/Red Gram),Sahebganj,2016-06-02,12200.0,0.0,34.6,clear
85,Lentil(Masur),Sahebganj,2016-06-02,7800.0,0.8,34.6,clear
86,Arhar (Tur/Red Gram),Sahebganj,2016-08-02,12900.0,0.0,32.2,rain
87,Arhar (Tur/Red Gram),Sahebganj,2016-10-02,12900.0,0.0,34.8,clear
88,Lentil(Masur),Sahebganj,2016-10-02,7800.0,0.4,34.8,clear
89,Arhar (Tur/Red Gram),Sahebganj,2016-11-02,12900.0,0.8,32.8,clear
90,Arhar (Tur/Red Gram),Sahebganj,2016-12-02,12800.0,0.0,28.2,clear
91,Arhar (Tur/Red Gram),Sahebganj,2016-02-13,12800.0,0.0,29.0,clear
92,Lentil(Masur),Sahebganj,2016-02-13,7800.0,0.8,29.0,clear
93,Arhar (Tur/Red Gram),Sahebganj,2016-02-14,13200.0,2.0,30.0,clear
94,Green Gram (Moong),Sahebganj,2016-02-14,9200.0,1.2,30.0,clear
95,Lentil(Masur),Sahebganj,2016-02-14,8200.0,3.0,30.0,clear
96,Arhar (Tur/Red Gram),Sahebganj,2016-02-15,13200.0,0.0,30.6,clear
97,Arhar (Tur/Red Gram),Sahebganj,2016-02-17,12900.0,0.0,31.6,clear
98,Arhar (Tur/Red Gram),Sahebganj,2016-02-18,12800.0,0.8,31.8,clear
99,Lentil(Masur),Sahebganj,2016-02-18,8200.0,2.8,31.8,clear
100,Arhar (Tur/Red Gram),Sahebganj,2016-02-19,12800.0,0.0,31.6,clear
101,Arhar (Tur/Red Gram),Sahebganj,2016-02-20,12800.0,0.0,32.2,clear
102,Lentil(Masur),Sahebganj,2016-02-20,8200.0,0.6,32.2,clear
103,Arhar (Tur/Red Gram),Sahebganj,2016-02-21,12800.0,1.2,31.2,clear
104,Lentil(Masur),Sahebganj,2016-02-21,8200.0,2.8,31.2,clear
105,Arhar (Tur/Red Gram),Sahebganj,2016-02-22,12800.0,0.0,29.4,clear
106,Arhar (Tur/Red Gram),Sahebganj,2016-02-24,13200.0,0.0,29.6,clear
107,Arhar (Tur/Red Gram),Sahebganj,2016-02-25,13200.0,0.8,28.6,clear
108,Lentil(Masur),Sahebganj,2016-02-25,8200.0,2.0,28.6,clear
109,Arhar (Tur/Red Gram),Sahebganj,2016-02-26,13200.0,0.0,29.2,clear
110,Arhar (Tur/Red Gram),Sahebganj,2016-02-27,13200.0,0.2,31.0,clear
