,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Saraikela,2012-11-22,6800.0,0.02,29.0,clear
1,Bengal Gram(Gram),Saraikela,2012-11-22,5200.0,0.05,29.0,clear
2,Arhar (Tur/Red Gram),Saraikela,2012-11-30,6800.0,0.02,28.0,clear
3,Bengal Gram(Gram),Saraikela,2012-11-30,5200.0,0.05,28.0,clear
4,Arhar (Tur/Red Gram),Saraikela,2014-01-10,7200.0,0.0,25.6,clear
5,Arhar (Tur/Red Gram),Saraikela,2014-02-10,7200.0,0.0,29.0,clear
6,Arhar (Tur/Red Gram),Saraikela,2014-03-10,7250.0,0.0,28.0,clear
7,Arhar (Tur/Red Gram),Saraikela,2014-05-10,7250.0,0.0,34.0,clear
8,Arhar (Tur/Red Gram),Saraikela,2014-06-10,7240.0,0.0,38.6,clear
9,Arhar (Tur/Red Gram),Saraikela,2014-07-10,7250.0,0.0,33.6,clear
10,Arhar (Tur/Red Gram),Saraikela,2014-08-10,7250.0,0.0,28.4,clear
11,Arhar (Tur/Red Gram),Saraikela,2014-09-10,7260.0,0.0,32.6,clear
12,Lentil(Masur),Saraikela,2014-09-10,6350.0,0.0,32.6,clear
13,Arhar (Tur/Red Gram),Saraikela,2014-10-10,7260.0,0.0,33.0,clear
14,Lentil(Masur),Saraikela,2014-10-10,6350.0,0.0,33.0,clear
15,Arhar (Tur/Red Gram),Saraikela,2014-12-10,7250.0,0.0,32.2,clear
16,Lentil(Masur),Saraikela,2014-12-10,6340.0,0.0,32.2,clear
17,Arhar (Tur/Red Gram),Saraikela,2014-10-13,7220.0,0.0,30.6,clear
18,Lentil(Masur),Saraikela,2014-10-13,6350.0,0.0,30.6,clear
19,Arhar (Tur/Red Gram),Saraikela,2014-10-14,7220.0,0.0,32.4,clear
20,Lentil(Masur),Saraikela,2014-10-14,6360.0,0.0,32.4,clear
21,Arhar (Tur/Red Gram),Saraikela,2014-10-15,7250.0,0.0,31.4,clear
22,Lentil(Masur),Saraikela,2014-10-15,6340.0,0.0,31.4,clear
23,Arhar (Tur/Red Gram),Saraikela,2014-10-16,7230.0,0.0,33.0,clear
24,Lentil(Masur),Saraikela,2014-10-16,6380.0,0.0,33.0,clear
25,Arhar (Tur/Red Gram),Saraikela,2014-10-17,7250.0,0.0,32.2,clear
26,Lentil(Masur),Saraikela,2014-10-17,6320.0,0.0,32.2,clear
27,Arhar (Tur/Red Gram),Saraikela,2014-10-19,7220.0,0.0,32.4,clear
28,Lentil(Masur),Saraikela,2014-10-19,6360.0,0.0,32.4,clear
29,Arhar (Tur/Red Gram),Saraikela,2014-10-20,7280.0,0.0,31.2,clear
30,Lentil(Masur),Saraikela,2014-10-20,6340.0,0.0,31.2,clear
31,Arhar (Tur/Red Gram),Saraikela,2014-10-21,7260.0,0.0,31.4,clear
32,Lentil(Masur),Saraikela,2014-10-21,6370.0,0.0,31.4,clear
33,Arhar (Tur/Red Gram),Saraikela,2014-10-22,7240.0,0.0,31.0,clear
34,Lentil(Masur),Saraikela,2014-10-22,6360.0,0.0,31.0,clear
