,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Chaurai,2015-12-28,7100.0,3.0,24.8,clear
1,Arhar (Tur/Red Gram),Chhindwara,2015-12-28,6700.0,2.0,24.8,clear
2,Arhar (Tur/Red Gram),Pandhurna,2015-12-28,6000.0,2.2,24.8,clear
3,Arhar (Tur/Red Gram),Chaurai,2015-12-30,7000.0,3.0,24.2,clear
4,Arhar (Tur/Red Gram),Chhindwara,2015-12-30,6750.0,1.3,24.2,clear
5,Arhar (Tur/Red Gram),Chhindwara,2015-12-29,6700.0,0.5,25.2,clear
6,Arhar (Tur/Red Gram),Pandhurna,2015-12-29,6000.0,1.0,25.2,clear
7,Arhar (Tur/Red Gram),Saunsar,2015-12-29,5000.0,0.6,25.2,clear
8,Arhar (Tur/Red Gram),Chhindwara,2015-12-31,6975.0,2.1,26.8,clear
9,Arhar (Tur/Red Gram),Pandhurna,2015-12-31,6050.0,2.0,26.8,clear
10,Arhar (Tur/Red Gram),Saunsar,2015-12-15,5000.0,0.8,21.8,clear
11,Arhar (Tur/Red Gram),Saunsar,2015-12-22,5000.0,0.5,22.8,clear
12,Arhar (Tur/Red Gram),Chaurai,2016-03-01,6883.0,2.0,30.4,clear
13,Arhar (Tur/Red Gram),Chaurai,2016-04-01,7060.0,29.0,36.4,clear
14,Arhar (Tur/Red Gram),Chhindwara,2016-04-01,7330.0,2.2,36.4,clear
15,Arhar (Tur/Red Gram),Pandhurna,2016-04-01,6450.0,2.5,36.4,clear
16,Arhar (Tur/Red Gram),Chaurai,2016-05-01,7350.0,10.0,39.0,clear
17,Arhar (Tur/Red Gram),Chhindwara,2016-05-01,8158.0,6.2,39.0,clear
18,Arhar (Tur/Red Gram),Chaurai,2016-06-01,7500.0,3.0,37.8,clear
19,Arhar (Tur/Red Gram),Chhindwara,2016-06-01,7700.0,7.0,37.8,clear
20,Arhar (Tur/Red Gram),Pandhurna,2016-06-01,7000.0,1.5,37.8,clear
21,Arhar (Tur/Red Gram),Saunsar,2016-06-01,5000.0,2.0,37.8,clear
22,Arhar (Tur/Red Gram),Chaurai,2016-07-01,8700.0,14.0,29.0,clear
23,Arhar (Tur/Red Gram),Chhindwara,2016-07-01,7801.0,16.4,29.0,clear
24,Arhar (Tur/Red Gram),Chaurai,2016-08-01,7500.0,7.0,25.2,rain
25,Arhar (Tur/Red Gram),Chhindwara,2016-08-01,7495.0,16.6,25.2,rain
26,Arhar (Tur/Red Gram),Pandhurna,2016-08-01,6700.0,0.5,25.2,rain
27,Arhar (Tur/Red Gram),Chaurai,2016-10-01,7605.0,27.0,27.2,clear
28,Arhar (Tur/Red Gram),Chaurai,2016-11-01,7350.0,27.0,24.0,clear
29,Arhar (Tur/Red Gram),Chhindwara,2016-11-01,7690.0,18.5,24.0,clear
30,Arhar (Tur/Red Gram),Pandhurna,2016-11-01,7000.0,0.5,24.0,clear
31,Arhar (Tur/Red Gram),Chaurai,2016-12-01,7275.0,2.0,23.2,clear
32,Arhar (Tur/Red Gram),Chhindwara,2016-12-01,7985.0,34.1,23.2,clear
33,Arhar (Tur/Red Gram),Pandhurna,2016-12-01,6700.0,2.5,23.2,clear
