,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Dabra,2012-05-04,0.0,0.5,39.0,clear
1,Black Gram (Urd Beans),Dabra,2012-05-04,3250.0,251.3,39.0,clear
2,Lentil(Masur),Dabra,2012-05-04,2800.0,22.0,39.0,clear
3,Arhar (Tur/Red Gram),Dabra,2012-04-13,0.0,0.5,36.4,clear
4,Black Gram (Urd Beans),Dabra,2012-04-13,3325.0,126.8,36.4,clear
5,Lentil(Masur),Dabra,2012-04-13,2800.0,8.6,36.4,clear
6,Arhar (Tur/Red Gram),Dabra,2012-04-17,0.0,0.3,37.0,clear
7,Black Gram (Urd Beans),Dabra,2012-04-17,3341.0,165.5,37.0,clear
8,Lentil(Masur),Dabra,2012-04-17,2800.0,20.3,37.0,clear
9,Arhar (Tur/Red Gram),Dabra,2012-04-18,2710.0,3.7,37.2,clear
10,Black Gram (Urd Beans),Dabra,2012-04-18,3315.0,174.8,37.2,clear
11,Lentil(Masur),Dabra,2012-04-18,2755.0,7.0,37.2,clear
12,Arhar (Tur/Red Gram),Dabra,2012-04-21,2750.0,0.6,35.4,clear
13,Black Gram (Urd Beans),Dabra,2012-04-21,3370.0,79.0,35.4,clear
14,Lentil(Masur),Dabra,2012-04-21,0.0,1.7,35.4,clear
15,Arhar (Tur/Red Gram),Dabra,2012-04-24,0.0,1.2,38.0,clear
16,Black Gram (Urd Beans),Dabra,2012-04-24,3372.0,12.7,38.0,clear
17,Lentil(Masur),Dabra,2012-04-24,0.0,1.0,38.0,clear
18,Arhar (Tur/Red Gram),Dabra,2012-03-05,0.0,0.3,35.4,clear
19,Black Gram (Urd Beans),Dabra,2012-03-05,3825.0,46.4,35.4,clear
20,Lentil(Masur),Dabra,2012-03-05,0.0,0.8,35.4,clear
21,Arhar (Tur/Red Gram),Dabra,2012-08-05,0.0,0.5,28.6,clear
22,Black Gram (Urd Beans),Dabra,2012-08-05,3931.0,34.2,28.6,clear
23,Lentil(Masur),Dabra,2012-08-05,3169.0,9.5,28.6,clear
24,Arhar (Tur/Red Gram),Dabra,2012-09-05,2960.0,5.3,28.8,clear
25,Black Gram (Urd Beans),Dabra,2012-09-05,3971.0,91.1,28.8,clear
26,Lentil(Masur),Dabra,2012-09-05,3235.0,9.1,28.8,clear
27,Arhar (Tur/Red Gram),Dabra,2012-10-05,0.0,1.4,36.0,clear
28,Black Gram (Urd Beans),Dabra,2012-10-05,3991.0,80.2,36.0,clear
29,Lentil(Masur),Dabra,2012-10-05,3015.0,6.1,36.0,clear
30,Arhar (Tur/Red Gram),Dabra,2012-11-05,0.0,1.7,28.8,clear
31,Arhar (Tur/Red Gram),Lashkar,2012-11-05,3322.0,0.2,28.8,clear
32,Black Gram (Urd Beans),Dabra,2012-11-05,3900.0,45.9,28.8,clear
33,Lentil(Masur),Dabra,2012-11-05,3340.0,15.0,28.8,clear
34,Arhar (Tur/Red Gram),Dabra,2012-12-05,2900.0,6.0,26.4,clear
35,Black Gram (Urd Beans),Dabra,2012-12-05,3896.0,45.0,26.4,clear
36,Lentil(Masur),Dabra,2012-12-05,3208.0,2.3,26.4,clear
37,Arhar (Tur/Red Gram),Dabra,2012-05-14,3217.0,1.4,38.6,clear
38,Black Gram (Urd Beans),Dabra,2012-05-14,3965.0,34.3,38.6,clear
39,Lentil(Masur),Dabra,2012-05-14,3151.0,8.4,38.6,clear
40,Arhar (Tur/Red Gram),Dabra,2012-05-15,3115.0,2.5,39.8,clear
41,Black Gram (Urd Beans),Dabra,2012-05-15,3960.0,64.5,39.8,clear
42,Lentil(Masur),Dabra,2012-05-15,3000.0,5.7,39.8,clear
43,Arhar (Tur/Red Gram),Dabra,2012-05-16,0.0,0.6,42.2,clear
44,Black Gram (Urd Beans),Dabra,2012-05-16,4045.0,57.3,42.2,clear
45,Lentil(Masur),Dabra,2012-05-16,3225.0,11.1,42.2,clear
46,Arhar (Tur/Red Gram),Dabra,2012-05-17,3105.0,4.0,42.0,clear
47,Arhar (Tur/Red Gram),Lashkar,2012-05-17,3000.0,6.0,42.0,clear
48,Black Gram (Urd Beans),Dabra,2012-05-17,4000.0,45.4,42.0,clear
49,Lentil(Masur),Dabra,2012-05-17,3160.0,8.6,42.0,clear
50,Arhar (Tur/Red Gram),Dabra,2012-05-18,3105.0,2.2,41.4,clear
51,Black Gram (Urd Beans),Dabra,2012-05-18,3900.0,64.2,41.4,clear
52,Lentil(Masur),Dabra,2012-05-18,0.0,2.5,41.4,clear
53,Arhar (Tur/Red Gram),Dabra,2012-05-19,0.0,0.8,41.0,clear
54,Arhar (Tur/Red Gram),Lashkar,2012-05-19,2750.0,6.0,41.0,clear
55,Black Gram (Urd Beans),Dabra,2012-05-19,3850.0,22.9,41.0,clear
56,Lentil(Masur),Dabra,2012-05-19,3103.0,14.9,41.0,clear
57,Arhar (Tur/Red Gram),Dabra,2012-05-21,0.0,0.3,42.6,clear
58,Black Gram (Urd Beans),Dabra,2012-05-21,3917.0,22.2,42.6,clear
59,Lentil(Masur),Dabra,2012-05-21,3154.0,7.9,42.6,clear
60,Arhar (Tur/Red Gram),Dabra,2012-05-22,0.0,2.2,43.2,clear
61,Black Gram (Urd Beans),Dabra,2012-05-22,3890.0,27.6,43.2,clear
62,Arhar (Tur/Red Gram),Dabra,2012-05-23,3020.0,4.5,43.0,clear
63,Black Gram (Urd Beans),Dabra,2012-05-23,3776.0,32.8,43.0,clear
64,Lentil(Masur),Dabra,2012-05-23,3150.0,4.5,43.0,clear
65,Arhar (Tur/Red Gram),Dabra,2012-05-24,3060.0,2.7,44.0,clear
66,Arhar (Tur/Red Gram),Lashkar,2012-05-24,2865.0,0.5,44.0,clear
67,Black Gram (Urd Beans),Dabra,2012-05-24,3950.0,25.7,44.0,clear
68,Lentil(Masur),Dabra,2012-05-24,2851.0,22.1,44.0,clear
69,Arhar (Tur/Red Gram),Dabra,2012-05-25,3002.0,1.2,44.0,clear
70,Black Gram (Urd Beans),Dabra,2012-05-25,3872.0,32.4,44.0,clear
71,Lentil(Masur),Dabra,2012-05-25,3165.0,5.2,44.0,clear
72,Arhar (Tur/Red Gram),Dabra,2012-05-26,3000.0,12.5,44.4,clear
73,Black Gram (Urd Beans),Dabra,2012-05-26,3945.0,29.4,44.4,clear
74,Lentil(Masur),Dabra,2012-05-26,0.0,4.0,44.4,clear
75,Arhar (Tur/Red Gram),Dabra,2012-05-27,3100.0,4.2,43.2,clear
76,Black Gram (Urd Beans),Dabra,2012-05-27,3980.0,15.5,43.2,clear
77,Lentil(Masur),Dabra,2012-05-27,0.0,2.0,43.2,clear
78,Arhar (Tur/Red Gram),Dabra,2012-05-28,2950.0,1.3,43.0,clear
79,Black Gram (Urd Beans),Dabra,2012-05-28,4050.0,18.1,43.0,clear
80,Lentil(Masur),Dabra,2012-05-28,3190.0,2.0,43.0,clear
81,Arhar (Tur/Red Gram),Dabra,2012-02-06,0.0,2.0,23.6,clear
82,Black Gram (Urd Beans),Dabra,2012-02-06,3936.0,23.8,23.6,clear
83,Lentil(Masur),Dabra,2012-02-06,2930.0,0.6,23.6,clear
84,Arhar (Tur/Red Gram),Dabra,2012-04-06,0.0,2.0,38.8,clear
85,Black Gram (Urd Beans),Dabra,2012-04-06,3961.0,35.2,38.8,clear
86,Lentil(Masur),Dabra,2012-04-06,3183.0,4.4,38.8,clear
87,Arhar (Tur/Red Gram),Dabra,2012-05-06,0.0,1.3,40.8,clear
88,Black Gram (Urd Beans),Dabra,2012-05-06,3872.0,35.3,40.8,clear
89,Lentil(Masur),Dabra,2012-05-06,3193.0,4.0,40.8,clear
90,Arhar (Tur/Red Gram),Dabra,2012-08-06,3000.0,11.5,29.6,clear
91,Black Gram (Urd Beans),Dabra,2012-08-06,3940.0,11.0,29.6,clear
92,Lentil(Masur),Dabra,2012-08-06,3180.0,2.5,29.6,clear
93,Arhar (Tur/Red Gram),Dabra,2012-09-06,0.0,3.0,30.0,clear
94,Arhar (Tur/Red Gram),Lashkar,2012-09-06,3290.0,0.2,30.0,clear
95,Black Gram (Urd Beans),Dabra,2012-09-06,3973.0,21.2,30.0,clear
96,Lentil(Masur),Dabra,2012-09-06,0.0,9.0,30.0,clear
97,Arhar (Tur/Red Gram),Dabra,2012-11-06,0.0,0.5,27.8,clear
98,Black Gram (Urd Beans),Dabra,2012-11-06,3970.0,17.4,27.8,clear
99,Lentil(Masur),Dabra,2012-11-06,3141.0,4.0,27.8,clear
100,Arhar (Tur/Red Gram),Dabra,2012-06-14,0.0,2.5,42.0,clear
101,Black Gram (Urd Beans),Dabra,2012-06-14,3950.0,5.7,42.0,clear
102,Arhar (Tur/Red Gram),Dabra,2012-06-18,0.0,0.1,37.8,clear
103,Black Gram (Urd Beans),Dabra,2012-06-18,3903.0,16.6,37.8,clear
104,Lentil(Masur),Dabra,2012-06-18,0.0,0.5,37.8,clear
105,Arhar (Tur/Red Gram),Dabra,2012-06-20,0.0,0.3,41.2,clear
106,Black Gram (Urd Beans),Dabra,2012-06-20,3941.0,6.6,41.2,clear
107,Arhar (Tur/Red Gram),Dabra,2012-06-21,0.0,2.0,41.0,clear
108,Black Gram (Urd Beans),Dabra,2012-06-21,3925.0,11.3,41.0,clear
109,Arhar (Tur/Red Gram),Dabra,2012-06-25,0.0,0.1,40.4,clear
110,Black Gram (Urd Beans),Dabra,2012-06-25,4096.0,3.4,40.4,clear
111,Lentil(Masur),Dabra,2012-06-25,2802.0,9.5,40.4,clear
112,Arhar (Tur/Red Gram),Dabra,2012-06-27,0.0,0.3,40.2,clear
113,Black Gram (Urd Beans),Dabra,2012-06-27,4200.0,13.3,40.2,clear
114,Arhar (Tur/Red Gram),Dabra,2012-06-29,0.0,0.1,42.8,clear
115,Black Gram (Urd Beans),Dabra,2012-06-29,4133.0,8.3,42.8,clear
116,Arhar (Tur/Red Gram),Dabra,2012-04-07,0.0,1.0,40.0,clear
117,Black Gram (Urd Beans),Dabra,2012-04-07,4304.0,5.3,40.0,clear
118,Lentil(Masur),Dabra,2012-04-07,0.0,1.0,40.0,clear
119,Arhar (Tur/Red Gram),Dabra,2012-10-07,0.0,1.0,36.0,clear
120,Black Gram (Urd Beans),Dabra,2012-10-07,0.0,0.8,36.0,clear
121,Lentil(Masur),Dabra,2012-10-07,0.0,1.0,36.0,clear
122,Arhar (Tur/Red Gram),Dabra,2012-07-14,0.0,0.1,34.2,clear
123,Lentil(Masur),Dabra,2012-07-14,0.0,0.7,34.2,clear
124,Arhar (Tur/Red Gram),Dabra,2012-07-30,0.0,0.1,28.4,rain
125,Black Gram (Urd Beans),Dabra,2012-07-30,0.0,0.1,28.4,rain
126,Arhar (Tur/Red Gram),Dabra,2012-08-09,0.0,5.0,32.2,rain
127,Arhar (Tur/Red Gram),Lashkar,2012-01-16,2449.0,2.5,22.4,clear
128,Arhar (Tur/Red Gram),Lashkar,2012-01-21,2302.0,2.4,18.4,clear
129,Green Gram (Moong),Lashkar,2012-01-21,2015.0,1.5,18.4,clear
130,Arhar (Tur/Red Gram),Lashkar,2012-01-25,2700.0,0.2,20.8,clear
131,Arhar (Tur/Red Gram),Lashkar,2012-01-29,2953.0,0.1,20.4,clear
132,Arhar (Tur/Red Gram),Lashkar,2012-01-02,2700.0,0.1,17.0,clear
133,Arhar (Tur/Red Gram),Lashkar,2012-02-13,2880.0,0.2,27.6,clear
134,Arhar (Tur/Red Gram),Lashkar,2012-02-17,3099.0,1.2,23.2,clear
135,Arhar (Tur/Red Gram),Lashkar,2012-02-18,2900.0,1.0,25.4,clear
136,Arhar (Tur/Red Gram),Lashkar,2012-06-03,2200.0,2.5,43.6,clear
137,Black Gram (Urd Beans),Dabra,2012-06-03,0.0,1.5,43.6,clear
138,Lentil(Masur),Dabra,2012-06-03,2811.0,7.9,43.6,clear
139,Arhar (Tur/Red Gram),Lashkar,2012-03-16,2986.0,0.5,33.4,clear
140,Black Gram (Urd Beans),Dabra,2012-03-16,3450.0,19.8,33.4,clear
141,Lentil(Masur),Dabra,2012-03-16,2798.0,13.5,33.4,clear
142,Arhar (Tur/Red Gram),Lashkar,2012-04-19,2825.0,1.0,37.2,clear
143,Black Gram (Urd Beans),Dabra,2012-04-19,3340.0,69.9,37.2,clear
144,Lentil(Masur),Dabra,2012-04-19,0.0,1.5,37.2,clear
145,Arhar (Tur/Red Gram),Lashkar,2012-05-05,730.0,0.7,39.0,clear
