,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Panna,2012-12-06,2700.0,8.7,17.6,clear
1,Bengal Gram(Gram),Panna,2012-12-06,3765.0,7.0,17.6,clear
2,Lentil(Masur),Panna,2012-12-06,2716.0,5.0,17.6,clear
3,Bengal Gram(Gram),Panna,2015-04-20,3350.0,36.9,40.0,clear
4,Lentil(Masur),Panna,2015-04-20,4225.0,15.1,40.0,clear
5,Bengal Gram(Gram),Panna,2015-12-07,4000.0,19.6,28.8,clear
6,Lentil(Masur),Panna,2015-12-07,6150.0,12.6,28.8,clear
7,Arhar (Tur/Red Gram),Ajaygarh,2016-05-03,6200.0,19.6,44.4,clear
8,Lentil(Masur),Panna,2016-05-03,4475.0,40.5,44.4,clear
9,Arhar (Tur/Red Gram),Ajaygarh,2016-03-29,7800.0,3.8,37.0,clear
10,Bengal Gram(Gram),Panna,2016-03-29,4168.0,7.5,37.0,clear
11,Lentil(Masur),Devandranagar,2016-03-29,5169.0,1.4,37.0,clear
12,Arhar (Tur/Red Gram),Ajaygarh,2016-04-30,8500.0,12.0,44.2,clear
13,Lentil(Masur),Devandranagar,2016-04-30,5240.0,1.4,44.2,clear
14,Arhar (Tur/Red Gram),Ajaygarh,2016-05-19,8800.0,7.0,46.4,clear
15,Bengal Gram(Gram),Panna,2016-05-19,5355.0,22.4,46.4,clear
16,Lentil(Masur),Devandranagar,2016-05-19,4400.0,0.4,46.4,clear
17,Lentil(Masur),Panna,2016-05-19,5460.0,7.0,46.4,clear
18,Arhar (Tur/Red Gram),Ajaygarh,2016-05-21,8800.0,3.8,46.2,clear
19,Bengal Gram(Gram),Panna,2016-05-21,5677.0,3.3,46.2,clear
20,Lentil(Masur),Devandranagar,2016-05-21,6330.0,0.8,46.2,clear
21,Arhar (Tur/Red Gram),Ajaygarh,2016-06-24,8150.0,6.0,38.0,clear
22,Bengal Gram(Gram),Panna,2016-06-24,6250.0,10.9,38.0,clear
23,Lentil(Masur),Panna,2016-06-24,5350.0,10.2,38.0,clear
24,Arhar (Tur/Red Gram),Ajaygarh,2016-07-25,7620.0,13.8,34.0,clear
25,Bengal Gram(Gram),Panna,2016-07-25,7500.0,4.0,34.0,clear
26,Lentil(Masur),Panna,2016-07-25,5600.0,0.5,34.0,clear
27,Arhar (Tur/Red Gram),Ajaygarh,2016-07-28,7500.0,10.0,32.6,clear
28,Bengal Gram(Gram),Panna,2016-07-28,6950.0,15.3,32.6,clear
29,Arhar (Tur/Red Gram),Ajaygarh,2016-07-29,7550.0,7.8,31.8,clear
30,Bengal Gram(Gram),Panna,2016-07-29,7210.0,2.5,31.8,clear
31,Arhar (Tur/Red Gram),Ajaygarh,2016-08-23,5000.0,15.8,28.0,clear
32,Lentil(Masur),Panna,2016-08-23,5250.0,31.5,28.0,clear
33,Arhar (Tur/Red Gram),Ajaygarh,2016-09-26,6315.0,14.0,31.4,clear
34,Arhar (Tur/Red Gram),Ajaygarh,2016-10-14,6450.0,6.0,35.2,clear
35,Bengal Gram(Gram),Panna,2016-10-14,9000.0,9.0,35.2,clear
36,Lentil(Masur),Devandranagar,2016-10-14,5010.0,4.5,35.2,clear
37,Arhar (Tur/Red Gram),Ajaygarh,2016-10-15,6400.0,4.0,35.4,clear
38,Bengal Gram(Gram),Panna,2016-10-15,8750.0,6.0,35.4,clear
39,Black Gram (Urd Beans),Panna,2016-10-15,5350.0,6.0,35.4,clear
40,Lentil(Masur),Devandranagar,2016-10-15,5051.0,14.6,35.4,clear
41,Arhar (Tur/Red Gram),Ajaygarh,2016-08-11,5500.0,10.0,32.4,clear
42,Arhar (Tur/Red Gram),Ajaygarh,2016-11-19,5825.0,8.0,30.2,clear
43,Arhar (Tur/Red Gram),Ajaygarh,2016-11-21,5825.0,6.4,30.0,clear
44,Arhar (Tur/Red Gram),Panna,2016-02-14,8000.0,206.2,27.0,clear
45,Lentil(Masur),Panna,2016-02-14,3100.0,3.0,27.0,clear
46,Arhar (Tur/Red Gram),Panna,2016-02-28,7825.0,5.0,32.4,clear
47,Bengal Gram(Gram),Panna,2016-02-28,4175.0,1.1,32.4,clear
48,Lentil(Masur),Panna,2016-02-28,4350.0,6.5,32.4,clear
49,Arhar (Tur/Red Gram),Panna,2016-06-03,7600.0,1.0,44.0,clear
50,Bengal Gram(Gram),Panna,2016-06-03,4150.0,0.5,44.0,clear
51,Lentil(Masur),Panna,2016-06-03,4563.0,13.5,44.0,clear
52,Arhar (Tur/Red Gram),Panna,2016-07-03,7700.0,0.3,35.0,clear
53,Bengal Gram(Gram),Panna,2016-07-03,4098.0,13.5,35.0,clear
54,Lentil(Masur),Panna,2016-07-03,4585.0,8.0,35.0,clear
55,Arhar (Tur/Red Gram),Panna,2016-03-14,7400.0,3.0,30.4,clear
56,Bengal Gram(Gram),Panna,2016-03-14,4350.0,10.5,30.4,clear
57,Lentil(Masur),Panna,2016-03-14,5100.0,13.2,30.4,clear
58,Arhar (Tur/Red Gram),Panna,2016-03-31,8000.0,253.6,39.4,clear
59,Bengal Gram(Gram),Panna,2016-03-31,4425.0,4.0,39.4,clear
60,Black Gram (Urd Beans),Panna,2016-03-31,10400.0,239.0,39.4,clear
61,Lentil(Masur),Devandranagar,2016-03-31,4900.0,3.3,39.4,clear
62,Lentil(Masur),Panna,2016-03-31,5100.0,22.5,39.4,clear
63,Bengal Gram(Gram),Panna,2016-08-01,4400.0,0.5,31.4,clear
64,Bengal Gram(Gram),Panna,2016-10-01,4200.0,3.7,33.8,clear
65,Bengal Gram(Gram),Panna,2016-01-02,3500.0,2.0,27.0,clear
66,Bengal Gram(Gram),Panna,2016-03-02,3276.0,4.9,34.6,clear
67,Bengal Gram(Gram),Panna,2016-04-02,3400.0,1.2,41.4,clear
68,Bengal Gram(Gram),Panna,2016-05-02,3525.0,1.5,44.8,clear
69,Bengal Gram(Gram),Panna,2016-02-17,4005.0,15.0,27.8,clear
70,Lentil(Masur),Panna,2016-02-17,4505.0,1.5,27.8,clear
71,Bengal Gram(Gram),Panna,2016-02-27,4150.0,4.1,32.4,clear
72,Lentil(Masur),Panna,2016-02-27,4400.0,20.4,32.4,clear
73,Bengal Gram(Gram),Panna,2016-02-03,4100.0,0.5,24.2,clear
74,Lentil(Masur),Panna,2016-02-03,4432.0,4.0,24.2,clear
75,Bengal Gram(Gram),Panna,2016-03-03,3950.0,11.1,35.4,clear
76,Lentil(Masur),Panna,2016-03-03,4325.0,7.1,35.4,clear
77,Bengal Gram(Gram),Panna,2016-09-03,4278.0,2.1,33.4,clear
78,Lentil(Masur),Panna,2016-09-03,4800.0,44.7,33.4,clear
79,Bengal Gram(Gram),Panna,2016-10-03,4250.0,5.6,35.0,clear
80,Lentil(Masur),Panna,2016-10-03,4750.0,8.1,35.0,clear
81,Bengal Gram(Gram),Panna,2016-11-03,4350.0,5.4,32.2,clear
82,Lentil(Masur),Panna,2016-11-03,4900.0,16.6,32.2,clear
83,Bengal Gram(Gram),Panna,2016-12-03,4325.0,8.2,25.6,clear
84,Lentil(Masur),Devandranagar,2016-12-03,5200.0,19.5,25.6,clear
