,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Ashta,2012-02-15,3041.0,0.2,28.6,clear
1,Arhar (Tur/Red Gram),Rehati,2012-02-15,2800.0,0.1,28.6,clear
2,Arhar (Tur/Red Gram),Sehore,2012-02-15,3001.0,9.5,28.6,clear
3,Black Gram (Urd Beans),Ashta,2012-02-15,3000.0,188.0,28.6,clear
4,Arhar (Tur/Red Gram),Ichhawar,2012-12-06,2700.0,0.2,30.0,clear
5,Black Gram (Urd Beans),Ashta,2012-12-06,3853.0,46.5,30.0,clear
6,Green Gram (Moong),Nasrullaganj,2012-12-06,3675.0,168.0,30.0,clear
7,Green Gram (Moong),Rehati,2012-12-06,3300.0,39.4,30.0,clear
8,Lentil(Masur),Ichhawar,2012-12-06,3510.0,6.0,30.0,clear
9,Arhar (Tur/Red Gram),Ichhawar,2012-08-17,3300.0,0.3,25.2,rain
10,Arhar (Tur/Red Gram),Ichhawar,2012-10-25,3000.0,0.2,30.6,clear
11,Black Gram (Urd Beans),Ashta,2012-10-25,4191.0,29.8,30.6,clear
12,Black Gram (Urd Beans),Ichhawar,2012-10-25,2900.0,0.3,30.6,clear
13,Arhar (Tur/Red Gram),Nasrullaganj,2012-08-05,2685.0,3.8,27.0,rain
14,Arhar (Tur/Red Gram),Sehore,2012-08-05,2400.0,0.2,27.0,rain
15,Black Gram (Urd Beans),Ashta,2012-08-05,3901.0,164.5,27.0,rain
16,Arhar (Tur/Red Gram),Nasrullaganj,2012-05-24,2501.0,0.5,42.0,clear
17,Black Gram (Urd Beans),Ashta,2012-05-24,3915.0,63.2,42.0,clear
18,Green Gram (Moong),Nasrullaganj,2012-05-24,3775.0,64.7,42.0,clear
19,Green Gram (Moong),Rehati,2012-05-24,3812.0,6.4,42.0,clear
20,Arhar (Tur/Red Gram),Nasrullaganj,2012-05-29,2700.0,0.5,42.6,clear
21,Arhar (Tur/Red Gram),Sehore,2012-05-29,2561.0,0.1,42.6,clear
22,Black Gram (Urd Beans),Ashta,2012-05-29,3951.0,50.2,42.6,clear
23,Green Gram (Moong),Nasrullaganj,2012-05-29,3775.0,139.7,42.6,clear
24,Green Gram (Moong),Rehati,2012-05-29,3770.0,17.4,42.6,clear
25,Arhar (Tur/Red Gram),Nasrullaganj,2012-02-06,2500.0,0.1,27.0,clear
26,Black Gram (Urd Beans),Ashta,2012-02-06,3900.0,38.5,27.0,clear
27,Green Gram (Moong),Nasrullaganj,2012-02-06,3825.0,162.5,27.0,clear
28,Green Gram (Moong),Rehati,2012-02-06,3500.0,14.4,27.0,clear
29,Arhar (Tur/Red Gram),Nasrullaganj,2012-04-06,2501.0,0.1,38.4,clear
30,Black Gram (Urd Beans),Ashta,2012-04-06,3900.0,59.2,38.4,clear
31,Green Gram (Moong),Nasrullaganj,2012-04-06,3575.0,234.2,38.4,clear
32,Green Gram (Moong),Rehati,2012-04-06,3465.0,20.8,38.4,clear
33,Lentil(Masur),Ichhawar,2012-04-06,3380.0,0.5,38.4,clear
34,Arhar (Tur/Red Gram),Nasrullaganj,2012-05-06,2400.0,0.1,38.6,clear
35,Arhar (Tur/Red Gram),Sehore,2012-05-06,2601.0,0.8,38.6,clear
36,Black Gram (Urd Beans),Ashta,2012-05-06,3952.0,61.7,38.6,clear
37,Green Gram (Moong),Nasrullaganj,2012-05-06,3500.0,1454.0,38.6,clear
38,Arhar (Tur/Red Gram),Nasrullaganj,2012-06-06,2500.0,0.1,34.4,clear
39,Arhar (Tur/Red Gram),Sehore,2012-06-06,2850.0,0.8,34.4,clear
40,Black Gram (Urd Beans),Ashta,2012-06-06,3900.0,79.5,34.4,clear
