,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Kalapipal,2015-12-08,3800.0,4.0,27.0,clear
1,Bengal Gram(Gram),Shujalpur,2015-12-08,4000.0,5.3,27.0,clear
2,Lentil(Masur),Agar,2015-12-08,6450.0,2.9,27.0,clear
3,Lentil(Masur),Shajapur,2015-12-08,5850.0,0.04,27.0,clear
4,Lentil(Masur),Shujalpur,2015-12-08,6000.0,1.78,27.0,clear
5,Bengal Gram(Gram),Kalapipal,2015-12-09,4100.0,0.07,27.0,clear
6,Bengal Gram(Gram),Shujalpur,2015-12-09,4250.0,43.45,27.0,clear
7,Green Gram (Moong),Shujalpur,2015-12-09,5301.0,0.0,27.0,clear
8,Lentil(Masur),Shujalpur,2015-12-09,3550.0,1.27,27.0,clear
9,Bengal Gram(Gram),Kalapipal,2015-12-14,4000.0,2.02,9.0,clear
10,Bengal Gram(Gram),Nalkehda,2015-12-14,4233.0,0.7,9.0,clear
11,Bengal Gram(Gram),Shajapur,2015-12-14,4025.0,0.45,9.0,clear
12,Bengal Gram(Gram),Shujalpur,2015-12-14,4400.0,61.4,9.0,clear
13,Black Gram (Urd Beans),Agar,2015-12-14,9251.0,0.1,9.0,clear
14,Lentil(Masur),Agar,2015-12-14,5851.0,0.1,9.0,clear
15,Lentil(Masur),Akodia,2015-12-14,5800.0,3.0,9.0,clear
16,Lentil(Masur),Kalapipal,2015-12-14,4500.0,0.02,9.0,clear
17,Lentil(Masur),Shujalpur,2015-12-14,5500.0,3.17,9.0,clear
18,Bengal Gram(Gram),Kalapipal,2015-12-15,3800.0,1.0,21.4,clear
19,Bengal Gram(Gram),Nalkehda,2015-12-15,4125.0,2.0,21.4,clear
20,Bengal Gram(Gram),Shajapur,2015-12-15,4705.0,0.8,21.4,clear
21,Bengal Gram(Gram),Shujalpur,2015-12-15,4350.0,48.5,21.4,clear
22,Black Gram (Urd Beans),Nalkehda,2015-12-15,9801.0,0.1,21.4,clear
23,Black Gram (Urd Beans),Shajapur,2015-12-15,8500.0,0.1,21.4,clear
24,Lentil(Masur),Agar,2015-12-15,5360.0,0.6,21.4,clear
25,Lentil(Masur),Kalapipal,2015-12-15,4800.0,0.03,21.4,clear
