,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Sheopurkalan,2015-12-21,7000.0,0.5,20.0,clear
1,Black Gram (Urd Beans),Sheopurkalan,2015-12-21,9166.0,0.3,20.0,clear
2,Arhar (Tur/Red Gram),Vijaypur,2015-12-24,7500.0,5.0,18.4,clear
3,Black Gram (Urd Beans),Sheopurbadod,2015-12-09,6500.0,0.8,25.0,clear
4,Black Gram (Urd Beans),Sheopurkalan,2015-12-09,6621.0,2.8,25.0,clear
5,Green Gram (Moong),Sheopurkalan,2015-12-09,5501.0,0.2,25.0,clear
6,Black Gram (Urd Beans),Sheopurbadod,2015-12-10,9100.0,0.4,27.0,clear
7,Black Gram (Urd Beans),Sheopurkalan,2015-12-10,9400.0,0.5,27.0,clear
8,Black Gram (Urd Beans),Sheopurkalan,2015-12-12,10000.0,0.7,19.4,clear
9,Black Gram (Urd Beans),Sheopurkalan,2015-12-14,9911.0,0.8,19.8,clear
10,Black Gram (Urd Beans),Sheopurkalan,2015-12-17,9330.0,2.0,21.0,clear
11,Black Gram (Urd Beans),Sheopurkalan,2015-12-22,8800.0,0.1,19.4,clear
12,Black Gram (Urd Beans),Sheopurkalan,2015-12-23,8960.0,0.1,18.6,clear
13,Green Gram (Moong),Sheopurkalan,2015-12-23,5753.0,0.2,18.6,clear
14,Black Gram (Urd Beans),Sheopurkalan,2015-12-26,9080.0,0.2,20.0,clear
15,Black Gram (Urd Beans),Sheopurkalan,2015-12-28,9120.0,0.1,24.0,clear
16,Green Gram (Moong),Sheopurkalan,2015-12-08,4700.0,0.5,25.4,clear
17,Green Gram (Moong),Sheopurkalan,2015-12-16,6341.0,0.7,22.0,clear
18,Arhar (Tur/Red Gram),Sheopurkalan,2016-03-03,4500.0,0.1,33.4,clear
19,Arhar (Tur/Red Gram),Vijaypur,2016-03-03,6101.0,0.0,33.4,clear
20,Arhar (Tur/Red Gram),Sheopurkalan,2016-05-03,5860.0,0.2,41.4,clear
21,Bengal Gram(Gram),Sheopurbadod,2016-05-03,3831.0,1.2,41.4,clear
