,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Black Gram (Urd Beans),Jatara,2015-12-10,7050.0,20.6,27.6,clear
1,Black Gram (Urd Beans),Niwadi,2015-12-10,9450.0,32.0,27.6,clear
2,Black Gram (Urd Beans),Jatara,2015-12-14,9500.0,31.0,18.0,clear
3,Black Gram (Urd Beans),Tikamgarh,2015-12-14,9800.0,119.8,18.0,clear
4,Black Gram (Urd Beans),Jatara,2015-12-18,9500.0,52.1,19.6,clear
5,Black Gram (Urd Beans),Tikamgarh,2015-12-18,9550.0,86.7,19.6,clear
6,Black Gram (Urd Beans),Jatara,2015-12-20,10000.0,34.0,11.6,clear
7,Black Gram (Urd Beans),Tikamgarh,2015-12-20,9450.0,47.0,11.6,clear
8,Black Gram (Urd Beans),Jatara,2015-12-21,10000.0,49.1,19.4,clear
9,Black Gram (Urd Beans),Tikamgarh,2015-12-21,9700.0,108.1,19.4,clear
10,Black Gram (Urd Beans),Jatara,2015-12-22,10000.0,19.0,19.0,clear
11,Black Gram (Urd Beans),Jatara,2015-12-23,10000.0,38.0,10.0,clear
12,Black Gram (Urd Beans),Niwadi,2015-12-23,9050.0,0.7,10.0,clear
13,Black Gram (Urd Beans),Tikamgarh,2015-12-23,9150.0,43.1,10.0,clear
14,Black Gram (Urd Beans),Jatara,2015-12-25,10000.0,70.0,17.6,clear
15,Black Gram (Urd Beans),Jatara,2015-12-26,10000.0,31.1,20.0,clear
16,Black Gram (Urd Beans),Niwadi,2015-12-26,9350.0,4.1,20.0,clear
17,Black Gram (Urd Beans),Tikamgarh,2015-12-26,9250.0,90.3,20.0,clear
18,Black Gram (Urd Beans),Jatara,2015-12-27,10000.0,87.0,22.6,clear
19,Black Gram (Urd Beans),Niwadi,2015-12-27,9350.0,9.2,22.6,clear
20,Black Gram (Urd Beans),Tikamgarh,2015-12-27,9200.0,29.5,22.6,clear
21,Black Gram (Urd Beans),Jatara,2015-12-28,10500.0,23.5,13.0,clear
22,Black Gram (Urd Beans),Tikamgarh,2015-12-28,9650.0,108.0,13.0,clear
23,Black Gram (Urd Beans),Jatara,2015-12-29,10500.0,37.0,13.2,clear
24,Black Gram (Urd Beans),Jatara,2015-12-30,10500.0,63.2,24.0,clear
25,Black Gram (Urd Beans),Niwadi,2015-12-30,9015.0,10.0,24.0,clear
26,Black Gram (Urd Beans),Tikamgarh,2015-12-30,9400.0,101.7,24.0,clear
27,Black Gram (Urd Beans),Jatara,2015-12-31,10500.0,72.0,15.0,clear
28,Black Gram (Urd Beans),Niwadi,2015-12-31,8950.0,2.3,15.0,clear
29,Black Gram (Urd Beans),Tikamgarh,2015-12-31,9700.0,40.5,15.0,clear
30,Black Gram (Urd Beans),Niwadi,2015-12-12,9610.0,10.6,22.0,clear
31,Black Gram (Urd Beans),Tikamgarh,2015-12-12,9650.0,62.4,22.0,clear
32,Black Gram (Urd Beans),Niwadi,2015-12-16,9150.0,2.0,20.6,clear
33,Black Gram (Urd Beans),Tikamgarh,2015-12-16,9400.0,132.0,20.6,clear
34,Black Gram (Urd Beans),Niwadi,2015-12-17,5350.0,2.0,20.0,clear
35,Black Gram (Urd Beans),Tikamgarh,2015-12-17,9600.0,74.0,20.0,clear
36,Black Gram (Urd Beans),Niwadi,2015-12-24,9000.0,1.0,17.6,clear
37,Black Gram (Urd Beans),Tikamgarh,2015-12-07,7200.0,58.6,24.0,clear
38,Black Gram (Urd Beans),Tikamgarh,2015-12-08,7100.0,50.9,25.0,clear
39,Black Gram (Urd Beans),Tikamgarh,2015-12-09,6900.0,220.2,15.6,clear
40,Black Gram (Urd Beans),Tikamgarh,2015-12-11,9000.0,25.1,25.0,clear
41,Black Gram (Urd Beans),Tikamgarh,2015-12-13,9600.0,56.9,13.0,clear
42,Black Gram (Urd Beans),Tikamgarh,2015-12-19,9800.0,56.4,20.0,clear
