,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Aheri,2015-12-08,7000.0,0.0,27.2,clear
1,Arhar (Tur/Red Gram),Aheri,2016-06-01,7000.0,1.0,39.0,clear
2,Arhar (Tur/Red Gram),Aheri,2016-07-01,7500.0,2.0,30.4,rain
3,Arhar (Tur/Red Gram),Aheri,2016-11-01,8000.0,8.0,29.2,clear
4,Arhar (Tur/Red Gram),Aheri,2016-12-01,8500.0,3.0,25.0,clear
5,Arhar (Tur/Red Gram),Aheri,2016-01-13,8100.0,8.0,28.2,clear
6,Arhar (Tur/Red Gram),Aheri,2016-01-14,8300.0,9.0,28.6,clear
7,Arhar (Tur/Red Gram),Aheri,2016-01-15,8300.0,2.0,27.8,clear
8,Arhar (Tur/Red Gram),Aheri,2016-01-16,8100.0,3.0,28.4,clear
9,Arhar (Tur/Red Gram),Aheri,2016-01-18,8500.0,6.0,26.2,clear
10,Arhar (Tur/Red Gram),Aheri,2016-01-19,8300.0,5.0,25.8,clear
11,Arhar (Tur/Red Gram),Aheri,2016-01-20,7600.0,10.0,24.8,clear
12,Green Gram (Moong),Aheri,2016-01-20,6000.0,0.0,24.8,clear
13,Arhar (Tur/Red Gram),Aheri,2016-01-21,7600.0,5.0,23.0,clear
14,Arhar (Tur/Red Gram),Aheri,2016-01-23,7650.0,13.0,24.4,clear
15,Green Gram (Moong),Aheri,2016-01-23,6050.0,5.0,24.4,clear
16,Arhar (Tur/Red Gram),Aheri,2016-01-25,7600.0,12.0,25.2,clear
17,Green Gram (Moong),Aheri,2016-01-25,5950.0,5.0,25.2,clear
18,Arhar (Tur/Red Gram),Aheri,2016-01-27,7800.0,12.0,30.0,clear
19,Arhar (Tur/Red Gram),Aheri,2016-01-29,7900.0,16.0,30.0,clear
20,Arhar (Tur/Red Gram),Aheri,2016-01-30,7800.0,28.0,31.4,clear
21,Arhar (Tur/Red Gram),Aheri,2016-01-02,7270.0,5.0,28.4,clear
22,Green Gram (Moong),Aheri,2016-01-02,5900.0,2.0,28.4,clear
23,Arhar (Tur/Red Gram),Aheri,2016-02-02,7050.0,3.0,21.4,clear
24,Arhar (Tur/Red Gram),Aheri,2016-03-02,7080.0,11.0,33.4,clear
25,Green Gram (Moong),Aheri,2016-03-02,5900.0,4.0,33.4,clear
26,Arhar (Tur/Red Gram),Aheri,2016-04-02,7050.0,11.0,39.8,clear
27,Arhar (Tur/Red Gram),Aheri,2016-05-02,7100.0,11.0,41.6,clear
28,Green Gram (Moong),Aheri,2016-05-02,5900.0,4.0,41.6,clear
29,Arhar (Tur/Red Gram),Aheri,2016-06-02,7000.0,7.0,43.6,clear
30,Arhar (Tur/Red Gram),Aheri,2016-08-02,7160.0,8.0,26.4,clear
31,Arhar (Tur/Red Gram),Aheri,2016-09-02,7200.0,5.0,28.4,clear
32,Arhar (Tur/Red Gram),Aheri,2016-10-02,7200.0,5.0,27.4,clear
33,Arhar (Tur/Red Gram),Aheri,2016-11-02,7150.0,10.0,28.8,clear
34,Arhar (Tur/Red Gram),Aheri,2016-02-13,7150.0,16.0,32.4,clear
35,Green Gram (Moong),Aheri,2016-02-13,5800.0,6.0,32.4,clear
36,Arhar (Tur/Red Gram),Aheri,2016-02-15,7150.0,5.0,32.4,clear
37,Arhar (Tur/Red Gram),Aheri,2016-02-16,7000.0,4.0,32.6,clear
38,Arhar (Tur/Red Gram),Aheri,2016-02-17,7100.0,18.0,33.6,clear
39,Arhar (Tur/Red Gram),Aheri,2016-02-20,6850.0,9.0,35.0,clear
40,Arhar (Tur/Red Gram),Aheri,2016-01-03,6650.0,22.0,27.4,clear
41,Arhar (Tur/Red Gram),Aheri,2016-02-03,6700.0,4.0,30.4,clear
42,Arhar (Tur/Red Gram),Aheri,2016-04-03,7200.0,18.0,40.6,clear
43,Arhar (Tur/Red Gram),Aheri,2016-09-03,7000.0,2.0,28.4,clear
44,Arhar (Tur/Red Gram),Aheri,2016-11-03,7300.0,16.0,28.4,clear
45,Arhar (Tur/Red Gram),Aheri,2016-03-17,7150.0,8.0,36.0,clear
46,Green Gram (Moong),Aheri,2016-03-17,5500.0,3.0,36.0,clear
47,Arhar (Tur/Red Gram),Aheri,2016-03-19,7400.0,12.0,36.6,clear
48,Green Gram (Moong),Aheri,2016-03-19,5500.0,4.0,36.6,clear
49,Arhar (Tur/Red Gram),Aheri,2016-03-23,6850.0,10.0,34.6,clear
50,Arhar (Tur/Red Gram),Aheri,2016-03-26,7300.0,12.0,38.0,clear
51,Arhar (Tur/Red Gram),Aheri,2016-03-31,7300.0,34.0,37.0,clear
52,Arhar (Tur/Red Gram),Aheri,2016-02-04,8000.0,21.0,30.0,clear
53,Arhar (Tur/Red Gram),Aheri,2016-05-04,7500.0,1.0,39.2,clear
54,Arhar (Tur/Red Gram),Aheri,2016-09-04,8500.0,21.0,29.0,clear
55,Arhar (Tur/Red Gram),Aheri,2016-11-04,7100.0,16.0,29.8,clear
56,Arhar (Tur/Red Gram),Aheri,2016-12-04,7200.0,11.0,26.6,clear
57,Arhar (Tur/Red Gram),Aheri,2016-04-23,7900.0,17.0,41.4,clear
58,Arhar (Tur/Red Gram),Aheri,2016-05-28,6600.0,4.0,43.0,clear
59,Arhar (Tur/Red Gram),Aheri,2016-04-06,6500.0,2.0,35.8,clear
60,Arhar (Tur/Red Gram),Aheri,2016-02-07,8000.0,17.0,30.6,clear
61,Arhar (Tur/Red Gram),Aheri,2016-07-20,8000.0,1.0,30.4,clear
62,Arhar (Tur/Red Gram),Aheri,2016-08-22,7000.0,1.0,30.6,clear
63,Arhar (Tur/Red Gram),Aheri,2016-09-09,7000.0,16.0,30.0,clear
64,Arhar (Tur/Red Gram),Aheri,2016-12-09,6000.0,17.0,23.2,clear
65,Arhar (Tur/Red Gram),Aheri,2016-09-16,6500.0,92.0,30.4,clear
66,Arhar (Tur/Red Gram),Aheri,2016-10-10,6500.0,17.0,28.6,clear
67,Arhar (Tur/Red Gram),Aheri,2016-10-21,6500.0,1.0,29.0,clear
68,Arhar (Tur/Red Gram),Aheri,2016-10-26,7500.0,16.0,24.0,clear
69,Arhar (Tur/Red Gram),Aheri,2016-06-12,5000.0,1.0,34.0,clear
70,Arhar (Tur/Red Gram),Aheri,2016-12-14,5500.0,1.0,26.8,clear
71,Bengal Gram(Gram),Aheri,2016-12-14,8500.0,0.0,26.8,clear
72,Bengal Gram(Gram),Aheri,2016-06-15,3300.0,0.0,39.4,clear
73,Green Gram (Moong),Aheri,2016-06-15,5700.0,0.0,39.4,clear
74,Bengal Gram(Gram),Aheri,2016-06-16,3300.0,1.0,39.4,clear
75,Bengal Gram(Gram),Aheri,2016-01-07,4000.0,1.0,27.2,clear
76,Bengal Gram(Gram),Aheri,2016-02-08,4500.0,1.0,29.8,clear
77,Bengal Gram(Gram),Aheri,2016-11-24,6000.0,1.0,25.8,clear
78,Bengal Gram(Gram),Aheri,2016-11-30,6000.0,1.0,28.4,clear
79,Bengal Gram(Gram),Aheri,2016-10-12,6000.0,2.0,31.8,clear
80,Green Gram (Moong),Aheri,2016-02-27,5900.0,8.0,32.4,clear
81,Green Gram (Moong),Aheri,2016-10-03,5600.0,2.0,29.8,clear
82,Green Gram (Moong),Aheri,2016-03-22,5800.0,7.0,36.4,clear
83,Green Gram (Moong),Aheri,2016-04-20,5600.0,0.0,41.4,clear
84,Green Gram (Moong),Aheri,2016-01-06,5700.0,0.0,26.6,clear
85,Green Gram (Moong),Aheri,2016-06-21,5700.0,0.0,37.2,clear
86,Green Gram (Moong),Aheri,2016-07-25,6000.0,0.0,32.0,clear
87,Arhar (Tur/Red Gram),Aheri,2017-06-02,4500.0,8.0,39.4,clear
88,Arhar (Tur/Red Gram),Aheri,2017-08-02,4000.0,1.0,33.0,clear
89,Arhar (Tur/Red Gram),Aheri,2017-09-02,3980.0,1.0,32.6,clear
90,Arhar (Tur/Red Gram),Aheri,2017-10-02,3960.0,2.0,30.4,clear
91,Arhar (Tur/Red Gram),Aheri,2017-02-14,3965.0,3.0,31.4,clear
92,Arhar (Tur/Red Gram),Aheri,2017-02-16,4000.0,4.0,32.6,clear
93,Arhar (Tur/Red Gram),Aheri,2017-02-17,3950.0,2.0,33.4,clear
94,Arhar (Tur/Red Gram),Aheri,2017-02-23,5050.0,2.0,31.6,clear
95,Arhar (Tur/Red Gram),Aheri,2017-02-25,3840.0,1.0,29.6,clear
96,Arhar (Tur/Red Gram),Aheri,2017-01-03,3900.0,1.0,24.8,clear
97,Arhar (Tur/Red Gram),Aheri,2017-02-03,3900.0,1.0,29.6,clear
98,Arhar (Tur/Red Gram),Aheri,2017-04-03,3850.0,2.0,40.6,clear
