,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-10-01,5500.0,3.5,26.0,rain
1,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-10-01,3900.0,3.0,26.0,rain
2,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-10-01,5100.0,1.8,26.0,rain
3,Green Gram (Moong),Kolhapur(Laxmipuri),2012-10-01,5500.0,2.5,26.0,rain
4,Lentil(Masur),Kolhapur(Laxmipuri),2012-10-01,3800.0,3.0,26.0,rain
5,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-11-01,5500.0,3.7,25.6,clear
6,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-11-01,3900.0,3.7,25.6,clear
7,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-11-01,5100.0,2.5,25.6,clear
8,Green Gram (Moong),Kolhapur(Laxmipuri),2012-11-01,5500.0,2.0,25.6,clear
9,Lentil(Masur),Kolhapur(Laxmipuri),2012-11-01,3800.0,3.2,25.6,clear
10,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-12-01,5500.0,4.0,28.0,clear
11,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-12-01,3900.0,2.5,28.0,clear
12,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-12-01,5100.0,2.0,28.0,clear
13,Green Gram (Moong),Kolhapur(Laxmipuri),2012-12-01,5500.0,2.7,28.0,clear
14,Lentil(Masur),Kolhapur(Laxmipuri),2012-12-01,3800.0,4.0,28.0,clear
15,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-01-13,5500.0,420.0,26.4,clear
16,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-01-13,3900.0,2.6,26.4,clear
17,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-01-13,5100.0,2.0,26.4,clear
18,Green Gram (Moong),Kolhapur(Laxmipuri),2012-01-13,5500.0,3.0,26.4,clear
19,Lentil(Masur),Kolhapur(Laxmipuri),2012-01-13,3800.0,3.8,26.4,clear
20,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-01-14,5500.0,3.8,26.0,clear
21,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-01-14,3900.0,2.9,26.0,clear
22,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-01-14,5100.0,1.7,26.0,clear
23,Green Gram (Moong),Kolhapur(Laxmipuri),2012-01-14,5500.0,2.5,26.0,clear
24,Lentil(Masur),Kolhapur(Laxmipuri),2012-01-14,3800.0,3.5,26.0,clear
25,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-01-16,5500.0,3.8,24.0,clear
26,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-01-16,3900.0,2.5,24.0,clear
27,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-01-16,5100.0,1.8,24.0,clear
28,Green Gram (Moong),Kolhapur(Laxmipuri),2012-01-16,5500.0,2.5,24.0,clear
29,Lentil(Masur),Kolhapur(Laxmipuri),2012-01-16,3800.0,3.0,24.0,clear
30,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-01-17,5500.0,3.5,29.0,clear
31,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-01-17,3900.0,2.7,29.0,clear
32,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-01-17,5100.0,2.0,29.0,clear
33,Green Gram (Moong),Kolhapur(Laxmipuri),2012-01-17,5500.0,2.0,29.0,clear
34,Lentil(Masur),Kolhapur(Laxmipuri),2012-01-17,3800.0,3.2,29.0,clear
35,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-01-18,5500.0,4.0,27.4,clear
36,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-01-18,3900.0,3.0,27.4,clear
37,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-01-18,5100.0,1.9,27.4,clear
38,Green Gram (Moong),Kolhapur(Laxmipuri),2012-01-18,5500.0,2.7,27.4,clear
39,Lentil(Masur),Kolhapur(Laxmipuri),2012-01-18,3800.0,3.5,27.4,clear
40,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-01-19,5500.0,4.2,25.6,clear
41,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-01-19,3900.0,3.2,25.6,clear
42,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-01-19,5100.0,2.0,25.6,clear
43,Green Gram (Moong),Kolhapur(Laxmipuri),2012-01-19,5500.0,2.5,25.6,clear
44,Lentil(Masur),Kolhapur(Laxmipuri),2012-01-19,3800.0,3.2,25.6,clear
45,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-01-20,5500.0,4.3,26.6,clear
46,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-01-20,3900.0,3.3,26.6,clear
47,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-01-20,5100.0,2.5,26.6,clear
48,Green Gram (Moong),Kolhapur(Laxmipuri),2012-01-20,5500.0,2.6,26.6,clear
49,Lentil(Masur),Kolhapur(Laxmipuri),2012-01-20,3800.0,3.0,26.6,clear
50,Arhar (Tur/Red Gram),Kolhapur(Laxmipuri),2012-01-21,5500.0,4.4,28.2,clear
51,Bengal Gram(Gram),Kolhapur(Laxmipuri),2012-01-21,3900.0,3.0,28.2,clear
52,Black Gram (Urd Beans),Kolhapur(Laxmipuri),2012-01-21,5100.0,2.6,28.2,clear
53,Green Gram (Moong),Kolhapur(Laxmipuri),2012-01-21,5500.0,2.7,28.2,clear
54,Lentil(Masur),Kolhapur(Laxmipuri),2012-01-21,3800.0,3.3,28.2,clear
