,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Kalmeshwar,2012-02-01,2664.0,1.0,24.4,clear
1,Arhar (Tur/Red Gram),Nagpur,2012-02-01,2600.0,0.0,24.4,clear
2,Arhar (Tur/Red Gram),Savner,2012-02-01,2646.0,3.3,24.4,clear
3,Bengal Gram(Gram),Nagpur,2012-02-01,2875.0,4.0,24.4,clear
4,Bengal Gram(Gram),Savner,2012-02-01,2250.0,0.4,24.4,clear
5,Arhar (Tur/Red Gram),Kalmeshwar,2012-09-01,3050.0,0.8,33.0,clear
6,Arhar (Tur/Red Gram),Katol,2012-09-01,2800.0,1.5,33.0,clear
7,Arhar (Tur/Red Gram),Savner,2012-09-01,2868.0,13.6,33.0,clear
8,Bengal Gram(Gram),Katol,2012-09-01,2950.0,1.2,33.0,clear
9,Bengal Gram(Gram),Savner,2012-09-01,2650.0,0.4,33.0,clear
10,Arhar (Tur/Red Gram),Kalmeshwar,2012-10-01,2850.0,1.1,32.0,clear
11,Arhar (Tur/Red Gram),Katol,2012-10-01,3180.0,4.8,32.0,clear
12,Arhar (Tur/Red Gram),Savner,2012-10-01,2850.0,12.2,32.0,clear
13,Bengal Gram(Gram),Katol,2012-10-01,2850.0,2.5,32.0,clear
14,Bengal Gram(Gram),Savner,2012-10-01,2650.0,0.5,32.0,clear
15,Arhar (Tur/Red Gram),Kalmeshwar,2012-11-01,2850.0,0.6,29.6,clear
16,Arhar (Tur/Red Gram),Katol,2012-11-01,2900.0,3.5,29.6,clear
17,Arhar (Tur/Red Gram),Savner,2012-11-01,3026.0,15.1,29.6,clear
18,Bengal Gram(Gram),Katol,2012-11-01,3000.0,2.5,29.6,clear
19,Bengal Gram(Gram),Savner,2012-11-01,2175.0,0.1,29.6,clear
20,Arhar (Tur/Red Gram),Kalmeshwar,2012-01-13,2800.0,1.2,23.6,clear
21,Arhar (Tur/Red Gram),Katol,2012-01-13,2900.0,7.0,23.6,clear
22,Arhar (Tur/Red Gram),Savner,2012-01-13,3016.0,31.8,23.6,clear
23,Bengal Gram(Gram),Katol,2012-01-13,3050.0,4.5,23.6,clear
24,Bengal Gram(Gram),Savner,2012-01-13,2975.0,1.1,23.6,clear
25,Arhar (Tur/Red Gram),Kalmeshwar,2012-01-14,3025.0,2.1,23.2,clear
26,Arhar (Tur/Red Gram),Savner,2012-01-14,3188.0,17.7,23.2,clear
27,Arhar (Tur/Red Gram),Umared,2012-01-14,3250.0,15.0,23.2,clear
28,Bengal Gram(Gram),Savner,2012-01-14,2960.0,0.1,23.2,clear
29,Bengal Gram(Gram),Umared,2012-01-14,3260.0,4.5,23.2,clear
30,Arhar (Tur/Red Gram),Kalmeshwar,2012-01-16,3075.0,1.0,30.0,clear
31,Arhar (Tur/Red Gram),Katol,2012-01-16,3001.0,6.5,30.0,clear
32,Arhar (Tur/Red Gram),Nagpur,2012-01-16,2975.0,0.4,30.0,clear
33,Arhar (Tur/Red Gram),Savner,2012-01-16,3238.0,27.3,30.0,clear
34,Bengal Gram(Gram),Katol,2012-01-16,2725.0,1.0,30.0,clear
35,Bengal Gram(Gram),Nagpur,2012-01-16,3030.0,2.5,30.0,clear
36,Bengal Gram(Gram),Savner,2012-01-16,3101.0,0.3,30.0,clear
37,Arhar (Tur/Red Gram),Kalmeshwar,2012-01-17,3075.0,3.1,29.2,clear
38,Arhar (Tur/Red Gram),Katol,2012-01-17,3150.0,5.5,29.2,clear
39,Arhar (Tur/Red Gram),Nagpur,2012-01-17,3030.0,8.9,29.2,clear
40,Arhar (Tur/Red Gram),Savner,2012-01-17,3188.0,30.9,29.2,clear
41,Bengal Gram(Gram),Katol,2012-01-17,2855.0,2.0,29.2,clear
42,Bengal Gram(Gram),Nagpur,2012-01-17,2985.0,0.0,29.2,clear
43,Bengal Gram(Gram),Savner,2012-01-17,2750.0,0.2,29.2,clear
44,Arhar (Tur/Red Gram),Kalmeshwar,2012-01-18,3090.0,2.5,29.4,clear
45,Arhar (Tur/Red Gram),Katol,2012-01-18,2800.0,2.5,29.4,clear
46,Arhar (Tur/Red Gram),Nagpur,2012-01-18,3030.0,4.8,29.4,clear
47,Arhar (Tur/Red Gram),Savner,2012-01-18,3150.0,25.5,29.4,clear
48,Bengal Gram(Gram),Nagpur,2012-01-18,2950.0,1.2,29.4,clear
49,Bengal Gram(Gram),Savner,2012-01-18,2951.0,0.3,29.4,clear
50,Arhar (Tur/Red Gram),Kalmeshwar,2012-01-19,3075.0,3.2,27.6,clear
51,Arhar (Tur/Red Gram),Katol,2012-01-19,2900.0,4.0,27.6,clear
52,Arhar (Tur/Red Gram),Savner,2012-01-19,3102.0,33.4,27.6,clear
53,Bengal Gram(Gram),Kalmeshwar,2012-01-19,2605.0,0.5,27.6,clear
54,Bengal Gram(Gram),Nagpur,2012-01-19,3100.0,0.5,27.6,clear
55,Green Gram (Moong),Nagpur,2012-01-19,3300.0,0.0,27.6,clear
56,Arhar (Tur/Red Gram),Kalmeshwar,2012-01-20,3080.0,3.0,25.0,clear
57,Arhar (Tur/Red Gram),Katol,2012-01-20,3000.0,5.0,25.0,clear
58,Arhar (Tur/Red Gram),Nagpur,2012-01-20,3006.0,18.8,25.0,clear
59,Arhar (Tur/Red Gram),Savner,2012-01-20,3060.0,45.0,25.0,clear
60,Bengal Gram(Gram),Katol,2012-01-20,2700.0,2.5,25.0,clear
61,Bengal Gram(Gram),Nagpur,2012-01-20,2875.0,17.3,25.0,clear
62,Bengal Gram(Gram),Savner,2012-01-20,2750.0,0.6,25.0,clear
63,Green Gram (Moong),Nagpur,2012-01-20,3300.0,0.0,25.0,clear
64,Arhar (Tur/Red Gram),Kalmeshwar,2012-01-21,3075.0,3.2,24.0,clear
65,Arhar (Tur/Red Gram),Savner,2012-01-21,3023.0,49.5,24.0,clear
66,Bengal Gram(Gram),Kalmeshwar,2012-01-21,2620.0,0.5,24.0,clear
