,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Jintur,2013-05-28,4150.0,1.2,40.0,clear
1,Arhar (Tur/Red Gram),Jintur(Bori),2013-05-28,3550.0,1.0,40.0,clear
2,Arhar (Tur/Red Gram),Parbhani,2013-05-28,4075.0,3.0,40.0,clear
3,Bengal Gram(Gram),Jintur,2013-05-28,3000.0,0.5,40.0,clear
4,Bengal Gram(Gram),Parbhani,2013-05-28,3025.0,1.5,40.0,clear
5,Arhar (Tur/Red Gram),Parbhani,2014-08-10,4425.0,1.5,29.8,clear
6,Bengal Gram(Gram),Jintur,2014-08-03,2780.0,11.5,31.8,clear
7,Bengal Gram(Gram),Jintur(Bori),2014-08-03,2800.0,1.2,31.8,clear
8,Arhar (Tur/Red Gram),Jintur,2015-12-08,7000.0,1.0,28.6,clear
9,Arhar (Tur/Red Gram),Parbhani,2015-12-08,7900.0,2.0,28.6,clear
10,Arhar (Tur/Red Gram),Jintur(Bori),2015-12-30,7500.0,0.0,30.8,clear
11,Arhar (Tur/Red Gram),Jintur(Bori),2015-12-31,8070.0,0.0,31.0,clear
12,Arhar (Tur/Red Gram),Pathari,2015-12-16,8700.0,0.0,31.2,clear
13,Arhar (Tur/Red Gram),Pathari,2015-12-18,9150.0,4.0,28.8,clear
14,Arhar (Tur/Red Gram),Pathari,2015-12-19,9000.0,4.0,30.8,clear
15,Arhar (Tur/Red Gram),Selu,2015-12-19,9000.0,3.0,30.8,clear
16,Bengal Gram(Gram),Parbhani,2015-12-19,4300.0,1.0,30.8,clear
17,Arhar (Tur/Red Gram),Pathari,2015-12-22,7860.0,3.0,29.8,clear
18,Arhar (Tur/Red Gram),Purna,2015-12-22,8002.0,1.0,29.8,clear
19,Green Gram (Moong),Parbhani,2015-12-22,6800.0,0.0,29.8,clear
20,Bengal Gram(Gram),Jintur,2015-12-15,3501.0,0.0,31.0,clear
