,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Baramati,2012-05-01,3390.0,8.0,36.4,clear
1,Arhar (Tur/Red Gram),Indapur,2012-05-01,3000.0,0.7,36.4,clear
2,Bengal Gram(Gram),Baramati,2012-05-01,3170.0,4.6,36.4,clear
3,Bengal Gram(Gram),Indapur,2012-05-01,2650.0,0.4,36.4,clear
4,Bengal Gram(Gram),Pune,2012-05-01,4150.0,10.0,36.4,clear
5,Bengal Gram(Gram),Shirur,2012-05-01,2800.0,0.1,36.4,clear
6,Black Gram (Urd Beans),Pune,2012-05-01,3150.0,0.5,36.4,clear
7,Lentil(Masur),Pune,2012-05-01,4550.0,9.0,36.4,clear
8,Arhar (Tur/Red Gram),Baramati,2012-01-16,3240.0,16.9,30.2,clear
9,Arhar (Tur/Red Gram),Dound,2012-01-16,3050.0,0.4,30.2,clear
10,Bengal Gram(Gram),Baramati,2012-01-16,3040.0,2.2,30.2,clear
11,Bengal Gram(Gram),Dound,2012-01-16,3000.0,0.1,30.2,clear
12,Bengal Gram(Gram),Pune,2012-01-16,3800.0,21.9,30.2,clear
13,Bengal Gram(Gram),Shirur,2012-01-16,2500.0,0.1,30.2,clear
14,Green Gram (Moong),Pune,2012-01-16,4900.0,5.0,30.2,clear
15,Lentil(Masur),Pune,2012-01-16,3500.0,4.3,30.2,clear
16,Arhar (Tur/Red Gram),Baramati,2012-01-23,3160.0,7.0,29.2,clear
17,Bengal Gram(Gram),Baramati,2012-01-23,3050.0,1.0,29.2,clear
18,Bengal Gram(Gram),Pune,2012-01-23,3600.0,10.4,29.2,clear
19,Black Gram (Urd Beans),Pune,2012-01-23,4000.0,0.5,29.2,clear
20,Green Gram (Moong),Pune,2012-01-23,5000.0,5.5,29.2,clear
21,Lentil(Masur),Pune,2012-01-23,3700.0,5.0,29.2,clear
22,Arhar (Tur/Red Gram),Baramati,2012-02-13,3000.0,1.3,32.5,clear
23,Arhar (Tur/Red Gram),Dound,2012-02-13,2800.0,0.4,32.5,clear
24,Bengal Gram(Gram),Baramati,2012-02-13,3111.0,4.3,32.5,clear
25,Bengal Gram(Gram),Dound,2012-02-13,2900.0,0.3,32.5,clear
26,Bengal Gram(Gram),Pune,2012-02-13,3650.0,10.4,32.5,clear
27,Black Gram (Urd Beans),Pune,2012-02-13,4375.0,0.6,32.5,clear
28,Green Gram (Moong),Pune,2012-02-13,4975.0,6.6,32.5,clear
29,Lentil(Masur),Pune,2012-02-13,3525.0,7.7,32.5,clear
30,Arhar (Tur/Red Gram),Dound,2012-01-13,2960.0,0.7,26.4,clear
31,Bengal Gram(Gram),Pune,2012-01-13,3900.0,11.6,26.4,clear
32,Black Gram (Urd Beans),Pune,2012-01-13,3100.0,0.4,26.4,clear
33,Green Gram (Moong),Pune,2012-01-13,4250.0,3.3,26.4,clear
34,Lentil(Masur),Pune,2012-01-13,3550.0,3.8,26.4,clear
35,Arhar (Tur/Red Gram),Dound,2012-01-17,3100.0,5.3,30.4,clear
36,Bengal Gram(Gram),Dound,2012-01-17,3000.0,3.1,30.4,clear
37,Bengal Gram(Gram),Pune,2012-01-17,3750.0,16.4,30.4,clear
38,Black Gram (Urd Beans),Pune,2012-01-17,3900.0,0.3,30.4,clear
39,Green Gram (Moong),Pune,2012-01-17,4600.0,4.5,30.4,clear
40,Lentil(Masur),Pune,2012-01-17,3500.0,7.1,30.4,clear
41,Arhar (Tur/Red Gram),Dound,2012-02-14,2750.0,3.5,32.6,clear
42,Bengal Gram(Gram),Dound,2012-02-14,3100.0,3.0,32.6,clear
43,Bengal Gram(Gram),Pune,2012-02-14,3675.0,15.4,32.6,clear
44,Black Gram (Urd Beans),Pune,2012-02-14,4450.0,0.4,32.6,clear
45,Green Gram (Moong),Pune,2012-02-14,5100.0,7.8,32.6,clear
46,Lentil(Masur),Pune,2012-02-14,3600.0,8.9,32.6,clear
47,Arhar (Tur/Red Gram),Dound,2012-02-21,2600.0,1.5,34.2,clear
48,Bengal Gram(Gram),Dound,2012-02-21,3300.0,7.9,34.2,clear
49,Bengal Gram(Gram),Pune,2012-02-21,3650.0,15.8,34.2,clear
50,Black Gram (Urd Beans),Pune,2012-02-21,3300.0,0.3,34.2,clear
51,Green Gram (Moong),Pune,2012-02-21,4500.0,9.4,34.2,clear
52,Arhar (Tur/Red Gram),Indapur,2012-02-01,2700.0,0.1,28.4,clear
53,Bengal Gram(Gram),Baramati,2012-02-01,3100.0,2.5,28.4,clear
54,Bengal Gram(Gram),Indapur,2012-02-01,2625.0,1.0,28.4,clear
55,Black Gram (Urd Beans),Indapur,2012-02-01,2800.0,0.1,28.4,clear
56,Arhar (Tur/Red Gram),Indapur,2012-06-02,2900.0,0.2,34.6,clear
57,Bengal Gram(Gram),Indapur,2012-06-02,2600.0,0.4,34.6,clear
58,Bengal Gram(Gram),Pune,2012-06-02,3650.0,11.8,34.6,clear
59,Black Gram (Urd Beans),Pune,2012-06-02,3250.0,0.6,34.6,clear
60,Green Gram (Moong),Pune,2012-06-02,4900.0,5.0,34.6,clear
61,Lentil(Masur),Pune,2012-06-02,3550.0,8.7,34.6,clear
62,Arhar (Tur/Red Gram),Indapur,2012-06-21,2000.0,0.1,32.0,clear
63,Bengal Gram(Gram),Indapur,2012-06-21,3700.0,1.7,32.0,clear
64,Bengal Gram(Gram),Shirur,2012-06-21,3700.0,0.1,32.0,clear
65,Green Gram (Moong),Indapur,2012-06-21,4400.0,0.1,32.0,clear
66,Arhar (Tur/Red Gram),Indapur(Bhigwan),2012-11-03,2601.0,0.3,30.6,clear
67,Bengal Gram(Gram),Indapur(Bhigwan),2012-11-03,3111.0,2.2,30.6,clear
68,Green Gram (Moong),Indapur(Bhigwan),2012-11-03,1500.0,0.1,30.6,clear
69,Arhar (Tur/Red Gram),Shirur,2012-07-01,3200.0,1.2,32.2,rain
