,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Imphal,2012-03-14,6500.0,0.8,26.0,clear
1,Bengal Gram(Gram),Imphal,2012-03-14,4500.0,0.6,26.0,clear
2,Black Gram (Urd Beans),Imphal,2012-03-14,5000.0,0.6,26.0,clear
3,Arhar (Tur/Red Gram),Imphal,2012-03-15,6500.0,0.8,26.4,clear
4,Black Gram (Urd Beans),Imphal,2012-03-15,4500.0,0.7,26.4,clear
5,Arhar (Tur/Red Gram),Imphal,2013-07-03,7500.0,0.7,32.6,clear
6,Bengal Gram(Gram),Imphal,2013-07-03,5500.0,0.6,32.6,clear
7,Arhar (Tur/Red Gram),Imphal,2013-08-03,7500.0,0.6,32.2,clear
8,Bengal Gram(Gram),Imphal,2013-08-03,5500.0,0.5,32.2,clear
9,Arhar (Tur/Red Gram),Imphal,2013-11-03,7500.0,0.7,26.2,clear
10,Bengal Gram(Gram),Imphal,2013-11-03,5000.0,0.6,26.2,clear
11,Arhar (Tur/Red Gram),Imphal,2013-12-03,7500.0,0.7,26.6,clear
12,Bengal Gram(Gram),Imphal,2013-12-03,5000.0,0.6,26.6,clear
13,Black Gram (Urd Beans),Imphal,2013-12-03,5000.0,0.7,26.6,clear
14,Arhar (Tur/Red Gram),Imphal,2013-03-14,7500.0,0.7,31.4,clear
15,Bengal Gram(Gram),Imphal,2013-03-14,5000.0,0.6,31.4,clear
16,Black Gram (Urd Beans),Imphal,2013-03-14,5000.0,0.7,31.4,clear
17,Arhar (Tur/Red Gram),Imphal,2013-03-15,0.0,0.7,32.4,clear
18,Bengal Gram(Gram),Imphal,2013-03-15,0.0,0.6,32.4,clear
19,Black Gram (Urd Beans),Imphal,2013-03-15,0.0,0.7,32.4,clear
20,Arhar (Tur/Red Gram),Imphal,2013-03-16,7000.0,0.6,30.6,clear
21,Bengal Gram(Gram),Imphal,2013-03-16,5000.0,0.5,30.6,clear
22,Black Gram (Urd Beans),Imphal,2013-03-16,5000.0,0.6,30.6,clear
23,Arhar (Tur/Red Gram),Imphal,2013-03-18,7000.0,0.7,25.8,clear
24,Bengal Gram(Gram),Imphal,2013-03-18,5000.0,0.6,25.8,clear
25,Black Gram (Urd Beans),Imphal,2013-03-18,5000.0,0.5,25.8,clear
26,Arhar (Tur/Red Gram),Imphal,2013-03-19,7000.0,0.6,26.4,clear
27,Bengal Gram(Gram),Imphal,2013-03-19,5000.0,0.5,26.4,clear
28,Black Gram (Urd Beans),Imphal,2013-03-19,5500.0,0.5,26.4,clear
29,Arhar (Tur/Red Gram),Imphal,2013-03-20,7000.0,0.7,29.6,clear
30,Bengal Gram(Gram),Imphal,2013-03-20,5000.0,0.6,29.6,clear
31,Black Gram (Urd Beans),Imphal,2013-03-20,5500.0,0.6,29.6,clear
