,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Bhucho,2015-04-11,8500.0,0.0,32.0,rain
1,Bengal Gram(Gram),Bhucho,2015-04-11,6600.0,0.0,32.0,rain
2,Lentil(Masur),Bhucho,2015-04-11,8500.0,0.0,32.0,rain
3,Arhar (Tur/Red Gram),Bhucho,2015-05-11,15000.0,0.0,37.4,clear
4,Bengal Gram(Gram),Bhucho,2015-05-11,6600.0,0.0,37.4,clear
5,Lentil(Masur),Bhucho,2015-05-11,8500.0,0.0,37.4,clear
6,Arhar (Tur/Red Gram),Bhucho,2015-07-11,15000.0,0.0,29.0,clear
7,Lentil(Masur),Bhucho,2015-07-11,8000.0,0.0,29.0,clear
8,Arhar (Tur/Red Gram),Bhucho,2015-10-11,15000.0,0.0,34.0,clear
9,Bengal Gram(Gram),Bhucho,2015-10-11,6600.0,0.0,34.0,clear
10,Lentil(Masur),Bhucho,2015-10-11,8500.0,0.0,34.0,clear
11,Arhar (Tur/Red Gram),Bhucho,2015-11-13,15000.0,0.0,26.6,clear
12,Bengal Gram(Gram),Bhucho,2015-11-13,6600.0,0.0,26.6,clear
13,Lentil(Masur),Bhucho,2015-11-13,8500.0,0.0,26.6,clear
14,Arhar (Tur/Red Gram),Bhucho,2015-11-17,15000.0,0.0,26.2,clear
15,Bengal Gram(Gram),Bhucho,2015-11-17,6600.0,0.0,26.2,clear
16,Lentil(Masur),Bhucho,2015-11-17,8500.0,0.0,26.2,clear
17,Lentil(Masur),Talwandi Sabo,2015-11-17,8200.0,0.01,26.2,clear
18,Arhar (Tur/Red Gram),Bhucho,2015-11-18,15000.0,0.0,25.6,clear
19,Bengal Gram(Gram),Bhucho,2015-11-18,6600.0,0.0,25.6,clear
20,Lentil(Masur),Bhucho,2015-11-18,8500.0,0.0,25.6,clear
21,Arhar (Tur/Red Gram),Bhucho,2015-11-19,15000.0,0.0,24.8,clear
22,Bengal Gram(Gram),Bhucho,2015-11-19,6600.0,0.0,24.8,clear
23,Lentil(Masur),Bhucho,2015-11-19,8500.0,0.0,24.8,clear
24,Arhar (Tur/Red Gram),Bhucho,2015-11-21,15000.0,0.0,24.0,clear
25,Bengal Gram(Gram),Bhucho,2015-11-21,6600.0,0.0,24.0,clear
26,Arhar (Tur/Red Gram),Bhucho,2015-11-24,15000.0,0.0,23.2,clear
27,Arhar (Tur/Red Gram),Sangat,2015-11-24,18000.0,1.0,23.2,clear
28,Bengal Gram(Gram),Bhucho,2015-11-24,6600.0,0.0,23.2,clear
29,Lentil(Masur),Bhucho,2015-11-24,8500.0,0.0,23.2,clear
30,Arhar (Tur/Red Gram),Bhucho,2015-11-26,15000.0,0.0,23.6,clear
31,Bengal Gram(Gram),Bhucho,2015-11-26,6600.0,0.0,23.6,clear
32,Lentil(Masur),Bhucho,2015-11-26,8500.0,0.0,23.6,clear
33,Arhar (Tur/Red Gram),Bhucho,2015-11-27,15000.0,0.0,22.0,clear
34,Bengal Gram(Gram),Bhucho,2015-11-27,6600.0,0.0,22.0,clear
35,Lentil(Masur),Bhucho,2015-11-27,8500.0,0.0,22.0,clear
36,Arhar (Tur/Red Gram),Bhucho,2015-11-29,15000.0,0.0,21.0,clear
37,Bengal Gram(Gram),Bhucho,2015-11-29,6500.0,0.0,21.0,clear
38,Lentil(Masur),Bhucho,2015-11-29,8500.0,0.0,21.0,clear
39,Arhar (Tur/Red Gram),Bhucho,2015-11-30,15000.0,0.0,21.2,clear
40,Bengal Gram(Gram),Bhucho,2015-11-30,6600.0,0.0,21.2,clear
41,Lentil(Masur),Bhucho,2015-11-30,8500.0,0.0,21.2,clear
42,Arhar (Tur/Red Gram),Bhucho,2015-01-12,15000.0,0.0,14.8,clear
43,Bengal Gram(Gram),Bhucho,2015-01-12,6600.0,0.0,14.8,clear
44,Lentil(Masur),Bhucho,2015-01-12,8500.0,0.0,14.8,clear
45,Arhar (Tur/Red Gram),Bhucho,2015-02-12,15000.0,0.0,23.0,clear
46,Bengal Gram(Gram),Bhucho,2015-02-12,6600.0,0.0,23.0,clear
47,Lentil(Masur),Bhucho,2015-02-12,8500.0,0.0,23.0,clear
48,Arhar (Tur/Red Gram),Bhucho,2015-04-12,15000.0,0.0,30.0,clear
49,Bengal Gram(Gram),Bhucho,2015-04-12,6600.0,0.0,30.0,clear
50,Lentil(Masur),Bhucho,2015-04-12,8500.0,0.0,30.0,clear
51,Arhar (Tur/Red Gram),Bhucho,2015-07-12,15000.0,0.0,32.2,clear
52,Bengal Gram(Gram),Bhucho,2015-07-12,6600.0,0.0,32.2,clear
53,Black Gram (Urd Beans),Sangat,2015-07-12,13500.0,1.0,32.2,clear
54,Lentil(Masur),Bhucho,2015-07-12,8500.0,0.0,32.2,clear
55,Arhar (Tur/Red Gram),Bhucho,2015-08-12,15000.0,0.0,34.4,clear
56,Bengal Gram(Gram),Bhucho,2015-08-12,6600.0,0.0,34.4,clear
57,Lentil(Masur),Bhucho,2015-08-12,8600.0,0.0,34.4,clear
58,Arhar (Tur/Red Gram),Bhucho,2015-10-12,15000.0,0.0,33.8,clear
59,Bengal Gram(Gram),Bhucho,2015-10-12,6600.0,0.0,33.8,clear
60,Lentil(Masur),Bhucho,2015-10-12,8600.0,0.0,33.8,clear
61,Arhar (Tur/Red Gram),Bhucho,2015-11-12,15000.0,0.0,26.0,clear
62,Bengal Gram(Gram),Bhucho,2015-11-12,6600.0,0.0,26.0,clear
63,Lentil(Masur),Bhucho,2015-11-12,8600.0,0.0,26.0,clear
64,Arhar (Tur/Red Gram),Bhucho,2015-12-14,15000.0,0.0,20.8,clear
65,Bengal Gram(Gram),Bhucho,2015-12-14,6600.0,0.0,20.8,clear
66,Green Gram (Moong),Raman,2015-12-14,8000.0,0.5,20.8,clear
67,Lentil(Masur),Bhucho,2015-12-14,8600.0,0.0,20.8,clear
68,Arhar (Tur/Red Gram),Bhucho,2015-12-15,15000.0,0.0,22.4,clear
69,Bengal Gram(Gram),Bhucho,2015-12-15,6600.0,0.0,22.4,clear
70,Lentil(Masur),Bhucho,2015-12-15,8600.0,0.0,22.4,clear
71,Arhar (Tur/Red Gram),Bhucho,2015-12-16,15000.0,0.0,18.2,clear
72,Bengal Gram(Gram),Bhucho,2015-12-16,6600.0,0.0,18.2,clear
73,Lentil(Masur),Bhucho,2015-12-16,8600.0,0.0,18.2,clear
74,Arhar (Tur/Red Gram),Bhucho,2015-12-17,15000.0,0.0,20.6,clear
75,Bengal Gram(Gram),Bhucho,2015-12-17,6600.0,0.0,20.6,clear
76,Green Gram (Moong),Raman,2015-12-17,8150.0,0.3,20.6,clear
77,Lentil(Masur),Bhucho,2015-12-17,8600.0,0.0,20.6,clear
78,Arhar (Tur/Red Gram),Bhucho,2015-12-18,15000.0,0.0,20.8,clear
79,Bengal Gram(Gram),Bhucho,2015-12-18,6600.0,0.0,20.8,clear
80,Lentil(Masur),Bhucho,2015-12-18,8600.0,0.0,20.8,clear
81,Arhar (Tur/Red Gram),Bhucho,2015-12-19,15000.0,0.0,22.0,clear
82,Bengal Gram(Gram),Bhucho,2015-12-19,6600.0,0.0,22.0,clear
83,Green Gram (Moong),Raman,2015-12-19,8100.0,0.4,22.0,clear
84,Lentil(Masur),Bhucho,2015-12-19,8600.0,0.0,22.0,clear
