,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Hindoun,2015-12-08,4185.0,1.0,25.4,clear
1,Bengal Gram(Gram),Hindoun,2015-12-12,4519.0,0.5,19.4,clear
2,Bengal Gram(Gram),Hindoun,2015-12-15,4550.0,0.1,9.0,clear
3,Bengal Gram(Gram),Hindoun,2015-12-16,4500.0,0.2,22.0,clear
4,Bengal Gram(Gram),Hindoun,2015-12-17,4570.0,0.3,21.0,clear
5,Bengal Gram(Gram),Hindoun,2015-12-24,4475.0,1.4,18.4,clear
6,Bengal Gram(Gram),Hindoun,2015-12-25,4450.0,0.3,16.4,clear
7,Bengal Gram(Gram),Hindoun,2015-12-26,4475.0,0.6,20.0,clear
8,Bengal Gram(Gram),Hindoun,2015-12-29,4500.0,0.2,25.0,clear
9,Arhar (Tur/Red Gram),Hindoun,2016-04-25,7176.0,3.8,40.0,clear
10,Arhar (Tur/Red Gram),Hindoun,2016-08-13,6943.0,0.5,28.0,clear
11,Arhar (Tur/Red Gram),Hindoun,2016-12-30,4001.0,1.4,22.6,clear
12,Bengal Gram(Gram),Hindoun,2016-08-01,3850.0,0.2,26.6,clear
13,Bengal Gram(Gram),Hindoun,2016-12-01,4460.0,0.8,25.6,clear
14,Bengal Gram(Gram),Hindoun,2016-01-27,4426.0,0.7,23.6,clear
15,Bengal Gram(Gram),Hindoun,2016-09-02,4201.0,0.8,32.0,clear
16,Bengal Gram(Gram),Hindoun,2016-10-02,4336.0,1.9,34.4,clear
17,Bengal Gram(Gram),Hindoun,2016-02-22,4625.0,0.5,28.0,clear
18,Bengal Gram(Gram),Hindoun,2016-02-23,4021.0,0.3,29.6,clear
19,Bengal Gram(Gram),Hindoun,2016-03-03,4150.0,0.2,33.4,clear
20,Bengal Gram(Gram),Hindoun,2016-03-26,4256.0,4.6,32.4,clear
21,Bengal Gram(Gram),Hindoun,2016-01-04,4695.0,4.7,12.4,clear
22,Bengal Gram(Gram),Hindoun,2016-09-04,4931.0,2.6,31.0,clear
23,Bengal Gram(Gram),Hindoun,2016-11-04,4927.0,2.5,28.0,clear
24,Bengal Gram(Gram),Hindoun,2016-04-15,5197.0,3.4,41.0,clear
25,Bengal Gram(Gram),Hindoun,2016-04-16,5325.0,0.5,40.4,clear
26,Bengal Gram(Gram),Hindoun,2016-04-20,5390.0,0.9,38.6,clear
27,Bengal Gram(Gram),Hindoun,2016-03-05,5181.0,0.8,31.4,clear
28,Bengal Gram(Gram),Hindoun,2016-04-05,5225.0,0.2,37.0,clear
29,Bengal Gram(Gram),Hindoun,2016-05-05,5302.0,0.5,40.0,clear
30,Bengal Gram(Gram),Hindoun,2016-11-05,5447.0,4.2,26.6,clear
31,Bengal Gram(Gram),Hindoun,2016-05-14,5446.0,1.2,41.4,clear
32,Bengal Gram(Gram),Hindoun,2016-05-16,5610.0,1.7,44.0,clear
33,Bengal Gram(Gram),Hindoun,2016-05-17,5764.0,4.0,44.4,clear
34,Bengal Gram(Gram),Hindoun,2016-05-18,5781.0,1.4,46.4,clear
35,Bengal Gram(Gram),Hindoun,2016-05-19,5726.0,2.5,46.8,clear
36,Bengal Gram(Gram),Hindoun,2016-05-21,5654.0,1.6,45.0,clear
37,Bengal Gram(Gram),Hindoun,2016-05-24,5635.0,1.0,41.4,clear
38,Bengal Gram(Gram),Hindoun,2016-05-25,5726.0,3.0,43.6,clear
39,Bengal Gram(Gram),Hindoun,2016-05-26,5731.0,1.3,43.0,clear
40,Bengal Gram(Gram),Hindoun,2016-05-27,5560.0,0.2,35.0,clear
41,Bengal Gram(Gram),Hindoun,2016-05-30,5773.0,1.3,36.4,clear
42,Bengal Gram(Gram),Hindoun,2016-05-31,5744.0,4.1,41.6,clear
43,Bengal Gram(Gram),Hindoun,2016-01-06,5703.0,5.9,25.0,clear
44,Bengal Gram(Gram),Hindoun,2016-02-06,5652.0,2.3,26.6,clear
45,Bengal Gram(Gram),Hindoun,2016-03-06,5775.0,0.8,31.0,clear
46,Bengal Gram(Gram),Hindoun,2016-04-06,6033.0,4.1,37.0,clear
47,Bengal Gram(Gram),Hindoun,2016-06-06,6087.0,10.4,45.0,clear
48,Bengal Gram(Gram),Hindoun,2016-07-06,6065.0,0.5,32.0,clear
49,Bengal Gram(Gram),Hindoun,2016-08-06,6142.0,1.5,34.0,clear
