,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Black Gram (Urd Beans),Cuddalore,2012-01-25,2700.0,0.2,30.4,clear
1,Black Gram (Urd Beans),Panruti,2012-01-25,3821.0,5.0,30.4,clear
2,Black Gram (Urd Beans),Virudhachalam,2012-01-25,3112.0,10.0,30.4,clear
3,Green Gram (Moong),Panruti,2012-01-25,3159.0,0.1,30.4,clear
4,Green Gram (Moong),Virudhachalam,2012-01-25,2681.0,0.05,30.4,clear
5,Black Gram (Urd Beans),Cuddalore,2012-02-13,3421.0,0.1,29.2,clear
6,Black Gram (Urd Beans),Panruti,2012-02-13,3487.0,25.0,29.2,clear
7,Green Gram (Moong),Panruti,2012-02-13,3650.0,0.3,29.2,clear
8,Black Gram (Urd Beans),Cuddalore,2012-02-15,3421.0,0.1,32.0,clear
9,Black Gram (Urd Beans),Panruti,2012-02-15,3460.0,20.0,32.0,clear
10,Green Gram (Moong),Panruti,2012-02-15,3655.0,0.3,32.0,clear
11,Black Gram (Urd Beans),Cuddalore,2012-05-28,3054.0,0.3,40.8,clear
12,Black Gram (Urd Beans),Panruti,2012-05-28,3239.0,0.2,40.8,clear
13,Green Gram (Moong),Panruti,2012-05-28,2364.0,0.1,40.8,clear
14,Black Gram (Urd Beans),Cuddalore,2012-05-30,3020.0,0.2,41.0,clear
15,Black Gram (Urd Beans),Panruti,2012-05-30,2510.0,0.3,41.0,clear
16,Green Gram (Moong),Panruti,2012-05-30,2569.0,1.0,41.0,clear
17,Black Gram (Urd Beans),Cuddalore,2012-04-06,1759.0,1.0,36.8,clear
18,Black Gram (Urd Beans),Panruti,2012-04-06,2739.0,3.0,36.8,clear
19,Black Gram (Urd Beans),Cuddalore,2012-06-06,2719.0,1.0,39.2,clear
20,Black Gram (Urd Beans),Panruti,2012-06-06,3170.0,1.0,39.2,clear
21,Black Gram (Urd Beans),Cuddalore,2012-11-06,2509.0,0.3,31.6,clear
22,Black Gram (Urd Beans),Panruti,2012-11-06,2920.0,0.01,31.6,clear
23,Black Gram (Urd Beans),Cuddalore,2012-06-13,2809.0,1.0,36.0,clear
24,Black Gram (Urd Beans),Panruti,2012-06-13,2219.0,1.0,36.0,clear
25,Black Gram (Urd Beans),Cuddalore,2012-06-14,3190.0,0.2,36.2,clear
26,Black Gram (Urd Beans),Panruti,2012-06-14,3468.0,1.2,36.2,clear
27,Black Gram (Urd Beans),Cuddalore,2012-06-18,0.0,0.1,33.6,clear
28,Black Gram (Urd Beans),Panruti,2012-06-18,2829.0,0.7,33.6,clear
29,Green Gram (Moong),Panruti,2012-06-18,0.0,0.1,33.6,clear
30,Black Gram (Urd Beans),Cuddalore,2012-06-19,1950.0,0.1,36.6,clear
31,Black Gram (Urd Beans),Panruti,2012-06-19,3389.0,2.0,36.6,clear
32,Black Gram (Urd Beans),Cuddalore,2012-06-21,2900.0,0.1,37.6,clear
33,Black Gram (Urd Beans),Panruti,2012-06-21,3014.0,0.5,37.6,clear
34,Black Gram (Urd Beans),Cuddalore,2012-02-07,1800.0,0.1,31.6,clear
35,Black Gram (Urd Beans),Panruti,2012-02-07,3353.0,0.1,31.6,clear
36,Black Gram (Urd Beans),Virudhachalam,2012-02-07,4016.0,2.0,31.6,clear
37,Green Gram (Moong),Panruti,2012-02-07,3449.0,0.1,31.6,clear
38,Green Gram (Moong),Virudhachalam,2012-02-07,3809.0,0.5,31.6,clear
39,Black Gram (Urd Beans),Cuddalore,2012-03-07,2889.0,0.3,32.4,clear
40,Black Gram (Urd Beans),Cuddalore,2012-04-07,3309.0,0.3,34.6,clear
41,Black Gram (Urd Beans),Panruti,2012-04-07,3740.0,0.5,34.6,clear
42,Black Gram (Urd Beans),Cuddalore,2012-05-07,3129.0,0.1,34.4,clear
43,Black Gram (Urd Beans),Kurinchipadi,2012-05-07,3866.0,0.2,34.4,clear
44,Black Gram (Urd Beans),Panruti,2012-05-07,3250.0,0.2,34.4,clear
45,Green Gram (Moong),Panruti,2012-05-07,3339.0,0.1,34.4,clear
46,Black Gram (Urd Beans),Cuddalore,2012-07-17,3109.0,0.1,33.6,clear
47,Black Gram (Urd Beans),Kurinchipadi,2012-07-17,3795.0,0.35,33.6,clear
48,Black Gram (Urd Beans),Panruti,2012-07-17,0.0,0.1,33.6,clear
49,Green Gram (Moong),Kurinchipadi,2012-07-17,0.0,0.3,33.6,clear
50,Green Gram (Moong),Panruti,2012-07-17,4131.0,0.7,33.6,clear
51,Black Gram (Urd Beans),Cuddalore,2012-07-23,3339.0,0.16,36.0,clear
52,Black Gram (Urd Beans),Kurinchipadi,2012-07-23,3554.0,0.5,36.0,clear
53,Black Gram (Urd Beans),Panruti,2012-07-23,3945.0,0.2,36.0,clear
54,Black Gram (Urd Beans),Cuddalore,2012-07-25,3140.0,0.2,35.4,clear
55,Black Gram (Urd Beans),Kurinchipadi,2012-07-25,0.0,0.5,35.4,clear
56,Black Gram (Urd Beans),Panruti,2012-07-25,4194.0,0.1,35.4,clear
57,Black Gram (Urd Beans),Cuddalore,2012-07-26,3219.0,0.1,35.6,clear
