,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Ajuha,2013-05-29,4150.0,2.6,40.8,clear
1,Bengal Gram(Gram),Ajuha,2013-05-29,3700.0,37.5,40.8,clear
2,Bengal Gram(Gram),Allahabad,2013-05-29,3970.0,30.0,40.8,clear
3,Green Gram (Moong),Allahabad,2013-05-29,5000.0,1.5,40.8,clear
4,Arhar (Tur/Red Gram),Ajuha,2015-12-07,5975.0,3.0,21.2,clear
5,Bengal Gram(Gram),Ajuha,2015-12-07,4480.0,7.0,21.2,clear
6,Arhar (Tur/Red Gram),Ajuha,2015-12-08,6350.0,2.6,23.0,clear
7,Arhar (Tur/Red Gram),Jasra,2015-12-08,5875.0,1.5,23.0,clear
8,Arhar (Tur/Red Gram),Sirsa,2015-12-08,6020.0,2.0,23.0,clear
9,Bengal Gram(Gram),Ajuha,2015-12-08,4765.0,12.0,23.0,clear
10,Bengal Gram(Gram),Allahabad,2015-12-08,4825.0,10.0,23.0,clear
11,Bengal Gram(Gram),Jasra,2015-12-08,4675.0,3.5,23.0,clear
12,Bengal Gram(Gram),Sirsa,2015-12-08,4585.0,2.0,23.0,clear
13,Black Gram (Urd Beans),Jasra,2015-12-08,7750.0,2.5,23.0,clear
14,Black Gram (Urd Beans),Sirsa,2015-12-08,7710.0,1.6,23.0,clear
15,Arhar (Tur/Red Gram),Ajuha,2015-12-10,7500.0,2.4,26.0,clear
16,Arhar (Tur/Red Gram),Jasra,2015-12-10,7100.0,1.5,26.0,clear
17,Arhar (Tur/Red Gram),Sirsa,2015-12-10,7400.0,3.0,26.0,clear
18,Bengal Gram(Gram),Ajuha,2015-12-10,4870.0,9.5,26.0,clear
19,Bengal Gram(Gram),Allahabad,2015-12-10,5260.0,14.0,26.0,clear
20,Bengal Gram(Gram),Jasra,2015-12-10,4850.0,3.0,26.0,clear
21,Bengal Gram(Gram),Sirsa,2015-12-10,4875.0,3.5,26.0,clear
22,Black Gram (Urd Beans),Jasra,2015-12-10,8525.0,2.5,26.0,clear
23,Black Gram (Urd Beans),Sirsa,2015-12-10,8725.0,2.5,26.0,clear
24,Arhar (Tur/Red Gram),Ajuha,2015-12-14,7950.0,2.2,21.8,clear
