,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Atarra,2015-12-09,4400.0,3.0,24.4,clear
1,Lentil(Masur),Atarra,2015-12-09,5600.0,3.0,24.4,clear
2,Bengal Gram(Gram),Atarra,2015-12-15,4800.0,0.5,19.0,clear
3,Bengal Gram(Gram),Baberu,2015-12-15,4300.0,20.0,19.0,clear
4,Lentil(Masur),Atarra,2015-12-15,5800.0,1.5,19.0,clear
5,Lentil(Masur),Baberu,2015-12-15,4775.0,15.0,19.0,clear
6,Bengal Gram(Gram),Atarra,2015-12-16,4800.0,0.7,18.4,clear
7,Bengal Gram(Gram),Banda,2015-12-16,4625.0,25.0,18.4,clear
8,Lentil(Masur),Atarra,2015-12-16,5800.0,0.5,18.4,clear
9,Bengal Gram(Gram),Atarra,2015-12-17,4800.0,1.0,18.2,clear
10,Bengal Gram(Gram),Baberu,2015-12-17,4300.0,25.0,18.2,clear
11,Lentil(Masur),Atarra,2015-12-17,5800.0,1.0,18.2,clear
12,Lentil(Masur),Baberu,2015-12-17,4775.0,10.0,18.2,clear
13,Bengal Gram(Gram),Atarra,2015-12-19,4900.0,1.5,19.6,clear
14,Bengal Gram(Gram),Baberu,2015-12-19,4200.0,20.0,19.6,clear
15,Bengal Gram(Gram),Banda,2015-12-19,4650.0,24.0,19.6,clear
16,Lentil(Masur),Atarra,2015-12-19,5900.0,1.2,19.6,clear
17,Lentil(Masur),Baberu,2015-12-19,4750.0,10.0,19.6,clear
18,Lentil(Masur),Banda,2015-12-19,5000.0,10.0,19.6,clear
19,Bengal Gram(Gram),Atarra,2015-12-20,4900.0,1.0,20.0,clear
20,Bengal Gram(Gram),Baberu,2015-12-20,4200.0,22.0,20.0,clear
21,Bengal Gram(Gram),Banda,2015-12-20,4600.0,27.0,20.0,clear
22,Lentil(Masur),Atarra,2015-12-20,6000.0,0.8,20.0,clear
23,Lentil(Masur),Baberu,2015-12-20,4750.0,20.0,20.0,clear
24,Bengal Gram(Gram),Atarra,2015-12-21,4900.0,0.5,19.0,clear
25,Bengal Gram(Gram),Baberu,2015-12-21,4175.0,25.0,19.0,clear
26,Bengal Gram(Gram),Banda,2015-12-21,4620.0,25.0,19.0,clear
27,Lentil(Masur),Atarra,2015-12-21,6000.0,1.0,19.0,clear
28,Lentil(Masur),Baberu,2015-12-21,4775.0,10.0,19.0,clear
29,Bengal Gram(Gram),Atarra,2015-12-22,4900.0,0.7,18.6,clear
30,Bengal Gram(Gram),Baberu,2015-12-22,4175.0,15.0,18.6,clear
31,Lentil(Masur),Atarra,2015-12-22,6000.0,1.2,18.6,clear
32,Lentil(Masur),Baberu,2015-12-22,4800.0,9.0,18.6,clear
33,Bengal Gram(Gram),Atarra,2015-12-26,4900.0,0.7,19.4,clear
34,Bengal Gram(Gram),Baberu,2015-12-26,4200.0,10.0,19.4,clear
35,Lentil(Masur),Atarra,2015-12-26,6000.0,0.8,19.4,clear
36,Lentil(Masur),Baberu,2015-12-26,4900.0,8.0,19.4,clear
37,Bengal Gram(Gram),Atarra,2015-12-27,5000.0,0.8,22.2,clear
38,Lentil(Masur),Atarra,2015-12-27,6000.0,0.7,22.2,clear
39,Bengal Gram(Gram),Atarra,2015-12-28,5000.0,0.6,13.6,clear
40,Lentil(Masur),Atarra,2015-12-28,6000.0,0.5,13.6,clear
41,Bengal Gram(Gram),Atarra,2015-12-29,5000.0,0.4,20.8,clear
42,Lentil(Masur),Atarra,2015-12-29,6000.0,0.4,20.8,clear
43,Bengal Gram(Gram),Atarra,2015-12-30,5000.0,1.0,22.0,clear
44,Bengal Gram(Gram),Banda,2015-12-30,4475.0,19.0,22.0,clear
45,Lentil(Masur),Atarra,2015-12-30,6000.0,0.8,22.0,clear
46,Bengal Gram(Gram),Atarra,2015-12-31,5000.0,0.5,22.4,clear
47,Bengal Gram(Gram),Baberu,2015-12-31,4225.0,5.0,22.4,clear
48,Lentil(Masur),Atarra,2015-12-31,6000.0,0.8,22.4,clear
49,Lentil(Masur),Baberu,2015-12-31,4925.0,8.0,22.4,clear
