,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Dadri,2015-12-07,4760.0,6.0,21.2,clear
1,Bengal Gram(Gram),Dadri,2015-12-09,5150.0,12.0,22.8,clear
2,Bengal Gram(Gram),Dadri,2015-12-10,5180.0,12.0,17.4,clear
3,Bengal Gram(Gram),Dadri,2015-12-11,5300.0,12.0,21.0,clear
4,Bengal Gram(Gram),Dadri,2015-12-12,5450.0,12.0,19.6,clear
5,Bengal Gram(Gram),Dadri,2015-12-13,5420.0,16.0,16.6,clear
6,Bengal Gram(Gram),Dadri,2015-12-14,5450.0,13.0,10.6,clear
7,Bengal Gram(Gram),Dadri,2015-12-15,5430.0,15.0,18.2,clear
8,Bengal Gram(Gram),Dadri,2015-12-17,5400.0,14.0,16.4,clear
9,Bengal Gram(Gram),Dadri,2015-12-19,5400.0,13.0,18.0,clear
10,Bengal Gram(Gram),Dadri,2015-12-20,5400.0,15.0,17.0,clear
11,Bengal Gram(Gram),Dadri,2015-12-21,5420.0,11.0,16.4,clear
12,Bengal Gram(Gram),Dadri,2015-12-22,5380.0,14.0,17.0,clear
13,Bengal Gram(Gram),Dadri,2015-12-27,5450.0,9.0,18.2,clear
14,Bengal Gram(Gram),Dadri,2015-12-28,5420.0,13.0,11.8,clear
15,Bengal Gram(Gram),Dadri,2015-12-29,5450.0,8.0,20.4,clear
16,Bengal Gram(Gram),Dadri,2015-12-31,5430.0,9.0,20.2,clear
17,Bengal Gram(Gram),Dadri,2016-01-01,5420.0,8.0,19.4,clear
18,Bengal Gram(Gram),Dadri,2016-02-01,5400.0,12.0,21.4,clear
19,Bengal Gram(Gram),Dadri,2016-01-24,5400.0,8.0,16.4,clear
20,Bengal Gram(Gram),Dadri,2016-01-25,5350.0,9.0,8.4,clear
21,Bengal Gram(Gram),Dadri,2016-01-26,5360.0,12.0,15.8,clear
22,Bengal Gram(Gram),Dadri,2016-01-28,5350.0,14.0,20.4,clear
23,Bengal Gram(Gram),Dadri,2016-01-29,5340.0,15.0,20.8,clear
24,Bengal Gram(Gram),Dadri,2016-01-30,5300.0,18.0,24.0,clear
25,Bengal Gram(Gram),Dadri,2016-01-31,5320.0,12.0,24.0,clear
26,Bengal Gram(Gram),Dadri,2016-01-02,5300.0,14.0,19.0,clear
27,Bengal Gram(Gram),Dadri,2016-02-02,5250.0,12.0,19.2,clear
28,Bengal Gram(Gram),Dadri,2016-04-02,5200.0,16.0,37.2,clear
29,Bengal Gram(Gram),Dadri,2016-05-02,5220.0,15.0,42.0,clear
30,Bengal Gram(Gram),Dadri,2016-06-02,5240.0,13.0,41.0,clear
31,Bengal Gram(Gram),Dadri,2016-07-02,5200.0,24.0,25.4,clear
32,Bengal Gram(Gram),Dadri,2016-08-02,5250.0,18.0,29.6,clear
33,Bengal Gram(Gram),Dadri,2016-09-02,5200.0,15.0,31.8,clear
34,Bengal Gram(Gram),Dadri,2016-11-02,5260.0,12.0,19.0,clear
35,Bengal Gram(Gram),Dadri,2016-12-02,5250.0,15.0,21.4,clear
