,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Haldwani,2013-05-29,6420.0,7.5,19.6,rain
1,Bengal Gram(Gram),Haldwani,2013-05-29,3100.0,9.0,19.6,rain
2,Arhar (Tur/Red Gram),Ramnagar,2015-12-24,12500.0,1.5,9.2,clear
3,Black Gram (Urd Beans),Ramnagar,2015-12-24,14687.0,2.5,9.2,clear
4,Green Gram (Moong),Ramnagar,2015-12-24,9637.0,0.9,9.2,clear
5,Bengal Gram(Gram),Haldwani,2015-12-10,7130.0,2.7,12.8,clear
6,Green Gram (Moong),Haldwani,2015-12-10,11380.0,1.5,12.8,clear
7,Lentil(Masur),Haldwani,2015-12-10,8530.0,4.2,12.8,clear
8,Black Gram (Urd Beans),Haldwani,2015-12-07,9200.0,0.9,9.2,clear
9,Arhar (Tur/Red Gram),Haldwani,2016-08-21,11598.0,1.2,22.6,clear
10,Green Gram (Moong),Haldwani,2016-08-21,6442.0,2.1,22.6,clear
11,Arhar (Tur/Red Gram),Haldwani,2016-09-14,8500.0,6.0,18.8,clear
12,Arhar (Tur/Red Gram),Haldwani,2016-09-15,9900.0,3.0,20.4,rain
13,Arhar (Tur/Red Gram),Haldwani,2016-09-21,9350.0,9.2,19.8,clear
14,Arhar (Tur/Red Gram),Haldwani,2016-09-26,8600.0,2.9,19.0,clear
15,Arhar (Tur/Red Gram),Haldwani,2016-02-10,8000.0,4.2,12.4,clear
16,Arhar (Tur/Red Gram),Haldwani,2016-03-10,10500.0,2.8,18.4,clear
17,Arhar (Tur/Red Gram),Ramnagar,2016-01-13,11900.0,1.0,11.6,clear
18,Green Gram (Moong),Ramnagar,2016-01-13,9075.0,0.3,11.6,clear
19,Arhar (Tur/Red Gram),Ramnagar,2016-04-02,13100.0,1.5,24.6,clear
20,Black Gram (Urd Beans),Ramnagar,2016-04-02,14475.0,2.5,24.6,clear
21,Green Gram (Moong),Ramnagar,2016-04-02,9012.0,0.5,24.6,clear
22,Arhar (Tur/Red Gram),Ramnagar,2016-06-02,15150.0,1.8,22.8,clear
23,Black Gram (Urd Beans),Ramnagar,2016-06-02,14700.0,2.1,22.8,clear
24,Green Gram (Moong),Ramnagar,2016-06-02,10800.0,0.3,22.8,clear
25,Arhar (Tur/Red Gram),Ramnagar,2016-03-15,12000.0,2.1,12.8,clear
26,Green Gram (Moong),Ramnagar,2016-03-15,9012.0,1.5,12.8,clear
27,Arhar (Tur/Red Gram),Ramnagar,2016-05-18,13300.0,2.0,25.0,clear
28,Black Gram (Urd Beans),Ramnagar,2016-05-18,15862.0,2.3,25.0,clear
29,Green Gram (Moong),Ramnagar,2016-05-18,8912.0,0.8,25.0,clear
30,Black Gram (Urd Beans),Haldwani,2016-10-01,5100.0,17.5,21.2,clear
31,Black Gram (Urd Beans),Haldwani,2016-01-17,6017.0,7.2,10.4,clear
32,Black Gram (Urd Beans),Haldwani,2016-01-21,13333.0,1.8,9.0,clear
33,Green Gram (Moong),Haldwani,2016-01-21,8675.0,1.5,9.0,clear
34,Black Gram (Urd Beans),Haldwani,2016-01-31,13156.0,3.9,9.4,clear
35,Green Gram (Moong),Haldwani,2016-01-31,8672.0,4.5,9.4,clear
36,Black Gram (Urd Beans),Haldwani,2016-02-18,14880.0,1.5,19.4,clear
37,Green Gram (Moong),Haldwani,2016-02-18,8975.0,3.0,19.4,clear
38,Black Gram (Urd Beans),Haldwani,2016-08-03,13524.0,2.7,22.8,clear
39,Black Gram (Urd Beans),Haldwani,2016-09-03,11633.0,9.0,22.4,clear
40,Green Gram (Moong),Haldwani,2016-09-03,8425.0,0.6,22.4,clear
41,Black Gram (Urd Beans),Haldwani,2016-11-03,11633.0,9.0,17.0,clear
42,Black Gram (Urd Beans),Haldwani,2016-03-13,11633.0,9.0,11.0,rain
43,Black Gram (Urd Beans),Haldwani,2016-03-20,5283.0,0.9,12.4,rain
44,Black Gram (Urd Beans),Haldwani,2016-03-27,13578.0,0.5,16.4,clear
45,Black Gram (Urd Beans),Haldwani,2016-03-30,13578.0,0.5,19.0,clear
46,Black Gram (Urd Beans),Haldwani,2016-03-31,13578.0,0.5,28.0,clear
47,Black Gram (Urd Beans),Haldwani,2016-10-04,13520.0,1.5,19.6,clear
48,Black Gram (Urd Beans),Haldwani,2016-12-04,13520.0,1.5,17.2,clear
49,Black Gram (Urd Beans),Haldwani,2016-04-17,14465.0,9.0,24.4,clear
50,Black Gram (Urd Beans),Haldwani,2016-04-18,16700.0,3.0,29.6,rain
51,Black Gram (Urd Beans),Haldwani,2016-05-30,10628.0,3.3,16.4,clear
52,Black Gram (Urd Beans),Haldwani,2016-06-06,14200.0,0.9,19.0,rain
53,Black Gram (Urd Beans),Haldwani,2016-09-06,14000.0,1.2,23.4,clear
54,Black Gram (Urd Beans),Haldwani,2016-06-20,13500.0,2.4,23.0,rain
55,Black Gram (Urd Beans),Haldwani,2016-10-08,11800.0,1.2,18.4,rain
56,Black Gram (Urd Beans),Haldwani,2016-11-08,14300.0,1.2,19.2,clear
57,Green Gram (Moong),Haldwani,2016-11-08,6900.0,4.0,19.2,clear
58,Black Gram (Urd Beans),Haldwani,2016-08-18,11900.0,0.9,20.0,rain
59,Black Gram (Urd Beans),Haldwani,2016-08-25,1360.0,1.2,22.8,clear
60,Black Gram (Urd Beans),Haldwani,2016-05-09,10640.0,1.5,20.6,clear
61,Black Gram (Urd Beans),Haldwani,2016-12-09,12180.0,3.3,19.0,clear
62,Green Gram (Moong),Haldwani,2016-12-09,6700.0,4.5,19.0,clear
