,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Black Gram (Urd Beans),Keshkal,2012-03-30,1950.0,12.5,35.4,rain
1,Black Gram (Urd Beans),Kondagoan,2012-03-30,3000.0,0.3,35.4,rain
2,Black Gram (Urd Beans),Keshkal,2012-10-31,3450.0,7.8,27.2,clear
3,Black Gram (Urd Beans),Keshkal,2012-11-22,2950.0,0.5,29.0,clear
4,Black Gram (Urd Beans),Kondagoan,2012-11-22,3000.0,0.2,29.0,clear
5,Black Gram (Urd Beans),Keshkal,2012-11-29,2950.0,0.5,27.7,clear
6,Black Gram (Urd Beans),Kondagoan,2012-11-29,3000.0,0.1,27.7,clear
7,Black Gram (Urd Beans),Keshkal,2012-08-12,2950.0,0.4,28.2,clear
8,Black Gram (Urd Beans),Kondagoan,2012-08-12,3000.0,0.5,28.2,clear
9,Black Gram (Urd Beans),Keshkal,2012-12-26,2850.0,0.2,26.4,clear
10,Black Gram (Urd Beans),Kondagoan,2012-03-01,2200.0,0.3,34.4,clear
11,Black Gram (Urd Beans),Kondagoan,2012-04-01,2300.0,0.1,36.0,rain
12,Black Gram (Urd Beans),Kondagoan,2012-05-01,3000.0,0.1,34.4,clear
13,Black Gram (Urd Beans),Kondagoan,2012-03-28,3000.0,1.0,37.0,clear
14,Black Gram (Urd Beans),Kondagoan,2012-03-29,3000.0,0.2,37.4,clear
15,Black Gram (Urd Beans),Kondagoan,2012-03-31,3000.0,0.5,37.0,rain
16,Black Gram (Urd Beans),Kondagoan,2012-11-05,2500.0,0.2,28.4,clear
17,Black Gram (Urd Beans),Kondagoan,2012-12-05,2500.0,0.6,30.0,clear
18,Black Gram (Urd Beans),Kondagoan,2012-05-13,3000.0,0.2,34.6,clear
19,Black Gram (Urd Beans),Kondagoan,2012-05-14,3000.0,1.1,38.0,clear
20,Black Gram (Urd Beans),Kondagoan,2012-05-15,2000.0,0.2,38.4,clear
21,Black Gram (Urd Beans),Kondagoan,2012-05-25,2000.0,0.1,41.6,clear
22,Black Gram (Urd Beans),Kondagoan,2012-09-18,2800.0,0.3,29.8,rain
23,Black Gram (Urd Beans),Kondagoan,2012-10-16,4000.0,0.2,30.6,clear
24,Green Gram (Moong),Kondagoan,2012-10-16,5000.0,0.2,30.6,clear
25,Black Gram (Urd Beans),Kondagoan,2012-11-16,3000.0,0.1,26.4,clear
26,Black Gram (Urd Beans),Kondagoan,2012-11-19,3000.0,0.3,26.7,clear
27,Black Gram (Urd Beans),Kondagoan,2012-11-20,3000.0,0.2,27.8,clear
28,Black Gram (Urd Beans),Kondagoan,2012-11-24,3000.0,0.3,29.4,clear
29,Black Gram (Urd Beans),Kondagoan,2012-11-26,3000.0,0.6,28.6,clear
30,Black Gram (Urd Beans),Kondagoan,2012-11-28,3000.0,0.9,28.2,clear
31,Black Gram (Urd Beans),Kondagoan,2012-11-30,3000.0,0.7,28.0,clear
32,Black Gram (Urd Beans),Kondagoan,2012-01-12,3000.0,0.5,24.6,clear
33,Black Gram (Urd Beans),Kondagoan,2012-02-12,3000.0,0.2,29.6,clear
34,Black Gram (Urd Beans),Kondagoan,2012-03-12,3000.0,0.5,35.0,clear
35,Black Gram (Urd Beans),Kondagoan,2012-04-12,3000.0,0.7,35.4,clear
36,Black Gram (Urd Beans),Kondagoan,2012-05-12,3000.0,0.4,34.0,clear
37,Black Gram (Urd Beans),Kondagoan,2012-06-12,3000.0,0.1,34.2,clear
38,Black Gram (Urd Beans),Kondagoan,2012-07-12,3000.0,0.7,31.6,rain
39,Black Gram (Urd Beans),Kondagoan,2012-10-12,3000.0,0.3,28.0,clear
40,Black Gram (Urd Beans),Kondagoan,2012-11-12,3000.0,0.6,27.0,clear
41,Black Gram (Urd Beans),Kondagoan,2012-12-12,3000.0,0.1,29.4,clear
42,Black Gram (Urd Beans),Kondagoan,2012-12-14,3000.0,0.6,30.6,clear
43,Black Gram (Urd Beans),Kondagoan,2012-12-15,3000.0,0.2,28.4,clear
44,Black Gram (Urd Beans),Kondagoan,2012-12-18,3000.0,0.2,28.0,clear
45,Black Gram (Urd Beans),Kondagoan,2012-12-22,3500.0,0.1,27.0,clear
46,Green Gram (Moong),Kondagoan,2012-12-27,5000.0,0.3,26.2,clear
47,Black Gram (Urd Beans),Bededonger,2013-03-29,3000.0,0.4,37.0,clear
48,Black Gram (Urd Beans),Kondagoan,2013-03-29,3000.0,0.2,37.0,clear
49,Green Gram (Moong),Kondagoan,2013-03-29,5500.0,3.0,37.0,clear
