,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Davangere,2012-02-01,2600.0,1.0,28.0,clear
1,Arhar (Tur/Red Gram),Davangere,2012-03-01,2690.0,0.0,35.2,clear
2,Arhar (Tur/Red Gram),Davangere,2012-04-01,2626.0,0.0,35.6,clear
3,Arhar (Tur/Red Gram),Davangere,2012-05-01,2633.0,0.0,32.2,clear
4,Arhar (Tur/Red Gram),Davangere,2012-06-01,2640.0,0.0,32.4,clear
5,Arhar (Tur/Red Gram),Davangere,2012-07-01,2670.0,0.0,27.4,rain
6,Arhar (Tur/Red Gram),Davangere,2012-09-01,2626.0,0.0,27.4,clear
7,Arhar (Tur/Red Gram),Davangere,2012-10-01,2630.0,0.0,27.8,clear
8,Arhar (Tur/Red Gram),Davangere,2012-11-01,2500.0,0.0,20.6,rain
9,Arhar (Tur/Red Gram),Davangere,2012-01-13,2701.0,0.0,26.6,clear
10,Arhar (Tur/Red Gram),Davangere,2012-01-16,2666.0,1.0,28.4,clear
11,Arhar (Tur/Red Gram),Davangere,2012-01-17,2670.0,0.0,30.4,clear
12,Arhar (Tur/Red Gram),Davangere,2012-01-19,2656.0,0.0,29.4,clear
13,Arhar (Tur/Red Gram),Davangere,2012-01-21,2450.0,0.0,30.0,clear
14,Arhar (Tur/Red Gram),Harappana Halli,2012-01-21,2900.0,4.0,30.0,clear
15,Arhar (Tur/Red Gram),Davangere,2012-01-24,2670.0,0.0,29.0,clear
16,Arhar (Tur/Red Gram),Davangere,2012-01-25,2426.0,0.0,28.6,clear
17,Arhar (Tur/Red Gram),Davangere,2012-01-27,2700.0,0.0,29.6,clear
18,Arhar (Tur/Red Gram),Davangere,2012-01-28,2551.0,0.0,28.8,clear
19,Arhar (Tur/Red Gram),Davangere,2012-01-31,2706.0,1.0,29.4,clear
20,Arhar (Tur/Red Gram),Davangere,2012-03-02,2666.0,0.0,35.4,clear
21,Arhar (Tur/Red Gram),Davangere,2012-04-02,2150.0,0.0,35.6,clear
22,Arhar (Tur/Red Gram),Davangere,2012-08-02,2530.0,0.0,25.0,clear
23,Arhar (Tur/Red Gram),Davangere,2012-02-14,2300.0,0.0,33.0,clear
24,Arhar (Tur/Red Gram),Harappana Halli,2012-09-02,2400.0,16.0,27.2,rain
25,Bengal Gram(Gram),Davangere,2012-12-03,5000.0,2.0,28.2,clear
26,Black Gram (Urd Beans),Davangere,2012-12-03,6100.0,40.0,28.2,clear
27,Green Gram (Moong),Davangere,2012-12-03,5100.0,6.0,28.2,clear
28,Bengal Gram(Gram),Davangere,2012-04-13,3600.0,5.0,33.6,clear
29,Black Gram (Urd Beans),Davangere,2012-04-13,5300.0,8.0,33.6,clear
30,Green Gram (Moong),Davangere,2012-04-13,5300.0,0.0,33.6,clear
31,Bengal Gram(Gram),Davangere,2012-04-20,4700.0,10.0,34.0,clear
32,Black Gram (Urd Beans),Davangere,2012-04-20,5300.0,14.0,34.0,clear
33,Bengal Gram(Gram),Davangere,2012-04-27,4500.0,35.0,31.6,rain
34,Black Gram (Urd Beans),Davangere,2012-04-27,5900.0,6.0,31.6,rain
35,Bengal Gram(Gram),Davangere,2012-04-05,4900.0,17.0,36.4,rain
