,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Gadag,2012-02-01,1800.0,0.0,28.2,clear
1,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-01,2426.0,3.0,28.2,clear
2,Bengal Gram(Gram),Gadag,2012-02-01,3200.0,6.0,28.2,clear
3,Bengal Gram(Gram),Laxmeshwar,2012-02-01,3469.0,0.0,28.2,clear
4,Green Gram (Moong),Gadag,2012-02-01,4500.0,53.0,28.2,clear
5,Green Gram (Moong),Laxmeshwar,2012-02-01,2668.0,2.0,28.2,clear
6,Arhar (Tur/Red Gram),Gadag,2012-05-01,1700.0,0.0,36.6,clear
7,Arhar (Tur/Red Gram),Laxmeshwar,2012-05-01,1900.0,0.0,36.6,clear
8,Bengal Gram(Gram),Gadag,2012-05-01,3400.0,12.0,36.6,clear
9,Bengal Gram(Gram),Laxmeshwar,2012-05-01,3014.0,0.0,36.6,clear
10,Green Gram (Moong),Gadag,2012-05-01,4500.0,10.0,36.6,clear
11,Green Gram (Moong),Laxmeshwar,2012-05-01,3809.0,0.0,36.6,clear
12,Arhar (Tur/Red Gram),Gadag,2012-06-01,1800.0,0.0,34.0,clear
13,Arhar (Tur/Red Gram),Laxmeshwar,2012-06-01,2468.0,4.0,34.0,clear
14,Bengal Gram(Gram),Gadag,2012-06-01,3300.0,11.0,34.0,clear
15,Bengal Gram(Gram),Laxmeshwar,2012-06-01,2060.0,0.0,34.0,clear
16,Green Gram (Moong),Gadag,2012-06-01,4500.0,18.0,34.0,clear
17,Green Gram (Moong),Laxmeshwar,2012-06-01,3159.0,0.0,34.0,clear
18,Arhar (Tur/Red Gram),Gadag,2012-07-01,1800.0,0.0,28.2,clear
19,Arhar (Tur/Red Gram),Laxmeshwar,2012-07-01,2502.0,0.0,28.2,clear
20,Bengal Gram(Gram),Gadag,2012-07-01,3400.0,6.0,28.2,clear
21,Bengal Gram(Gram),Laxmeshwar,2012-07-01,3279.0,0.0,28.2,clear
22,Green Gram (Moong),Gadag,2012-07-01,4600.0,24.0,28.2,clear
23,Arhar (Tur/Red Gram),Gadag,2012-09-01,1800.0,0.0,28.2,clear
24,Arhar (Tur/Red Gram),Laxmeshwar,2012-09-01,2029.0,1.0,28.2,clear
25,Bengal Gram(Gram),Gadag,2012-09-01,2800.0,18.0,28.2,clear
26,Bengal Gram(Gram),Laxmeshwar,2012-09-01,2189.0,0.0,28.2,clear
27,Black Gram (Urd Beans),Gadag,2012-09-01,2401.0,0.0,28.2,clear
28,Green Gram (Moong),Gadag,2012-09-01,3500.0,58.0,28.2,clear
29,Arhar (Tur/Red Gram),Gadag,2012-10-01,1800.0,0.0,26.6,clear
30,Arhar (Tur/Red Gram),Laxmeshwar,2012-10-01,2718.0,0.0,26.6,clear
31,Bengal Gram(Gram),Gadag,2012-10-01,3200.0,24.0,26.6,clear
32,Green Gram (Moong),Gadag,2012-10-01,4400.0,13.0,26.6,clear
33,Green Gram (Moong),Laxmeshwar,2012-10-01,2868.0,0.0,26.6,clear
34,Arhar (Tur/Red Gram),Gadag,2012-11-01,1800.0,0.0,21.6,clear
35,Arhar (Tur/Red Gram),Laxmeshwar,2012-11-01,1600.0,0.0,21.6,clear
36,Bengal Gram(Gram),Gadag,2012-11-01,3200.0,34.0,21.6,clear
37,Green Gram (Moong),Gadag,2012-11-01,4400.0,11.0,21.6,clear
38,Arhar (Tur/Red Gram),Gadag,2012-12-01,1652.0,0.0,30.2,clear
39,Arhar (Tur/Red Gram),Laxmeshwar,2012-12-01,2570.0,0.0,30.2,clear
40,Bengal Gram(Gram),Gadag,2012-12-01,3000.0,19.0,30.2,clear
41,Green Gram (Moong),Gadag,2012-12-01,3500.0,25.0,30.2,clear
42,Arhar (Tur/Red Gram),Gadag,2012-01-13,1800.0,1.0,26.4,clear
43,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-13,2342.0,2.0,26.4,clear
44,Bengal Gram(Gram),Gadag,2012-01-13,3200.0,124.0,26.4,clear
45,Bengal Gram(Gram),Laxmeshwar,2012-01-13,2137.0,0.0,26.4,clear
46,Green Gram (Moong),Gadag,2012-01-13,4300.0,12.0,26.4,clear
47,Green Gram (Moong),Laxmeshwar,2012-01-13,2704.0,0.0,26.4,clear
48,Arhar (Tur/Red Gram),Gadag,2012-01-16,2000.0,0.0,29.6,clear
49,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-16,2408.0,1.0,29.6,clear
50,Bengal Gram(Gram),Gadag,2012-01-16,3250.0,133.0,29.6,clear
51,Bengal Gram(Gram),Laxmeshwar,2012-01-16,3189.0,0.0,29.6,clear
52,Green Gram (Moong),Gadag,2012-01-16,4500.0,4.0,29.6,clear
53,Green Gram (Moong),Laxmeshwar,2012-01-16,2399.0,0.0,29.6,clear
54,Arhar (Tur/Red Gram),Gadag,2012-01-17,1800.0,0.0,29.6,clear
55,Bengal Gram(Gram),Gadag,2012-01-17,2800.0,70.0,29.6,clear
56,Bengal Gram(Gram),Rona,2012-01-17,3180.0,0.0,29.6,clear
57,Green Gram (Moong),Gadag,2012-01-17,3000.0,2.0,29.6,clear
58,Arhar (Tur/Red Gram),Gadag,2012-01-18,1800.0,0.0,30.6,clear
59,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-18,2660.0,0.0,30.6,clear
60,Bengal Gram(Gram),Gadag,2012-01-18,3000.0,82.0,30.6,clear
61,Bengal Gram(Gram),Laxmeshwar,2012-01-18,3276.0,0.0,30.6,clear
62,Bengal Gram(Gram),Rona,2012-01-18,3120.0,0.0,30.6,clear
63,Green Gram (Moong),Gadag,2012-01-18,4200.0,30.0,30.6,clear
64,Arhar (Tur/Red Gram),Gadag,2012-01-19,1550.0,0.0,29.8,clear
65,Bengal Gram(Gram),Gadag,2012-01-19,2800.0,127.0,29.8,clear
66,Green Gram (Moong),Gadag,2012-01-19,3300.0,13.0,29.8,clear
67,Arhar (Tur/Red Gram),Gadag,2012-01-20,1800.0,0.0,29.4,clear
68,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-20,2619.0,2.0,29.4,clear
69,Bengal Gram(Gram),Gadag,2012-01-20,2800.0,129.0,29.4,clear
70,Bengal Gram(Gram),Laxmeshwar,2012-01-20,2383.0,2.0,29.4,clear
71,Green Gram (Moong),Gadag,2012-01-20,3200.0,0.0,29.4,clear
72,Green Gram (Moong),Laxmeshwar,2012-01-20,2668.0,1.0,29.4,clear
73,Arhar (Tur/Red Gram),Gadag,2012-01-21,2800.0,0.0,29.6,clear
74,Bengal Gram(Gram),Gadag,2012-01-21,2800.0,173.0,29.6,clear
75,Bengal Gram(Gram),Rona,2012-01-21,3100.0,1.0,29.6,clear
76,Green Gram (Moong),Gadag,2012-01-21,3500.0,18.0,29.6,clear
77,Arhar (Tur/Red Gram),Gadag,2012-01-24,1011.0,0.0,29.6,clear
78,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-24,2640.0,0.0,29.6,clear
79,Bengal Gram(Gram),Gadag,2012-01-24,2850.0,308.0,29.6,clear
80,Bengal Gram(Gram),Laxmeshwar,2012-01-24,2948.0,3.0,29.6,clear
81,Bengal Gram(Gram),Rona,2012-01-24,3030.0,1.0,29.6,clear
82,Green Gram (Moong),Gadag,2012-01-24,3500.0,11.0,29.6,clear
83,Green Gram (Moong),Laxmeshwar,2012-01-24,3369.0,0.0,29.6,clear
84,Arhar (Tur/Red Gram),Gadag,2012-01-25,1800.0,0.0,29.6,clear
85,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-25,2639.0,0.0,29.6,clear
86,Bengal Gram(Gram),Gadag,2012-01-25,3000.0,251.0,29.6,clear
87,Bengal Gram(Gram),Rona,2012-01-25,3090.0,1.0,29.6,clear
88,Green Gram (Moong),Gadag,2012-01-25,4400.0,4.0,29.6,clear
89,Arhar (Tur/Red Gram),Gadag,2012-01-27,1200.0,0.0,30.0,clear
90,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-27,2069.0,4.0,30.0,clear
91,Bengal Gram(Gram),Gadag,2012-01-27,3000.0,319.0,30.0,clear
92,Bengal Gram(Gram),Laxmeshwar,2012-01-27,2200.0,5.0,30.0,clear
93,Bengal Gram(Gram),Rona,2012-01-27,3100.0,2.0,30.0,clear
94,Green Gram (Moong),Gadag,2012-01-27,4200.0,12.0,30.0,clear
95,Green Gram (Moong),Laxmeshwar,2012-01-27,2280.0,1.0,30.0,clear
96,Arhar (Tur/Red Gram),Gadag,2012-01-31,1850.0,1.0,30.0,clear
97,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-31,2484.0,0.0,30.0,clear
98,Bengal Gram(Gram),Gadag,2012-01-31,3000.0,419.0,30.0,clear
99,Bengal Gram(Gram),Laxmeshwar,2012-01-31,3216.0,0.0,30.0,clear
100,Bengal Gram(Gram),Rona,2012-01-31,3152.0,1.0,30.0,clear
101,Green Gram (Moong),Gadag,2012-01-31,4200.0,12.0,30.0,clear
102,Green Gram (Moong),Laxmeshwar,2012-01-31,2606.0,0.0,30.0,clear
103,Arhar (Tur/Red Gram),Gadag,2012-01-02,1919.0,0.0,31.6,clear
104,Bengal Gram(Gram),Gadag,2012-01-02,2800.0,349.0,31.6,clear
105,Bengal Gram(Gram),Laxmeshwar,2012-01-02,3209.0,0.0,31.6,clear
106,Bengal Gram(Gram),Rona,2012-01-02,3200.0,1.0,31.6,clear
107,Green Gram (Moong),Gadag,2012-01-02,3200.0,22.0,31.6,clear
108,Arhar (Tur/Red Gram),Gadag,2012-02-02,1600.0,0.0,29.4,clear
109,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-02,2119.0,0.0,29.4,clear
110,Bengal Gram(Gram),Gadag,2012-02-02,3200.0,203.0,29.4,clear
111,Bengal Gram(Gram),Laxmeshwar,2012-02-02,3139.0,1.0,29.4,clear
112,Green Gram (Moong),Gadag,2012-02-02,4300.0,7.0,29.4,clear
113,Green Gram (Moong),Laxmeshwar,2012-02-02,3731.0,0.0,29.4,clear
114,Arhar (Tur/Red Gram),Gadag,2012-03-02,1750.0,0.0,35.8,clear
115,Arhar (Tur/Red Gram),Laxmeshwar,2012-03-02,2525.0,3.0,35.8,clear
116,Bengal Gram(Gram),Gadag,2012-03-02,3000.0,193.0,35.8,clear
117,Bengal Gram(Gram),Laxmeshwar,2012-03-02,3228.0,4.0,35.8,clear
118,Green Gram (Moong),Gadag,2012-03-02,3500.0,13.0,35.8,clear
119,Green Gram (Moong),Laxmeshwar,2012-03-02,2205.0,0.0,35.8,clear
120,Arhar (Tur/Red Gram),Gadag,2012-04-02,1750.0,0.0,36.6,clear
121,Bengal Gram(Gram),Gadag,2012-04-02,3000.0,210.0,36.6,clear
122,Bengal Gram(Gram),Rona,2012-04-02,3310.0,1.0,36.6,clear
123,Green Gram (Moong),Gadag,2012-04-02,3500.0,15.0,36.6,clear
124,Arhar (Tur/Red Gram),Gadag,2012-06-02,1550.0,0.0,35.6,clear
125,Arhar (Tur/Red Gram),Laxmeshwar,2012-06-02,2339.0,1.0,35.6,clear
126,Bengal Gram(Gram),Gadag,2012-06-02,3100.0,249.0,35.6,clear
127,Bengal Gram(Gram),Laxmeshwar,2012-06-02,3276.0,3.0,35.6,clear
128,Bengal Gram(Gram),Rona,2012-06-02,3300.0,3.0,35.6,clear
129,Green Gram (Moong),Gadag,2012-06-02,2800.0,12.0,35.6,clear
130,Green Gram (Moong),Laxmeshwar,2012-06-02,4800.0,0.0,35.6,clear
131,Arhar (Tur/Red Gram),Gadag,2012-07-02,1600.0,0.0,28.0,rain
132,Bengal Gram(Gram),Gadag,2012-07-02,3000.0,172.0,28.0,rain
133,Bengal Gram(Gram),Rona,2012-07-02,3080.0,0.0,28.0,rain
134,Green Gram (Moong),Gadag,2012-07-02,3200.0,3.0,28.0,rain
135,Arhar (Tur/Red Gram),Gadag,2012-08-02,1829.0,0.0,28.2,rain
136,Bengal Gram(Gram),Gadag,2012-08-02,3100.0,130.0,28.2,rain
137,Bengal Gram(Gram),Laxmeshwar,2012-08-02,3408.0,0.0,28.2,rain
138,Bengal Gram(Gram),Rona,2012-08-02,3245.0,0.0,28.2,rain
139,Green Gram (Moong),Gadag,2012-08-02,3500.0,8.0,28.2,rain
140,Arhar (Tur/Red Gram),Gadag,2012-09-02,1800.0,0.0,29.6,clear
141,Bengal Gram(Gram),Gadag,2012-09-02,3200.0,158.0,29.6,clear
142,Bengal Gram(Gram),Rona,2012-09-02,3280.0,0.0,29.6,clear
143,Green Gram (Moong),Gadag,2012-09-02,3850.0,16.0,29.6,clear
144,Arhar (Tur/Red Gram),Gadag,2012-10-02,1500.0,0.0,26.6,clear
145,Arhar (Tur/Red Gram),Laxmeshwar,2012-10-02,1888.0,1.0,26.6,clear
146,Bengal Gram(Gram),Gadag,2012-10-02,3200.0,144.0,26.6,clear
147,Bengal Gram(Gram),Laxmeshwar,2012-10-02,2780.0,6.0,26.6,clear
148,Bengal Gram(Gram),Rona,2012-10-02,3210.0,0.0,26.6,clear
149,Green Gram (Moong),Gadag,2012-10-02,3800.0,1.0,26.6,clear
150,Green Gram (Moong),Laxmeshwar,2012-10-02,2843.0,0.0,26.6,clear
151,Arhar (Tur/Red Gram),Gadag,2012-11-02,1800.0,1.0,24.6,clear
152,Bengal Gram(Gram),Gadag,2012-11-02,3100.0,282.0,24.6,clear
153,Bengal Gram(Gram),Laxmeshwar,2012-11-02,3379.0,0.0,24.6,clear
154,Bengal Gram(Gram),Rona,2012-11-02,3410.0,2.0,24.6,clear
155,Black Gram (Urd Beans),Gadag,2012-11-02,1134.0,0.0,24.6,clear
156,Green Gram (Moong),Gadag,2012-11-02,3800.0,21.0,24.6,clear
157,Arhar (Tur/Red Gram),Gadag,2012-02-13,1900.0,0.0,32.4,clear
158,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-13,2489.0,1.0,32.4,clear
159,Bengal Gram(Gram),Gadag,2012-02-13,3200.0,174.0,32.4,clear
160,Bengal Gram(Gram),Laxmeshwar,2012-02-13,3368.0,2.0,32.4,clear
161,Bengal Gram(Gram),Rona,2012-02-13,3400.0,1.0,32.4,clear
162,Green Gram (Moong),Gadag,2012-02-13,3500.0,16.0,32.4,clear
163,Green Gram (Moong),Laxmeshwar,2012-02-13,3568.0,0.0,32.4,clear
164,Arhar (Tur/Red Gram),Gadag,2012-02-14,1600.0,0.0,33.2,clear
165,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-14,1890.0,0.0,33.2,clear
166,Bengal Gram(Gram),Gadag,2012-02-14,3100.0,112.0,33.2,clear
167,Bengal Gram(Gram),Laxmeshwar,2012-02-14,3250.0,2.0,33.2,clear
168,Bengal Gram(Gram),Rona,2012-02-14,3350.0,0.0,33.2,clear
169,Green Gram (Moong),Gadag,2012-02-14,3500.0,14.0,33.2,clear
170,Green Gram (Moong),Laxmeshwar,2012-02-14,2505.0,0.0,33.2,clear
171,Arhar (Tur/Red Gram),Gadag,2012-02-15,1605.0,0.0,33.8,clear
172,Bengal Gram(Gram),Gadag,2012-02-15,3200.0,103.0,33.8,clear
173,Bengal Gram(Gram),Rona,2012-02-15,3325.0,1.0,33.8,clear
174,Green Gram (Moong),Gadag,2012-02-15,3500.0,3.0,33.8,clear
175,Arhar (Tur/Red Gram),Gadag,2012-02-16,2011.0,0.0,32.0,clear
176,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-16,1909.0,0.0,32.0,clear
177,Bengal Gram(Gram),Gadag,2012-02-16,3000.0,107.0,32.0,clear
178,Bengal Gram(Gram),Laxmeshwar,2012-02-16,3379.0,0.0,32.0,clear
179,Bengal Gram(Gram),Rona,2012-02-16,3250.0,1.0,32.0,clear
180,Green Gram (Moong),Gadag,2012-02-16,3500.0,5.0,32.0,clear
181,Green Gram (Moong),Laxmeshwar,2012-02-16,2808.0,0.0,32.0,clear
182,Arhar (Tur/Red Gram),Gadag,2012-02-17,2050.0,0.0,33.4,clear
183,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-17,2200.0,3.0,33.4,clear
184,Bengal Gram(Gram),Gadag,2012-02-17,3200.0,96.0,33.4,clear
185,Bengal Gram(Gram),Laxmeshwar,2012-02-17,3390.0,5.0,33.4,clear
186,Bengal Gram(Gram),Rona,2012-02-17,3355.0,4.0,33.4,clear
187,Green Gram (Moong),Gadag,2012-02-17,3800.0,5.0,33.4,clear
188,Green Gram (Moong),Laxmeshwar,2012-02-17,2990.0,0.0,33.4,clear
189,Arhar (Tur/Red Gram),Gadag,2012-02-18,1800.0,0.0,33.6,clear
190,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-18,1989.0,0.0,33.6,clear
191,Bengal Gram(Gram),Gadag,2012-02-18,3200.0,178.0,33.6,clear
192,Bengal Gram(Gram),Laxmeshwar,2012-02-18,3339.0,0.0,33.6,clear
193,Bengal Gram(Gram),Rona,2012-02-18,3310.0,0.0,33.6,clear
194,Green Gram (Moong),Gadag,2012-02-18,3200.0,7.0,33.6,clear
195,Green Gram (Moong),Laxmeshwar,2012-02-18,3089.0,0.0,33.6,clear
196,Arhar (Tur/Red Gram),Gadag,2012-02-22,1500.0,0.0,34.4,clear
197,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-22,2189.0,0.0,34.4,clear
198,Bengal Gram(Gram),Gadag,2012-02-22,3300.0,220.0,34.4,clear
199,Bengal Gram(Gram),Laxmeshwar,2012-02-22,3462.0,4.0,34.4,clear
200,Bengal Gram(Gram),Rona,2012-02-22,3310.0,4.0,34.4,clear
201,Green Gram (Moong),Gadag,2012-02-22,3500.0,3.0,34.4,clear
202,Arhar (Tur/Red Gram),Gadag,2012-02-23,1600.0,0.0,33.2,clear
203,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-23,2348.0,0.0,33.2,clear
204,Bengal Gram(Gram),Gadag,2012-02-23,3100.0,196.0,33.2,clear
205,Bengal Gram(Gram),Laxmeshwar,2012-02-23,3396.0,1.0,33.2,clear
206,Bengal Gram(Gram),Rona,2012-02-23,3485.0,1.0,33.2,clear
207,Green Gram (Moong),Gadag,2012-02-23,3800.0,10.0,33.2,clear
208,Green Gram (Moong),Laxmeshwar,2012-02-23,3005.0,0.0,33.2,clear
209,Arhar (Tur/Red Gram),Gadag,2012-02-24,1400.0,0.0,33.6,clear
210,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-24,2291.0,2.0,33.6,clear
211,Bengal Gram(Gram),Gadag,2012-02-24,3200.0,98.0,33.6,clear
212,Bengal Gram(Gram),Laxmeshwar,2012-02-24,3329.0,10.0,33.6,clear
213,Bengal Gram(Gram),Rona,2012-02-24,3388.0,2.0,33.6,clear
214,Green Gram (Moong),Gadag,2012-02-24,3800.0,8.0,33.6,clear
215,Arhar (Tur/Red Gram),Gadag,2012-02-25,1700.0,0.0,34.6,clear
216,Arhar (Tur/Red Gram),Laxmeshwar,2012-02-25,2212.0,0.0,34.6,clear
217,Bengal Gram(Gram),Gadag,2012-02-25,3200.0,259.0,34.6,clear
218,Bengal Gram(Gram),Laxmeshwar,2012-02-25,3491.0,0.0,34.6,clear
219,Bengal Gram(Gram),Rona,2012-02-25,3325.0,1.0,34.6,clear
220,Green Gram (Moong),Gadag,2012-02-25,3500.0,12.0,34.6,clear
221,Arhar (Tur/Red Gram),Gadag,2012-02-28,1400.0,0.0,35.8,clear
222,Bengal Gram(Gram),Gadag,2012-02-28,3200.0,106.0,35.8,clear
223,Bengal Gram(Gram),Rona,2012-02-28,3650.0,1.0,35.8,clear
224,Green Gram (Moong),Gadag,2012-02-28,3800.0,1.0,35.8,clear
225,Arhar (Tur/Red Gram),Gadag,2012-01-03,1011.0,0.0,30.6,clear
226,Arhar (Tur/Red Gram),Laxmeshwar,2012-01-03,1868.0,0.0,30.6,clear
227,Bengal Gram(Gram),Gadag,2012-01-03,3200.0,134.0,30.6,clear
228,Bengal Gram(Gram),Laxmeshwar,2012-01-03,3488.0,3.0,30.6,clear
229,Green Gram (Moong),Gadag,2012-01-03,3300.0,5.0,30.6,clear
230,Arhar (Tur/Red Gram),Gadag,2012-03-03,1600.0,1.0,35.0,clear
231,Arhar (Tur/Red Gram),Laxmeshwar,2012-03-03,2048.0,0.0,35.0,clear
232,Bengal Gram(Gram),Gadag,2012-03-03,3100.0,211.0,35.0,clear
233,Bengal Gram(Gram),Laxmeshwar,2012-03-03,3458.0,1.0,35.0,clear
234,Bengal Gram(Gram),Rona,2012-03-03,3350.0,0.0,35.0,clear
235,Green Gram (Moong),Gadag,2012-03-03,3800.0,3.0,35.0,clear
236,Arhar (Tur/Red Gram),Gadag,2012-05-03,1500.0,0.0,37.0,clear
237,Arhar (Tur/Red Gram),Laxmeshwar,2012-05-03,2063.0,0.0,37.0,clear
