,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Gangavathi,2012-02-11,3850.0,0.0,33.2,clear
1,Arhar (Tur/Red Gram),Koppal,2012-02-01,2090.0,2.0,28.2,clear
2,Arhar (Tur/Red Gram),Koppal,2012-05-01,1509.0,0.0,36.6,clear
3,Black Gram (Urd Beans),Koppal,2012-05-01,2009.0,0.0,36.6,clear
4,Arhar (Tur/Red Gram),Koppal,2012-09-01,2579.0,0.0,28.2,clear
5,Arhar (Tur/Red Gram),Koppal,2012-01-16,2200.0,2.0,29.6,clear
6,Arhar (Tur/Red Gram),Koppal,2012-01-19,2240.0,1.0,29.8,clear
7,Arhar (Tur/Red Gram),Koppal,2012-01-23,2200.0,1.0,29.2,clear
8,Bengal Gram(Gram),Koppal,2012-01-23,3010.0,1.0,29.2,clear
9,Arhar (Tur/Red Gram),Koppal,2012-01-27,2936.0,2.0,30.0,clear
10,Bengal Gram(Gram),Koppal,2012-01-27,2688.0,0.0,30.0,clear
11,Arhar (Tur/Red Gram),Koppal,2012-01-28,2936.0,0.0,29.2,clear
12,Bengal Gram(Gram),Koppal,2012-01-28,2688.0,0.0,29.2,clear
13,Arhar (Tur/Red Gram),Koppal,2012-01-30,1929.0,2.0,29.6,clear
14,Arhar (Tur/Red Gram),Koppal,2012-02-02,1890.0,0.0,29.4,clear
15,Bengal Gram(Gram),Koppal,2012-02-02,3009.0,0.0,29.4,clear
16,Green Gram (Moong),Koppal,2012-02-02,3750.0,0.0,29.4,clear
17,Arhar (Tur/Red Gram),Koppal,2012-06-02,1980.0,0.0,35.6,clear
18,Bengal Gram(Gram),Koppal,2012-06-02,2930.0,0.0,35.6,clear
19,Arhar (Tur/Red Gram),Koppal,2012-09-02,2396.0,0.0,29.6,clear
20,Arhar (Tur/Red Gram),Koppal,2012-10-02,2396.0,0.0,26.6,clear
21,Arhar (Tur/Red Gram),Koppal,2012-02-16,2308.0,0.0,32.0,clear
22,Bengal Gram(Gram),Koppal,2012-02-16,1669.0,0.0,32.0,clear
23,Green Gram (Moong),Koppal,2012-02-16,3829.0,0.0,32.0,clear
24,Arhar (Tur/Red Gram),Koppal,2012-02-21,2352.0,0.0,34.0,clear
25,Black Gram (Urd Beans),Koppal,2012-02-21,3610.0,0.0,34.0,clear
26,Arhar (Tur/Red Gram),Koppal,2012-02-22,2352.0,0.0,34.4,clear
27,Black Gram (Urd Beans),Koppal,2012-02-22,3610.0,0.0,34.4,clear
28,Arhar (Tur/Red Gram),Koppal,2012-02-23,2045.0,0.0,33.2,clear
29,Bengal Gram(Gram),Koppal,2012-02-23,2930.0,0.0,33.2,clear
30,Green Gram (Moong),Koppal,2012-02-23,3109.0,0.0,33.2,clear
31,Arhar (Tur/Red Gram),Koppal,2012-02-27,1710.0,0.0,35.2,clear
32,Bengal Gram(Gram),Koppal,2012-02-27,3180.0,0.0,35.2,clear
33,Black Gram (Urd Beans),Koppal,2012-02-27,3859.0,0.0,35.2,clear
34,Green Gram (Moong),Koppal,2012-02-27,3186.0,0.0,35.2,clear
35,Arhar (Tur/Red Gram),Koppal,2012-01-03,1609.0,0.0,30.6,clear
36,Black Gram (Urd Beans),Koppal,2012-01-03,3860.0,0.0,30.6,clear
37,Green Gram (Moong),Koppal,2012-01-03,3833.0,0.0,30.6,clear
38,Arhar (Tur/Red Gram),Koppal,2012-05-03,2810.0,0.0,37.0,clear
39,Bengal Gram(Gram),Koppal,2012-05-03,3229.0,4.0,37.0,clear
40,Black Gram (Urd Beans),Koppal,2012-05-03,3175.0,0.0,37.0,clear
41,Green Gram (Moong),Koppal,2012-05-03,4248.0,0.0,37.0,clear
42,Arhar (Tur/Red Gram),Koppal,2012-12-03,1609.0,0.0,29.6,clear
43,Bengal Gram(Gram),Koppal,2012-12-03,3293.0,2.0,29.6,clear
44,Green Gram (Moong),Koppal,2012-12-03,2735.0,1.0,29.6,clear
45,Arhar (Tur/Red Gram),Koppal,2012-02-04,2160.0,0.0,29.8,clear
46,Bengal Gram(Gram),Koppal,2012-02-04,3456.0,2.0,29.8,clear
47,Black Gram (Urd Beans),Koppal,2012-02-04,3415.0,0.0,29.8,clear
48,Green Gram (Moong),Koppal,2012-02-04,4142.0,2.0,29.8,clear
49,Arhar (Tur/Red Gram),Koppal,2012-09-04,2002.0,0.0,26.6,clear
50,Bengal Gram(Gram),Koppal,2012-09-04,3404.0,2.0,26.6,clear
51,Black Gram (Urd Beans),Koppal,2012-09-04,3155.0,1.0,26.6,clear
