,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Lingasugur,2012-01-14,3048.0,0.0,29.2,clear
1,Bengal Gram(Gram),Lingasugur,2012-01-14,3345.0,1.0,29.2,clear
2,Arhar (Tur/Red Gram),Lingasugur,2012-01-17,3289.0,3.0,32.8,clear
3,Arhar (Tur/Red Gram),Raichur,2012-01-17,3651.33,237.0,32.8,clear
4,Bengal Gram(Gram),Lingasugur,2012-01-17,3357.0,4.0,32.8,clear
5,Bengal Gram(Gram),Raichur,2012-01-17,3229.0,50.0,32.8,clear
6,Arhar (Tur/Red Gram),Lingasugur,2012-01-24,3062.0,37.0,31.8,clear
7,Bengal Gram(Gram),Lingasugur,2012-01-24,3200.0,20.0,31.8,clear
8,Arhar (Tur/Red Gram),Lingasugur,2012-01-27,2500.0,2.0,31.4,clear
9,Arhar (Tur/Red Gram),Raichur,2012-01-27,3609.0,561.0,31.4,clear
10,Bengal Gram(Gram),Lingasugur,2012-01-27,3400.0,89.0,31.4,clear
11,Bengal Gram(Gram),Raichur,2012-01-27,3186.0,275.0,31.4,clear
12,Arhar (Tur/Red Gram),Lingasugur,2012-01-28,2889.0,0.0,30.4,clear
13,Arhar (Tur/Red Gram),Raichur,2012-01-28,3350.67,635.0,30.4,clear
14,Bengal Gram(Gram),Lingasugur,2012-01-28,3100.0,86.0,30.4,clear
15,Bengal Gram(Gram),Raichur,2012-01-28,3216.0,195.0,30.4,clear
16,Arhar (Tur/Red Gram),Lingasugur,2012-02-14,2011.0,1.0,35.0,clear
17,Arhar (Tur/Red Gram),Raichur,2012-02-14,3176.33,319.0,35.0,clear
18,Bengal Gram(Gram),Lingasugur,2012-02-14,3400.0,3.0,35.0,clear
19,Bengal Gram(Gram),Raichur,2012-02-14,3569.0,50.0,35.0,clear
20,Arhar (Tur/Red Gram),Lingasugur,2012-02-16,2025.0,1.0,36.5,clear
21,Arhar (Tur/Red Gram),Raichur,2012-02-16,3480.33,321.0,36.5,clear
22,Bengal Gram(Gram),Lingasugur,2012-02-16,3477.0,1.0,36.5,clear
23,Bengal Gram(Gram),Raichur,2012-02-16,3479.0,71.0,36.5,clear
24,Arhar (Tur/Red Gram),Lingasugur,2012-02-29,2400.0,2.0,37.8,clear
25,Arhar (Tur/Red Gram),Raichur,2012-02-29,3445.0,365.0,37.8,clear
26,Bengal Gram(Gram),Raichur,2012-02-29,3650.0,13.0,37.8,clear
27,Arhar (Tur/Red Gram),Lingasugur,2012-01-03,2521.0,0.0,33.0,clear
28,Arhar (Tur/Red Gram),Raichur,2012-01-03,3220.33,371.0,33.0,clear
29,Bengal Gram(Gram),Lingasugur,2012-01-03,3500.0,18.0,33.0,clear
30,Bengal Gram(Gram),Raichur,2012-01-03,3739.0,32.0,33.0,clear
31,Arhar (Tur/Red Gram),Lingasugur,2012-02-03,2360.0,0.0,32.0,clear
32,Arhar (Tur/Red Gram),Raichur,2012-02-03,3062.67,324.0,32.0,clear
