,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Kharupetia,2016-01-13,3350.0,4.0,17.8,clear
1,Mustard,Kharupetia,2016-01-16,3350.0,4.0,16.6,clear
2,Mustard,Kharupetia,2016-01-20,3350.0,5.0,15.4,clear
3,Mustard,Kharupetia,2016-03-02,3350.0,15.0,21.2,clear
4,Mustard,Kharupetia,2016-02-24,3350.0,14.0,19.8,clear
5,Mustard,Kharupetia,2016-02-03,3450.0,12.0,14.0,clear
6,Mustard,Kharupetia,2016-12-03,3400.0,5.0,22.4,clear
7,Mustard,Kharupetia,2016-03-16,3550.0,13.0,27.8,clear
8,Mustard,Kharupetia,2016-03-19,3375.0,8.0,24.8,clear
9,Mustard,Kharupetia,2016-03-23,3750.0,5.0,25.6,clear
10,Mustard,Kharupetia,2016-03-26,3500.0,5.0,28.2,clear
11,Mustard,Kharupetia,2016-03-30,3550.0,3.0,26.0,clear
12,Mustard,Kharupetia,2016-02-04,3550.0,5.0,21.0,clear
13,Mustard,Kharupetia,2016-06-04,3450.0,2.5,30.4,clear
14,Mustard,Kharupetia,2016-09-04,3500.0,4.0,30.2,clear
15,Mustard,Kharupetia,2016-04-13,3550.0,6.0,30.6,clear
16,Mustard,Kharupetia,2016-04-20,4050.0,1.0,22.0,clear
17,Mustard,Kharupetia,2016-04-23,4100.0,4.0,24.2,clear
18,Mustard,Kharupetia,2016-11-05,4150.0,1.0,24.2,clear
19,Mustard,Kharupetia,2017-08-02,4500.0,5.0,30.6,clear
20,Mustard,Kharupetia,2017-02-22,3900.0,5.0,22.0,clear
21,Mustard,Kharupetia,2017-02-27,3900.0,3.0,22.0,clear
22,Mustard,Kharupetia,2017-03-15,4100.0,5.0,24.6,clear
23,Mustard,Kharupetia,2017-03-18,4100.0,3.0,21.8,clear
24,Mustard,Kharupetia,2017-03-22,3900.0,6.0,25.4,clear
25,Mustard,Kharupetia,2017-03-25,4100.0,4.0,23.8,clear
26,Mustard,Kharupetia,2017-03-29,4100.0,7.0,23.2,clear
27,Mustard,Kharupetia,2017-05-04,3900.0,6.0,26.4,clear
28,Mustard,Kharupetia,2017-04-15,3900.0,4.0,26.6,clear
29,Mustard,Kharupetia,2017-04-22,4100.0,4.0,25.4,clear
