,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Goalpara,2016-07-02,2975.0,3.0,28.0,clear
1,Mustard,Goalpara,2016-11-02,2875.0,2.0,27.6,clear
2,Mustard,Goalpara,2016-02-13,2800.0,5.0,25.2,clear
3,Mustard,Goalpara,2016-02-14,3375.0,1.5,25.0,clear
4,Mustard,Goalpara,2016-03-03,3400.0,2.5,30.0,clear
5,Mustard,Goalpara,2016-06-03,3400.0,1.2,35.2,clear
6,Mustard,Goalpara,2016-10-03,3325.0,3.0,34.0,clear
7,Mustard,Goalpara,2016-03-27,3725.0,0.8,21.8,clear
8,Mustard,Goalpara,2016-03-31,3650.0,1.5,21.4,clear
9,Mustard,Goalpara,2016-04-21,3900.0,2.0,26.8,clear
10,Mustard,Goalpara,2016-04-28,3950.0,1.0,32.0,clear
11,Mustard,Goalpara,2016-08-05,3975.0,1.0,32.6,clear
12,Mustard,Goalpara,2016-12-05,4025.0,1.0,27.2,clear
13,Mustard,Goalpara,2016-05-15,4025.0,1.0,27.4,clear
14,Mustard,Goalpara,2016-05-22,4025.0,1.5,32.0,clear
15,Mustard,Goalpara,2016-06-16,3800.0,0.5,32.6,clear
16,Mustard,Goalpara,2017-04-02,3150.0,120.0,10.2,clear
