,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Kendupatna(Niali),2014-07-24,3200.0,10.5,41.8,clear
1,Groundnut,Kendupatna,2015-12-08,4000.0,6.13,24.6,clear
2,Groundnut,Kendupatna,2016-02-26,4100.0,2.0,29.0,clear
3,Groundnut,Kendupatna,2016-02-28,4100.0,1.5,29.0,clear
4,Groundnut,Kendupatna(Niali),2016-02-28,4200.0,2.0,29.0,clear
5,Groundnut,Kendupatna,2016-02-29,4200.0,2.0,29.2,clear
6,Groundnut,Kendupatna,2016-03-03,4100.0,1.46,32.4,clear
7,Groundnut,Kendupatna(Niali),2016-03-03,4100.0,3.42,32.4,clear
8,Groundnut,Kendupatna,2016-05-03,4150.0,3.3,32.4,clear
9,Groundnut,Kendupatna(Niali),2016-05-03,4150.0,1.5,32.4,clear
10,Groundnut,Kendupatna,2016-03-15,4100.0,6.5,32.0,clear
11,Groundnut,Kendupatna,2016-03-16,4050.0,2.2,32.6,clear
12,Groundnut,Kendupatna(Niali),2016-03-16,4050.0,6.5,32.6,clear
13,Groundnut,Kendupatna,2016-03-20,4050.0,1.0,34.0,clear
14,Groundnut,Kendupatna,2016-03-24,4050.0,1.0,33.6,clear
15,Groundnut,Kendupatna,2016-10-04,4050.0,4.6,30.2,clear
16,Groundnut,Kendupatna(Niali),2016-10-04,4050.0,4.6,30.2,clear
17,Groundnut,Kendupatna,2016-04-14,4200.0,1.65,34.2,clear
18,Groundnut,Kendupatna,2016-06-23,4400.0,7.5,32.4,clear
19,Groundnut,Kendupatna,2016-09-08,5185.0,5.4,28.6,clear
20,Groundnut,Kendupatna(Niali),2016-09-08,5185.0,5.0,28.6,clear
21,Groundnut,Kendupatna,2016-12-13,4200.0,0.42,24.4,clear
22,Groundnut,Kendupatna(Niali),2016-02-22,4100.0,3.2,31.6,clear
23,Groundnut,Kendupatna(Niali),2016-02-24,4100.0,3.5,29.0,clear
24,Groundnut,Kendupatna(Niali),2016-02-25,4100.0,3.84,28.8,clear
25,Groundnut,Kendupatna(Niali),2016-04-03,4100.0,6.0,32.2,clear
26,Groundnut,Kendupatna(Niali),2016-11-03,4050.0,1.6,27.0,clear
27,Groundnut,Kendupatna(Niali),2016-03-13,4050.0,27.6,31.2,clear
28,Groundnut,Kendupatna(Niali),2016-03-14,4100.0,3.4,31.0,clear
29,Groundnut,Kendupatna(Niali),2016-03-18,4050.0,5.22,32.2,clear
