,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Raman,2012-12-04,3320.0,7.6,19.4,clear
1,Mustard,Raman,2012-04-16,3525.0,0.8,34.0,rain
2,Mustard,Raman,2012-04-17,3450.0,7.9,30.8,clear
3,Mustard,Raman,2012-04-18,3310.0,0.9,32.0,clear
4,Mustard,Raman,2012-04-19,3350.0,4.2,35.0,rain
5,Mustard,Raman,2012-04-20,3180.0,3.7,31.0,clear
6,Mustard,Raman,2012-04-21,3475.0,1.6,32.2,clear
7,Mustard,Raman,2012-04-23,3390.0,2.0,33.6,clear
8,Mustard,Raman,2013-01-04,2950.0,2.7,10.2,clear
9,Mustard,Raman,2013-05-04,3140.0,6.3,39.8,clear
10,Mustard,Raman,2013-08-04,3070.0,40.8,31.8,clear
11,Mustard,Sangat,2013-08-04,3200.0,4.0,31.8,clear
12,Mustard,Sangat,2013-10-04,3100.0,2.0,31.8,clear
13,Mustard,Sangat,2013-11-04,3135.0,4.0,28.0,clear
14,Mustard,Sangat,2015-11-04,2780.0,15.0,28.8,clear
15,Mustard,Sangat,2015-04-13,3070.0,24.0,32.0,clear
16,Mustard,Sangat,2015-04-14,3260.0,6.0,32.8,clear
17,Mustard,Sangat,2015-04-15,3250.0,27.0,34.4,clear
18,Mustard,Sangat,2015-04-16,3300.0,25.0,32.4,clear
19,Mustard,Sangat,2015-04-17,3150.0,15.0,34.8,clear
20,Mustard,Sangat,2015-04-18,3200.0,17.0,36.8,clear
21,Mustard,Sangat,2015-04-20,3300.0,10.0,36.8,clear
22,Mustard,Sangat,2015-05-28,3700.0,1.0,39.6,clear
23,Mustard,Sangat,2016-03-31,3430.0,22.0,34.4,clear
24,Mustard,Sangat,2016-01-04,3530.0,10.0,23.0,clear
25,Mustard,Sangat,2016-05-04,3660.0,30.0,39.0,clear
26,Mustard,Sangat,2016-07-04,3660.0,16.0,38.4,clear
27,Mustard,Sangat,2016-08-04,3670.0,20.0,35.0,clear
28,Mustard,Sangat,2016-09-04,3700.0,20.0,36.0,clear
29,Mustard,Sangat,2016-10-04,3700.0,20.0,36.0,clear
30,Mustard,Sangat,2016-11-04,3780.0,7.0,31.2,clear
