,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Bharwari,2013-05-29,3300.0,23.0,40.8,clear
1,Mustard,Bharwari,2015-12-30,4280.0,42.0,25.6,clear
2,Mustard,Bharwari,2016-01-01,4300.0,48.0,22.4,clear
3,Mustard,Bharwari,2016-01-22,4400.0,52.0,16.8,clear
4,Mustard,Bharwari,2016-01-29,4400.0,43.0,25.6,clear
5,Mustard,Bharwari,2016-05-02,4400.0,47.5,42.6,clear
6,Mustard,Bharwari,2016-12-02,4400.0,45.0,19.0,clear
7,Mustard,Bharwari,2016-02-19,4430.0,40.0,32.0,clear
8,Mustard,Bharwari,2016-02-26,4425.0,39.5,28.6,clear
9,Mustard,Bharwari,2016-04-03,4420.0,39.0,38.6,clear
10,Mustard,Bharwari,2016-11-03,4430.0,43.0,31.4,clear
11,Mustard,Bharwari,2016-03-25,4400.0,50.0,36.0,clear
12,Mustard,Bharwari,2016-03-31,4380.0,52.0,37.8,clear
13,Mustard,Bharwari,2016-04-29,3500.0,80.0,42.6,clear
14,Mustard,Bharwari,2016-05-13,3500.0,110.0,40.6,clear
15,Mustard,Bharwari,2016-05-20,3550.0,120.0,38.6,clear
16,Mustard,Bharwari,2016-05-27,3670.0,140.0,38.4,rain
17,Mustard,Bharwari,2016-10-06,3800.0,160.0,30.2,clear
18,Mustard,Bharwari,2016-06-17,3875.0,140.0,37.4,clear
19,Mustard,Bharwari,2016-06-24,3900.0,150.0,34.0,clear
20,Mustard,Bharwari,2016-07-29,4230.0,14.0,31.6,rain
21,Mustard,Bharwari,2017-01-30,4200.0,3.5,20.6,clear
22,Mustard,Bharwari,2017-04-15,3900.0,1.0,40.6,clear
23,Mustard,Bharwari,2017-12-05,3400.0,5.0,25.6,clear
24,Mustard,Bharwari,2017-05-30,3400.0,18.0,36.0,clear
25,Mustard,Bharwari,2017-07-15,3400.0,4.0,35.0,clear
26,Mustard,Bharwari,2017-08-24,3500.0,5.0,32.8,clear
