,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Ghanaur,2015-04-12,12500.0,0.0,28.6,clear
1,Arhar (Tur/Red Gram),Patiala,2015-04-12,16500.0,0.0,28.6,clear
2,Bengal Gram(Gram),Patiala,2015-04-12,9000.0,0.0,28.6,clear
3,Black Gram (Urd Beans),Patiala,2015-04-12,12500.0,0.0,28.6,clear
4,Green Gram (Moong),Patiala,2015-04-12,9500.0,0.0,28.6,clear
5,Lentil(Masur),Patiala,2015-04-12,9500.0,0.0,28.6,clear
6,Arhar (Tur/Red Gram),Ghanaur,2015-05-12,12500.0,0.0,33.6,clear
7,Arhar (Tur/Red Gram),Ghanaur,2015-07-12,8000.0,0.0,26.6,rain
8,Arhar (Tur/Red Gram),Ghanaur,2015-08-12,6500.0,0.0,31.6,clear
9,Arhar (Tur/Red Gram),Ghanaur,2015-09-12,8500.0,0.0,35.0,clear
10,Arhar (Tur/Red Gram),Rajpura,2015-09-12,15500.0,0.0,35.0,clear
11,Black Gram (Urd Beans),Rajpura,2015-09-12,5250.0,0.0,35.0,clear
12,Lentil(Masur),Rajpura,2015-09-12,6250.0,0.0,35.0,clear
13,Arhar (Tur/Red Gram),Ghanaur,2015-11-12,8500.0,0.0,28.0,clear
14,Arhar (Tur/Red Gram),Samana,2015-11-12,15000.0,2.0,28.0,clear
15,Green Gram (Moong),Samana,2015-11-12,9000.0,0.4,28.0,clear
16,Arhar (Tur/Red Gram),Rajpura,2015-11-20,12200.0,0.0,27.0,clear
17,Lentil(Masur),Rajpura,2015-11-20,6200.0,0.0,27.0,clear
18,Arhar (Tur/Red Gram),Rajpura,2015-03-12,15500.0,0.0,24.2,clear
19,Lentil(Masur),Rajpura,2015-03-12,6200.0,0.0,24.2,clear
20,Arhar (Tur/Red Gram),Samana,2015-12-17,9000.0,2.0,18.2,clear
21,Arhar (Tur/Red Gram),Samana,2015-12-18,14500.0,2.0,19.8,clear
22,Green Gram (Moong),Samana,2015-12-18,8500.0,0.2,19.8,clear
23,Arhar (Tur/Red Gram),Samana,2015-12-19,14000.0,2.0,19.6,clear
24,Green Gram (Moong),Samana,2015-12-19,8700.0,0.16,19.6,clear
25,Arhar (Tur/Red Gram),Samana,2015-12-21,14000.0,2.0,19.0,clear
26,Green Gram (Moong),Samana,2015-12-21,9000.0,0.2,19.0,clear
27,Arhar (Tur/Red Gram),Samana,2015-12-23,14500.0,2.0,15.2,clear
28,Black Gram (Urd Beans),Rajpura,2015-12-23,5150.0,0.0,15.2,clear
29,Green Gram (Moong),Samana,2015-12-23,9000.0,0.2,15.2,clear
30,Lentil(Masur),Rajpura,2015-12-23,6100.0,0.0,15.2,clear
31,Bengal Gram(Gram),Patiala,2015-06-11,6200.0,0.0,40.0,clear
32,Bengal Gram(Gram),Rajpura,2015-06-11,5500.0,0.1,40.0,clear
33,Black Gram (Urd Beans),Rajpura,2015-06-11,12500.0,0.2,40.0,clear
34,Green Gram (Moong),Patiala,2015-06-11,9500.0,0.0,40.0,clear
35,Green Gram (Moong),Rajpura,2015-06-11,9000.0,0.05,40.0,clear
36,Lentil(Masur),Rajpura,2015-06-11,8500.0,0.07,40.0,clear
37,Bengal Gram(Gram),Rajpura,2015-11-11,9500.0,0.2,27.6,clear
38,Black Gram (Urd Beans),Rajpura,2015-11-11,9500.0,0.1,27.6,clear
39,Green Gram (Moong),Rajpura,2015-11-11,6500.0,0.1,27.6,clear
40,Green Gram (Moong),Samana,2015-12-12,8500.0,0.12,19.2,clear
41,Green Gram (Moong),Samana,2015-12-14,8500.0,0.2,19.2,clear
42,Green Gram (Moong),Samana,2015-12-16,9000.0,0.2,19.6,clear
43,Green Gram (Moong),Samana,2015-12-22,9000.0,0.2,18.8,clear
