,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Dhanura,2015-12-26,5500.0,2.5,21.0,clear
1,Bengal Gram(Gram),Amroha,2016-01-30,5250.0,18.0,25.2,clear
2,Bengal Gram(Gram),Hasanpur,2016-01-30,5200.0,6.0,25.2,clear
3,Bengal Gram(Gram),Amroha,2016-02-27,5220.0,14.0,27.4,clear
4,Bengal Gram(Gram),Hasanpur,2016-02-27,5140.0,6.0,27.4,clear
5,Bengal Gram(Gram),Amroha,2016-03-28,5280.0,12.0,30.8,clear
6,Bengal Gram(Gram),Amroha,2016-04-30,5600.0,12.0,38.6,clear
7,Bengal Gram(Gram),Amroha,2016-05-28,5700.0,10.0,39.0,clear
8,Bengal Gram(Gram),Amroha,2016-06-25,6000.0,8.0,34.4,clear
9,Bengal Gram(Gram),Amroha,2016-07-15,6950.0,18.0,33.8,clear
10,Bengal Gram(Gram),Amroha,2016-07-22,8000.0,15.0,33.0,clear
11,Bengal Gram(Gram),Amroha,2016-05-08,8550.0,20.0,36.0,clear
12,Bengal Gram(Gram),Amroha,2016-09-09,8600.0,10.0,35.2,clear
13,Bengal Gram(Gram),Amroha,2016-09-16,8500.0,21.0,36.0,clear
14,Bengal Gram(Gram),Amroha,2016-09-30,7900.0,15.0,33.8,clear
15,Bengal Gram(Gram),Amroha,2016-07-10,8000.0,18.0,34.8,clear
16,Bengal Gram(Gram),Amroha,2016-10-14,7900.0,20.0,34.0,clear
17,Bengal Gram(Gram),Amroha,2016-10-28,8375.0,18.0,30.4,clear
18,Bengal Gram(Gram),Amroha,2016-12-30,10000.0,6.0,16.8,clear
19,Bengal Gram(Gram),Dhanura,2016-01-29,5200.0,21.0,23.2,clear
20,Bengal Gram(Gram),Dhanura,2016-03-26,5275.0,15.0,24.4,clear
21,Bengal Gram(Gram),Dhanura,2016-04-29,5650.0,8.0,38.8,clear
22,Bengal Gram(Gram),Hasanpur,2016-04-29,5400.0,6.0,38.8,clear
23,Bengal Gram(Gram),Dhanura,2016-05-27,5720.0,6.0,39.8,clear
24,Bengal Gram(Gram),Dhanura,2016-06-24,6000.0,10.0,37.4,clear
25,Bengal Gram(Gram),Dhanura,2016-07-30,8400.0,10.0,30.0,rain
26,Bengal Gram(Gram),Dhanura,2016-10-29,8500.0,10.0,30.2,clear
27,Bengal Gram(Gram),Dhanura,2016-11-26,9975.0,6.0,27.8,clear
28,Bengal Gram(Gram),Dhanura,2016-12-31,10000.0,6.0,20.2,clear
29,Bengal Gram(Gram),Hasanpur,2016-12-31,9965.0,1.8,20.2,clear
30,Bengal Gram(Gram),Hasanpur,2016-03-29,5150.0,7.5,32.0,clear
31,Bengal Gram(Gram),Hasanpur,2016-05-30,5780.0,5.0,29.8,clear
32,Bengal Gram(Gram),Hasanpur,2016-06-28,6300.0,8.5,32.0,clear
33,Bengal Gram(Gram),Hasanpur,2016-08-27,8475.0,5.0,33.2,clear
34,Bengal Gram(Gram),Amroha,2017-01-30,9500.0,14.0,20.8,clear
35,Bengal Gram(Gram),Amroha,2017-03-30,5400.0,17.0,36.2,clear
36,Bengal Gram(Gram),Amroha,2017-05-26,6600.0,7.0,40.0,clear
37,Bengal Gram(Gram),Amroha,2017-06-13,6000.0,0.0,39.4,clear
38,Bengal Gram(Gram),Dhanura,2017-01-31,9550.0,12.0,21.0,clear
39,Bengal Gram(Gram),Hasanpur,2017-01-31,9725.0,1.2,21.0,clear
40,Bengal Gram(Gram),Dhanura,2017-02-28,8100.0,20.0,28.8,clear
41,Bengal Gram(Gram),Hasanpur,2017-02-28,8510.0,0.9,28.8,clear
42,Bengal Gram(Gram),Dhanura,2017-03-31,5400.0,10.0,38.0,clear
43,Bengal Gram(Gram),Hasanpur,2017-03-31,7075.0,0.8,38.0,clear
44,Bengal Gram(Gram),Dhanura,2017-04-29,6000.0,10.0,37.0,clear
45,Bengal Gram(Gram),Dhanura,2017-05-27,6600.0,12.0,35.6,clear
46,Bengal Gram(Gram),Hasanpur,2017-06-28,6445.0,0.8,32.0,clear
47,Bengal Gram(Gram),Hasanpur,2017-07-27,6235.0,0.8,31.8,clear
